"Number";"Commit";"Parent";"Refactoring";"EntityBefore";"EntityAfter";"FullDescription"
11;"fbed6ab3c94f07111b7e98a220e916709a3d00cf";"173bef966567c65d0f54954f4499fe19f32efbc3";"Extract Method";"org.broadleafcommerce.core.search.domain.SearchFacetResultDTO.getValueKey()";"org.broadleafcommerce.core.search.domain.SearchFacetResultDTO.getUnencodedValueKey()";"Extract Method public getUnencodedValueKey() : String extracted from public getValueKey() : String in class org.broadleafcommerce.core.search.domain.SearchFacetResultDTO"
41;"5a27c3e0561a8f4b6917fe245f1a930f28463245";"e69b9d4a79181d7f05cc860aeb0ef330843ba85f";"Move Class";"org.broadleafcommerce.common.workflow.RollbackTest.NestedActivity";"org.broadleafcommerce.common.workflow.NestedActivity";"Move Class org.broadleafcommerce.common.workflow.RollbackTest.NestedActivity moved to org.broadleafcommerce.common.workflow.NestedActivity"
41;"5a27c3e0561a8f4b6917fe245f1a930f28463245";"e69b9d4a79181d7f05cc860aeb0ef330843ba85f";"Move Class";"org.broadleafcommerce.common.workflow.RollbackTest.SimpleRollbackHandler";"org.broadleafcommerce.common.workflow.SimpleRollbackHandler";"Move Class org.broadleafcommerce.common.workflow.RollbackTest.SimpleRollbackHandler moved to org.broadleafcommerce.common.workflow.SimpleRollbackHandler"
41;"5a27c3e0561a8f4b6917fe245f1a930f28463245";"e69b9d4a79181d7f05cc860aeb0ef330843ba85f";"Move Class";"org.broadleafcommerce.common.workflow.RollbackTest.SimpleActivity";"org.broadleafcommerce.common.workflow.SimpleActivity";"Move Class org.broadleafcommerce.common.workflow.RollbackTest.SimpleActivity moved to org.broadleafcommerce.common.workflow.SimpleActivity"
41;"5a27c3e0561a8f4b6917fe245f1a930f28463245";"e69b9d4a79181d7f05cc860aeb0ef330843ba85f";"Move Class";"org.broadleafcommerce.common.workflow.RollbackTest.DummyProcessContextFactory";"org.broadleafcommerce.common.workflow.DummyProcessContextFactory";"Move Class org.broadleafcommerce.common.workflow.RollbackTest.DummyProcessContextFactory moved to org.broadleafcommerce.common.workflow.DummyProcessContextFactory"
41;"5a27c3e0561a8f4b6917fe245f1a930f28463245";"e69b9d4a79181d7f05cc860aeb0ef330843ba85f";"Move Class";"org.broadleafcommerce.common.workflow.RollbackTest.ExceptionActivity";"org.broadleafcommerce.common.workflow.ExceptionActivity";"Move Class org.broadleafcommerce.common.workflow.RollbackTest.ExceptionActivity moved to org.broadleafcommerce.common.workflow.ExceptionActivity"
63;"a72e140b05bbc484ae4c5641676ce445d7042dee";"6b3607abb6babbd7374667c947bcb0aeccbd7062";"Rename Method";"org.broadleafcommerce.core.order.service.workflow.add.ValidateAddRequestActivity.cannotSellDefaultSku(Product)";"org.broadleafcommerce.core.order.service.workflow.add.ValidateAddRequestActivity.canSellDefaultSku(Product)";"Rename Method protected cannotSellDefaultSku(product Product) : boolean renamed to protected canSellDefaultSku(product Product) : boolean in class org.broadleafcommerce.core.order.service.workflow.add.ValidateAddRequestActivity"
72;"37f4dacbe1bb147eb954e6c2abace4935f5402d4";"438bb13ebc605deee5519cffd24a2601addeee61";"Extract Method";"org.broadleafcommerce.core.web.processor.ProductOptionsProcessor.addProductOptionPricingToModel(Map,Product,BroadleafTemplateContext,Map)";"org.broadleafcommerce.core.web.processor.ProductOptionsProcessor.createPricingDto(Sku,List,Map,BroadleafTemplateContext)";"Extract Method protected createPricingDto(sku Sku, productOptionValueIds List, tagAttributes Map, context BroadleafTemplateContext) : ProductOptionPricingDTO extracted from protected addProductOptionPricingToModel(newModelVars Map, product Product, context BroadleafTemplateContext, tagAttributes Map) : void in class org.broadleafcommerce.core.web.processor.ProductOptionsProcessor"
87;"93551302d3db722d89d457a6ee84d6e139752142";"b74e460bc6cec7324bd631e4295563a6ec62844f";"Extract Method";"org.broadleafcommerce.openadmin.server.security.service.user.AdminUserProvisioningServiceImpl.provisionAdminUser(BroadleafExternalAuthenticationUserDetails)";"org.broadleafcommerce.openadmin.server.security.service.user.AdminUserProvisioningServiceImpl.extractAdminUserAuthorities(HashSet)";"Extract Method protected extractAdminUserAuthorities(parsedRoles HashSet) : Set extracted from public provisionAdminUser(details BroadleafExternalAuthenticationUserDetails) : AdminUserDetails in class org.broadleafcommerce.openadmin.server.security.service.user.AdminUserProvisioningServiceImpl"
87;"93551302d3db722d89d457a6ee84d6e139752142";"b74e460bc6cec7324bd631e4295563a6ec62844f";"Extract Method";"org.broadleafcommerce.openadmin.server.security.service.user.AdminUserProvisioningServiceImpl.provisionAdminUser(BroadleafExternalAuthenticationUserDetails)";"org.broadleafcommerce.openadmin.server.security.service.user.AdminUserProvisioningServiceImpl.parseRolesFromUserDetails(BroadleafExternalAuthenticationUserDetails)";"Extract Method protected parseRolesFromUserDetails(details BroadleafExternalAuthenticationUserDetails) : HashSet extracted from public provisionAdminUser(details BroadleafExternalAuthenticationUserDetails) : AdminUserDetails in class org.broadleafcommerce.openadmin.server.security.service.user.AdminUserProvisioningServiceImpl"
