"Number";"Commit";"Parent";"Refactoring";"EntityBefore";"EntityAfter";"FullDescription"
5;"350804f6d4313b8b328623b4cfaae2a59f1e94e9";"57d3635f9aaf990de0e4df7f6321bff281dfdec8";"Rename Class";"org.lealone.test.fullstack.FrontendCrudTest";"org.lealone.test.fullstack.FrontendOrmTest";"Rename Class org.lealone.test.fullstack.FrontendCrudTest renamed to org.lealone.test.fullstack.FrontendOrmTest"
21;"505493b182d04f684446a427c397bbeded342021";"5dc13a614611002a150a472805f583d86b24fb12";"Rename Class";"org.lealone.test.orm.CustomerTest";"org.lealone.test.orm.OrmCrudTest";"Rename Class org.lealone.test.orm.CustomerTest renamed to org.lealone.test.orm.OrmCrudTest"
22;"5dc13a614611002a150a472805f583d86b24fb12";"48bf5d5cd38926e9ed0fb3a8d79288f7368688fe";"Rename Class";"org.lealone.test.orm.ExpressionTest";"org.lealone.test.orm.OrmExpressionTest";"Rename Class org.lealone.test.orm.ExpressionTest renamed to org.lealone.test.orm.OrmExpressionTest"
22;"5dc13a614611002a150a472805f583d86b24fb12";"48bf5d5cd38926e9ed0fb3a8d79288f7368688fe";"Rename Class";"org.lealone.test.generated.model.AllType";"org.lealone.test.generated.model.AllModelProperty";"Rename Class org.lealone.test.generated.model.AllType renamed to org.lealone.test.generated.model.AllModelProperty"
22;"5dc13a614611002a150a472805f583d86b24fb12";"48bf5d5cd38926e9ed0fb3a8d79288f7368688fe";"Rename Class";"org.lealone.test.orm.TypeTest";"org.lealone.test.orm.AllModelPropertyTest";"Rename Class org.lealone.test.orm.TypeTest renamed to org.lealone.test.orm.AllModelPropertyTest"
22;"5dc13a614611002a150a472805f583d86b24fb12";"48bf5d5cd38926e9ed0fb3a8d79288f7368688fe";"Move And Rename Class";"org.lealone.orm.property.TQProperty";"org.lealone.orm.ModelProperty";"Move And Rename Class org.lealone.orm.property.TQProperty moved to org.lealone.orm.ModelProperty"
22;"5dc13a614611002a150a472805f583d86b24fb12";"48bf5d5cd38926e9ed0fb3a8d79288f7368688fe";"Rename Method";"org.lealone.sql.ddl.CreateTable.getTypeQueryClassName(int,TreeSet)";"org.lealone.sql.ddl.CreateTable.getModelPropertyClassName(int,TreeSet)";"Rename Method private getTypeQueryClassName(type int, importSet TreeSet) : String renamed to private getModelPropertyClassName(type int, importSet TreeSet) : String in class org.lealone.sql.ddl.CreateTable"
22;"5dc13a614611002a150a472805f583d86b24fb12";"48bf5d5cd38926e9ed0fb3a8d79288f7368688fe";"Rename Method";"org.lealone.test.SqlScript.createAllTypeTable(SqlExecuter)";"org.lealone.test.SqlScript.createAllModelPropertyTable(SqlExecuter)";"Rename Method public createAllTypeTable(executer SqlExecuter) : void renamed to public createAllModelPropertyTable(executer SqlExecuter) : void in class org.lealone.test.SqlScript"
23;"48bf5d5cd38926e9ed0fb3a8d79288f7368688fe";"0bf639226089b09209e79a93157c3d4e8074b7c0";"Extract Method";"org.lealone.orm.Model.insert()";"org.lealone.orm.Model.insert(Long)";"Extract Method public insert(tid Long) : long extracted from public insert() : long in class org.lealone.orm.Model"
24;"0bf639226089b09209e79a93157c3d4e8074b7c0";"ecb1b46d4ec8fb90e27963711d6092d5cbd3340d";"Rename Method";"org.lealone.orm.Model.or(Model)";"org.lealone.orm.Model.m(Model)";"Rename Method public or(m Model) : M renamed to public m(m Model) : M in class org.lealone.orm.Model"
