"Number";"Commit";"Parent";"Refactoring";"EntityBefore";"EntityAfter";"FullDescription"
7;"544e1b1e48f73ee4b3c38f2752845a949384d0a6";"caa687e714453108566935560313778668328120";"Rename Method";"org.opentripplanner.updater.GraphUpdaterConfigurator.applyConfigurationToGraph(Graph,GraphUpdaterManager,JsonNode)";"org.opentripplanner.updater.GraphUpdaterConfigurator.createManagerFromConfig(Graph,JsonNode)";"Rename Method private applyConfigurationToGraph(graph Graph, updaterManager GraphUpdaterManager, config JsonNode) : GraphUpdaterManager renamed to private createManagerFromConfig(graph Graph, config JsonNode) : GraphUpdaterManager in class org.opentripplanner.updater.GraphUpdaterConfigurator"
7;"544e1b1e48f73ee4b3c38f2752845a949384d0a6";"caa687e714453108566935560313778668328120";"Inline Method";"org.opentripplanner.updater.GraphUpdaterManager.executeReturningFuture(GraphWriterRunnable)";"org.opentripplanner.updater.GraphUpdaterManager.execute(GraphWriterRunnable)";"Inline Method private executeReturningFuture(runnable GraphWriterRunnable) : Future inlined to public execute(runnable GraphWriterRunnable) : void in class org.opentripplanner.updater.GraphUpdaterManager"
9;"91afadaa4dfbc790b01738eb99d99db883e9372e";"8d00c2d28bf50d1f2b01602db0e5246ce4d3f5e4";"Rename Method";"org.opentripplanner.routing.core.StateEditor.setBikeRenting(boolean)";"org.opentripplanner.routing.core.StateEditor.doneVehicleRenting()";"Rename Method public setBikeRenting(bikeRenting boolean) : void renamed to public doneVehicleRenting() : void in class org.opentripplanner.routing.core.StateEditor"
37;"a741199e96318b51572b2845bc023f241a294ebf";"e2be611aa5ef2524f2cf06becc3e8d30843505a4";"Rename Method";"org.opentripplanner.common.geometry.SphericalDistanceLibrary.degreesToMeters(double)";"org.opentripplanner.common.geometry.SphericalDistanceLibrary.degreesLatitudeToMeters(double)";"Rename Method public degreesToMeters(distanceDegrees double) : double renamed to public degreesLatitudeToMeters(degreesLatitude double) : double in class org.opentripplanner.common.geometry.SphericalDistanceLibrary"
41;"bdb367d87bee8fbd19afaa2312af74111ae59b0c";"cfdd6a2ec35e7a4a91320688c9c195e5b42b84a5";"Rename Method";"org.opentripplanner.routing.graph.GraphIndex.clusterByProximity()";"org.opentripplanner.routing.graph.GraphIndex.clusterByProximityAndName()";"Rename Method private clusterByProximity() : void renamed to private clusterByProximityAndName() : void in class org.opentripplanner.routing.graph.GraphIndex"
44;"671d78a02e5f594f57c87cff8a3b106f7b7475e6";"6e5c3d47b409ceda9e1637127b770d4e3700eceb";"Extract Method";"org.opentripplanner.standalone.GrizzlyServer.run()";"org.opentripplanner.standalone.GrizzlyServer.getMaxThreads()";"Extract Method private getMaxThreads() : int extracted from public run() : void in class org.opentripplanner.standalone.GrizzlyServer"
89;"f62a350aa336a370c7c418be36d9c47cebacca9d";"c0dafb81d5b53a40391be2cbe9e0d558f561306b";"Extract Method";"org.opentripplanner.graph_builder.module.osm.OSMFilter.getPermissionsForWay(OSMWay,StreetTraversalPermission,Graph)";"org.opentripplanner.graph_builder.module.osm.OSMFilter.getPermissionsForWay(OSMWay,StreetTraversalPermission,Graph,boolean,boolean)";"Extract Method public getPermissionsForWay(way OSMWay, def StreetTraversalPermission, graph Graph, banDiscouragedWalking boolean, banDiscouragedBiking boolean) : StreetTraversalPermission extracted from public getPermissionsForWay(way OSMWay, def StreetTraversalPermission, graph Graph) : StreetTraversalPermission in class org.opentripplanner.graph_builder.module.osm.OSMFilter"
111;"f142150c22b2b487501034ef09031d9c5bce46be";"21c3fc2cec41af6a9ee6ba63728f29a13aa607b1";"Extract Method";"org.opentripplanner.routing.graph.GraphIndex.clusterStops()";"org.opentripplanner.routing.graph.GraphIndex.clusterByParentStation()";"Extract Method private clusterByParentStation() : void extracted from public clusterStops() : void in class org.opentripplanner.routing.graph.GraphIndex"
111;"f142150c22b2b487501034ef09031d9c5bce46be";"21c3fc2cec41af6a9ee6ba63728f29a13aa607b1";"Extract Method";"org.opentripplanner.routing.graph.GraphIndex.clusterStops()";"org.opentripplanner.routing.graph.GraphIndex.clusterByProximity()";"Extract Method private clusterByProximity() : void extracted from public clusterStops() : void in class org.opentripplanner.routing.graph.GraphIndex"
175;"3fd1cc9a364474bb07515447966b55146f3ddd48";"ee0ea8f08d93e9e2bc915807361e40ac09294329";"Move Method";"org.opentripplanner.graph_builder.linking.OriginDestinationLinker.getClosestVertex(GenericLocation,RoutingRequest,boolean)";"org.opentripplanner.graph_builder.linking.SimpleStreetSplitter.getClosestVertex(GenericLocation,RoutingRequest,boolean)";"Move Method public getClosestVertex(location GenericLocation, options RoutingRequest, endVertex boolean) : Vertex from class org.opentripplanner.graph_builder.linking.OriginDestinationLinker to public getClosestVertex(location GenericLocation, options RoutingRequest, endVertex boolean) : Vertex from class org.opentripplanner.graph_builder.linking.SimpleStreetSplitter"
175;"3fd1cc9a364474bb07515447966b55146f3ddd48";"ee0ea8f08d93e9e2bc915807361e40ac09294329";"Inline Method";"org.opentripplanner.graph_builder.linking.SimpleStreetSplitter.removeOriginalEdge(StreetEdge)";"org.opentripplanner.graph_builder.linking.SimpleStreetSplitter.split(StreetEdge,LinearLocation,boolean,boolean)";"Inline Method protected removeOriginalEdge(edge StreetEdge) : void inlined to private split(edge StreetEdge, ll LinearLocation, temporarySplit boolean, endVertex boolean) : SplitterVertex in class org.opentripplanner.graph_builder.linking.SimpleStreetSplitter"
