"Number";"Commit";"Parent";"Refactoring";"EntityBefore";"EntityAfter";"FullDescription"
21;"12b49e9759e6e8bf2b5ea818736d8da4b1964c1b";"bf1738b863c90e8c37e9d092cb3aad4648117b77";"Rename Class";"org.asynchttpclient.util.TestUTF8UrlCodec";"org.asynchttpclient.util.Utf8UrlEncoderTest";"Rename Class org.asynchttpclient.util.TestUTF8UrlCodec renamed to org.asynchttpclient.util.Utf8UrlEncoderTest"
22;"bf1738b863c90e8c37e9d092cb3aad4648117b77";"d0d496744695e1771e2a906c366f933d85e25099";"Move Method";"org.asynchttpclient.util.HttpUtilsTest.testIsSameBaseUrlReturnsTrueWhenOneUriHasDefaultPort()";"org.asynchttpclient.uri.UriTest.testIsSameBaseUrlReturnsTrueWhenOneUriHasDefaultPort()";"Move Method public testIsSameBaseUrlReturnsTrueWhenOneUriHasDefaultPort() : void from class org.asynchttpclient.util.HttpUtilsTest to public testIsSameBaseUrlReturnsTrueWhenOneUriHasDefaultPort() : void from class org.asynchttpclient.uri.UriTest"
22;"bf1738b863c90e8c37e9d092cb3aad4648117b77";"d0d496744695e1771e2a906c366f933d85e25099";"Move Method";"org.asynchttpclient.util.HttpUtilsTest.testIsSameBaseUrlReturnsFalseWhenPortDifferent()";"org.asynchttpclient.uri.UriTest.testIsSameBaseUrlReturnsFalseWhenPortDifferent()";"Move Method public testIsSameBaseUrlReturnsFalseWhenPortDifferent() : void from class org.asynchttpclient.util.HttpUtilsTest to public testIsSameBaseUrlReturnsFalseWhenPortDifferent() : void from class org.asynchttpclient.uri.UriTest"
22;"bf1738b863c90e8c37e9d092cb3aad4648117b77";"d0d496744695e1771e2a906c366f933d85e25099";"Move Method";"org.asynchttpclient.util.HttpUtilsTest.testIsSameBaseUrlReturnsFalseWhenSchemeDifferent()";"org.asynchttpclient.uri.UriTest.testIsSameBaseUrlReturnsFalseWhenSchemeDifferent()";"Move Method public testIsSameBaseUrlReturnsFalseWhenSchemeDifferent() : void from class org.asynchttpclient.util.HttpUtilsTest to public testIsSameBaseUrlReturnsFalseWhenSchemeDifferent() : void from class org.asynchttpclient.uri.UriTest"
22;"bf1738b863c90e8c37e9d092cb3aad4648117b77";"d0d496744695e1771e2a906c366f933d85e25099";"Move Method";"org.asynchttpclient.util.HttpUtilsTest.testIsSameBaseUrlReturnsFalseWhenHostDifferent()";"org.asynchttpclient.uri.UriTest.testIsSameBaseUrlReturnsFalseWhenHostDifferent()";"Move Method public testIsSameBaseUrlReturnsFalseWhenHostDifferent() : void from class org.asynchttpclient.util.HttpUtilsTest to public testIsSameBaseUrlReturnsFalseWhenHostDifferent() : void from class org.asynchttpclient.uri.UriTest"
22;"bf1738b863c90e8c37e9d092cb3aad4648117b77";"d0d496744695e1771e2a906c366f933d85e25099";"Move Method";"org.asynchttpclient.util.HttpUtilsTest.testGetPathWhenPathIsEmpty()";"org.asynchttpclient.uri.UriTest.testGetPathWhenPathIsEmpty()";"Move Method public testGetPathWhenPathIsEmpty() : void from class org.asynchttpclient.util.HttpUtilsTest to public testGetPathWhenPathIsEmpty() : void from class org.asynchttpclient.uri.UriTest"
22;"bf1738b863c90e8c37e9d092cb3aad4648117b77";"d0d496744695e1771e2a906c366f933d85e25099";"Move Method";"org.asynchttpclient.util.HttpUtilsTest.testGetPathWhenPathIsNonEmpty()";"org.asynchttpclient.uri.UriTest.testGetPathWhenPathIsNonEmpty()";"Move Method public testGetPathWhenPathIsNonEmpty() : void from class org.asynchttpclient.util.HttpUtilsTest to public testGetPathWhenPathIsNonEmpty() : void from class org.asynchttpclient.uri.UriTest"
22;"bf1738b863c90e8c37e9d092cb3aad4648117b77";"d0d496744695e1771e2a906c366f933d85e25099";"Move Method";"org.asynchttpclient.util.HttpUtils.validateSupportedScheme(Uri)";"org.asynchttpclient.uri.Uri.validateSupportedScheme(Uri)";"Move Method public validateSupportedScheme(uri Uri) : void from class org.asynchttpclient.util.HttpUtils to public validateSupportedScheme(uri Uri) : void from class org.asynchttpclient.uri.Uri"
22;"bf1738b863c90e8c37e9d092cb3aad4648117b77";"d0d496744695e1771e2a906c366f933d85e25099";"Move Method";"org.asynchttpclient.util.HttpUtilsTest.testGetAuthority()";"org.asynchttpclient.uri.UriTest.testGetAuthority()";"Move Method public testGetAuthority() : void from class org.asynchttpclient.util.HttpUtilsTest to public testGetAuthority() : void from class org.asynchttpclient.uri.UriTest"
22;"bf1738b863c90e8c37e9d092cb3aad4648117b77";"d0d496744695e1771e2a906c366f933d85e25099";"Move Method";"org.asynchttpclient.util.HttpUtilsTest.testGetAuthorityWithPortInUrl()";"org.asynchttpclient.uri.UriTest.testGetAuthorityWithPortInUrl()";"Move Method public testGetAuthorityWithPortInUrl() : void from class org.asynchttpclient.util.HttpUtilsTest to public testGetAuthorityWithPortInUrl() : void from class org.asynchttpclient.uri.UriTest"
