"Number";"Commit";"Parent";"Refactoring";"EntityBefore";"EntityAfter";"FullDescription"
68;"c3be1aab7f857cd2bc5ad8a8fac1603e87d9f021";"271674c9b484d798484d134a5ac40a6df15d3ac3";"Extract Method";"clojure.lang.Compiler.macroexpand1(Object)";"clojure.lang.Compiler.checkSpecs(Var,ISeq)";"Extract Method public checkSpecs(v Var, form ISeq) : void extracted from public macroexpand1(x Object) : Object in class clojure.lang.Compiler"
85;"90ad4d6aa7ec0677916525633837dded55576af7";"ebfdbca535b81808b3ddc369d4a4e98b8f1524c7";"Extract Method";"clojure.lang.Numbers.hasheq(Number)";"clojure.lang.Numbers.hasheqFrom(Number,Class)";"Extract Method package hasheqFrom(x Number, xc Class) : int extracted from package hasheq(x Number) : int in class clojure.lang.Numbers"
321;"87a7d7892a0cbf80b639cd33f81009667c2dded6";"722e023ea00b27a47b11afc29fa7fe0a282696f4";"Extract Method";"clojure.lang.Compiler.HostExpr.tagToClass(Object)";"clojure.lang.Compiler.HostExpr.maybeSpecialTag(Symbol)";"Extract Method public maybeSpecialTag(sym Symbol) : Class extracted from package tagToClass(tag Object) : Class in class clojure.lang.Compiler.HostExpr"
351;"309c03055b06525c275b278542c881019424760e";"838302612551ef6a50a8adbdb9708cb1362b0898";"Extract Method";"clojure.lang.Compiler.InvokeExpr.(String,int,int,Symbol,Expr,IPersistentVector,boolean)";"clojure.lang.Compiler.InvokeExpr.sigTag(int,Var)";"Extract Method package sigTag(argcount int, v Var) : Object extracted from public InvokeExpr(source String, line int, column int, tag Symbol, fexpr Expr, args IPersistentVector, tailPosition boolean) in class clojure.lang.Compiler.InvokeExpr"
352;"838302612551ef6a50a8adbdb9708cb1362b0898";"494ab1345ce3d638be2bae1bd9f49beacdeb68a8";"Move Method";"clojure.lang.Tuple.T2.setValue(Object)";"clojure.lang.APersistentVector.setValue(Object)";"Move Method public setValue(value Object) : Object from class clojure.lang.Tuple.T2 to public setValue(value Object) : Object from class clojure.lang.APersistentVector"
399;"676a7e4a2bdc9771e515e2d545e089f9e2c29e03";"01b4228483b2f48fade9038f970b267380d8ab0f";"Inline Method";"clojure.lang.LongRange.absCount(long,long,long)";"clojure.lang.LongRange.count()";"Inline Method public absCount(start long, end long, step long) : int inlined to public count() : int in class clojure.lang.LongRange"
417;"cbc967caf23c6a07d4afe56d44b60c5fed09afa7";"a1af66777bc7ff8311a1e670ee97ad4912edd952";"Extract Method";"clojure.lang.Cycle.next()";"clojure.lang.Cycle.current()";"Extract Method private current() : ISeq extracted from public next() : ISeq in class clojure.lang.Cycle"
426;"caa3b4fdc8da5880309b317d0045b1280181c452";"c47e1bbcfa227723df28d1c9e0a6df2bcb0fecc1";"Extract Method";"clojure.lang.LispReader.read(PushbackReader,boolean,Object,boolean)";"clojure.lang.LispReader.read(PushbackReader,boolean,Object,boolean,Object)";"Extract Method public read(r PushbackReader, eofIsError boolean, eofValue Object, isRecursive boolean, opts Object) : Object extracted from public read(r PushbackReader, eofIsError boolean, eofValue Object, isRecursive boolean) : Object in class clojure.lang.LispReader"
426;"caa3b4fdc8da5880309b317d0045b1280181c452";"c47e1bbcfa227723df28d1c9e0a6df2bcb0fecc1";"Extract Method";"clojure.lang.RT.readString(String)";"clojure.lang.RT.readString(String,Object)";"Extract Method public readString(s String, opts Object) : Object extracted from public readString(s String) : Object in class clojure.lang.RT"
427;"c47e1bbcfa227723df28d1c9e0a6df2bcb0fecc1";"fab940dbe44c27059837bedc6da1843f459dc272";"Move Method";"clojure.lang.LazyTransformer.remove(Object)";"clojure.lang.TransformerIterator.remove()";"Move Method public remove(o Object) : boolean from class clojure.lang.LazyTransformer to public remove() : void from class clojure.lang.TransformerIterator"
