"Number";"Commit";"Parent";"Refactoring";"EntityBefore";"EntityAfter";"FullDescription"
68;"21710f55f38f61e5f32a83914b978e3bea6dd261";"27bd9a7489c7ed13c0d0304ffbd560abbe5fa57b";"Extract Method";"com.commafeed.backend.feed.FeedUtils.proxyImages(String,String,boolean)";"com.commafeed.backend.feed.FeedUtils.proxyImage(String,String)";"Extract Method public proxyImage(url String, publicUrl String) : String extracted from public proxyImages(content String, publicUrl String, proxyImages boolean) : String in class com.commafeed.backend.feed.FeedUtils"
86;"ddfd170ea89e25014a82c8e081897b7a68a1aa46";"bae5c67dfa97cdc73cd29182a02724ca6113e90e";"Rename Method";"com.commafeed.backend.dao.UnitOfWork.run(SessionFactory,SessionRunnerReturningValue)";"com.commafeed.backend.dao.UnitOfWork.call(SessionFactory,SessionRunnerReturningValue)";"Rename Method public run(sessionFactory SessionFactory, sessionRunner SessionRunnerReturningValue) : T renamed to public call(sessionFactory SessionFactory, sessionRunner SessionRunnerReturningValue) : T in class com.commafeed.backend.dao.UnitOfWork"
148;"1d088c5eae722b004682f0187c38fbc676780883";"cdcf81ab7c100f973a0007193992568db9c3ff51";"Move Attribute";"com.commafeed.backend.feed.FeedRefreshTaskGiver.sessionFactory";"com.commafeed.backend.feed.FeedQueues.sessionFactory";"Move Attribute private sessionFactory : SessionFactory from class com.commafeed.backend.feed.FeedRefreshTaskGiver to class com.commafeed.backend.feed.FeedQueues"
150;"9f196bafe904c8125a59f22d9db82f9949bcc33f";"5c9e1406a11ce118518d2127f96e3a18c83efe93";"Extract Method";"com.commafeed.backend.service.FeedSubscriptionService.subscribe(User,String,String,FeedCategory)";"com.commafeed.backend.service.FeedSubscriptionService.subscribe(User,String,String,FeedCategory,int)";"Extract Method public subscribe(user User, url String, title String, category FeedCategory, position int) : Feed extracted from public subscribe(user User, url String, title String, category FeedCategory) : Feed in class com.commafeed.backend.service.FeedSubscriptionService"
212;"2e475c35ccf8037d3259d68c0d66cece83946dbe";"ccf18758fb19109c09e63a261204cc1b3aa0330f";"Extract Method";"com.commafeed.backend.service.StartupService.start()";"com.commafeed.backend.dao.UnitOfWork.run(SessionFactory,SessionRunner)";"Extract Method public run(sessionFactory SessionFactory, sessionRunner SessionRunner) : void extracted from public start() : void in class com.commafeed.backend.service.StartupService"
212;"2e475c35ccf8037d3259d68c0d66cece83946dbe";"ccf18758fb19109c09e63a261204cc1b3aa0330f";"Extract Method";"com.commafeed.frontend.servlet.NextUnreadServlet.doGet(HttpServletRequest,HttpServletResponse)";"com.commafeed.backend.dao.UnitOfWork.run(SessionFactory,SessionRunner)";"Extract Method public run(sessionFactory SessionFactory, sessionRunner SessionRunner) : void extracted from protected doGet(req HttpServletRequest, resp HttpServletResponse) : void in class com.commafeed.frontend.servlet.NextUnreadServlet"
212;"2e475c35ccf8037d3259d68c0d66cece83946dbe";"ccf18758fb19109c09e63a261204cc1b3aa0330f";"Extract Method";"com.commafeed.backend.feed.FeedRefreshTaskGiver.start()";"com.commafeed.backend.dao.UnitOfWork.run(SessionFactory,SessionRunner)";"Extract Method public run(sessionFactory SessionFactory, sessionRunner SessionRunner) : void extracted from public start() : void in class com.commafeed.backend.feed.FeedRefreshTaskGiver"
212;"2e475c35ccf8037d3259d68c0d66cece83946dbe";"ccf18758fb19109c09e63a261204cc1b3aa0330f";"Extract Method";"com.commafeed.backend.service.DatabaseCleaningService.cleanFeedsWithoutSubscriptions()";"com.commafeed.backend.dao.UnitOfWork.run(SessionFactory,SessionRunner)";"Extract Method public run(sessionFactory SessionFactory, sessionRunner SessionRunner) : void extracted from public cleanFeedsWithoutSubscriptions() : long in class com.commafeed.backend.service.DatabaseCleaningService"
212;"2e475c35ccf8037d3259d68c0d66cece83946dbe";"ccf18758fb19109c09e63a261204cc1b3aa0330f";"Extract Method";"com.commafeed.backend.service.DatabaseCleaningService.cleanContentsWithoutEntries()";"com.commafeed.backend.dao.UnitOfWork.run(SessionFactory,SessionRunner)";"Extract Method public run(sessionFactory SessionFactory, sessionRunner SessionRunner) : void extracted from public cleanContentsWithoutEntries() : long in class com.commafeed.backend.service.DatabaseCleaningService"
212;"2e475c35ccf8037d3259d68c0d66cece83946dbe";"ccf18758fb19109c09e63a261204cc1b3aa0330f";"Extract Method";"com.commafeed.frontend.servlet.CustomCssServlet.doGet(HttpServletRequest,HttpServletResponse)";"com.commafeed.backend.dao.UnitOfWork.run(SessionFactory,SessionRunner)";"Extract Method public run(sessionFactory SessionFactory, sessionRunner SessionRunner) : void extracted from protected doGet(req HttpServletRequest, resp HttpServletResponse) : void in class com.commafeed.frontend.servlet.CustomCssServlet"
212;"2e475c35ccf8037d3259d68c0d66cece83946dbe";"ccf18758fb19109c09e63a261204cc1b3aa0330f";"Extract Method";"com.commafeed.backend.service.DatabaseCleaningService.cleanEntriesForFeedsExceedingCapacity(int)";"com.commafeed.backend.dao.UnitOfWork.run(SessionFactory,SessionRunner)";"Extract Method public run(sessionFactory SessionFactory, sessionRunner SessionRunner) : void extracted from public cleanEntriesForFeedsExceedingCapacity(maxFeedCapacity int) : long in class com.commafeed.backend.service.DatabaseCleaningService"
212;"2e475c35ccf8037d3259d68c0d66cece83946dbe";"ccf18758fb19109c09e63a261204cc1b3aa0330f";"Extract Method";"com.commafeed.backend.service.DatabaseCleaningService.cleanStatusesOlderThan(Date)";"com.commafeed.backend.dao.UnitOfWork.run(SessionFactory,SessionRunner)";"Extract Method public run(sessionFactory SessionFactory, sessionRunner SessionRunner) : void extracted from public cleanStatusesOlderThan(olderThan Date) : long in class com.commafeed.backend.service.DatabaseCleaningService"
212;"2e475c35ccf8037d3259d68c0d66cece83946dbe";"ccf18758fb19109c09e63a261204cc1b3aa0330f";"Extract Method";"com.commafeed.backend.feed.FeedRefreshUpdater.EntryTask.run()";"com.commafeed.backend.dao.UnitOfWork.run(SessionFactory,SessionRunner)";"Extract Method public run(sessionFactory SessionFactory, sessionRunner SessionRunner) : void extracted from public run() : void in class com.commafeed.backend.feed.FeedRefreshUpdater.EntryTask"
212;"2e475c35ccf8037d3259d68c0d66cece83946dbe";"ccf18758fb19109c09e63a261204cc1b3aa0330f";"Extract Method";"com.commafeed.backend.feed.FeedRefreshUpdater.addEntry(Feed,FeedEntry,List)";"com.commafeed.backend.dao.UnitOfWork.run(SessionFactory,SessionRunner)";"Extract Method public run(sessionFactory SessionFactory, sessionRunner SessionRunner) : void extracted from private addEntry(feed Feed, entry FeedEntry, subscriptions List) : boolean in class com.commafeed.backend.feed.FeedRefreshUpdater"
216;"e2b792335b808839b32aa18e5bab683aa0fd5cdf";"ece38c9e595657eeb5dcd20db679a3d54c270db8";"Rename Class";"com.commafeed.backend.task.OrphansCleanupTask";"com.commafeed.backend.task.OrphanedFeedsCleanupTask";"Rename Class com.commafeed.backend.task.OrphansCleanupTask renamed to com.commafeed.backend.task.OrphanedFeedsCleanupTask"
228;"9110cfd923e8fd211a8e144fad789b9353d58d41";"e40dd14bbfeefc777f4d7cc1ea448eaf527ad036";"Rename Method";"com.commafeed.backend.dao.FeedEntryDAO.delete(Date,int)";"com.commafeed.backend.dao.FeedEntryDAO.deleteOldEntries(Long,long)";"Rename Method public delete(olderThan Date, max int) : int renamed to public deleteOldEntries(feedId Long, max long) : int in class com.commafeed.backend.dao.FeedEntryDAO"
279;"96837f908ec15b643964a1e44bb4fe576b6ddea4";"4ea5ebbf9e3c578605b79c17efbb0a549469d083";"Move And Rename Class";"com.commafeed.backend.feed.FeedEntryFilter";"com.commafeed.backend.service.FeedEntryFilteringService";"Move And Rename Class com.commafeed.backend.feed.FeedEntryFilter moved to com.commafeed.backend.service.FeedEntryFilteringService"
279;"96837f908ec15b643964a1e44bb4fe576b6ddea4";"4ea5ebbf9e3c578605b79c17efbb0a549469d083";"Move And Rename Class";"com.commafeed.backend.feed.FeedEntryFilterTest";"com.commafeed.backend.service.FeedEntryFilteringServiceTest";"Move And Rename Class com.commafeed.backend.feed.FeedEntryFilterTest moved to com.commafeed.backend.service.FeedEntryFilteringServiceTest"
279;"96837f908ec15b643964a1e44bb4fe576b6ddea4";"4ea5ebbf9e3c578605b79c17efbb0a549469d083";"Rename Method";"com.commafeed.backend.feed.FeedEntryFilter.matchesEntry(FeedEntry)";"com.commafeed.backend.service.FeedEntryFilteringService.filterMatchesEntry(String,FeedEntry)";"Rename Method public matchesEntry(entry FeedEntry) : boolean renamed to public filterMatchesEntry(filter String, entry FeedEntry) : boolean in class com.commafeed.backend.service.FeedEntryFilteringService"
309;"b71434acf6908a434c2a1c51ec3e6c67ab9dd078";"7e158ed9b96014c3c98311024e07b68d805d0b0e";"Extract Superclass";"com.commafeed.backend.task.OrphansCleanupTask";"com.commafeed.backend.task.ScheduledTask";"Extract Superclass com.commafeed.backend.task.ScheduledTask from class com.commafeed.backend.task.OrphansCleanupTask"
309;"b71434acf6908a434c2a1c51ec3e6c67ab9dd078";"7e158ed9b96014c3c98311024e07b68d805d0b0e";"Extract Superclass";"com.commafeed.backend.task.OldStatusesCleanupTask";"com.commafeed.backend.task.ScheduledTask";"Extract Superclass com.commafeed.backend.task.ScheduledTask from class com.commafeed.backend.task.OldStatusesCleanupTask"
312;"effc65b7770f1f32b19561c02cc311d038638c95";"c48e2482835cb723830ff2a9b0ab8c97e4880312";"Rename Method";"com.commafeed.frontend.auth.SecurityCheckInjectableTest.cookie_login_should_perform_post_login_activities_if_user_present_in_http_session()";"com.commafeed.frontend.auth.SecurityCheckInjectableTest.cookie_login_should_perform_post_login_activities_if_user_is_logged_in()";"Rename Method public cookie_login_should_perform_post_login_activities_if_user_present_in_http_session() : void renamed to public cookie_login_should_perform_post_login_activities_if_user_is_logged_in() : void in class com.commafeed.frontend.auth.SecurityCheckInjectableTest"
312;"effc65b7770f1f32b19561c02cc311d038638c95";"c48e2482835cb723830ff2a9b0ab8c97e4880312";"Move Attribute";"com.commafeed.frontend.auth.SecurityCheckInjectableTest.SESSION_KEY_USER";"com.commafeed.frontend.session.SessionHelperTest.SESSION_KEY_USER";"Move Attribute private SESSION_KEY_USER : String from class com.commafeed.frontend.auth.SecurityCheckInjectableTest to class com.commafeed.frontend.session.SessionHelperTest"
313;"c48e2482835cb723830ff2a9b0ab8c97e4880312";"f9e9a4547c9fb0426a6ca985cc7b79699c4e6f05";"Move Class";"com.commafeed.frontend.SessionHelper";"com.commafeed.frontend.session.SessionHelper";"Move Class com.commafeed.frontend.SessionHelper moved to com.commafeed.frontend.session.SessionHelper"
313;"c48e2482835cb723830ff2a9b0ab8c97e4880312";"f9e9a4547c9fb0426a6ca985cc7b79699c4e6f05";"Move Class";"com.commafeed.frontend.SessionHelperProvider";"com.commafeed.frontend.session.SessionHelperProvider";"Move Class com.commafeed.frontend.SessionHelperProvider moved to com.commafeed.frontend.session.SessionHelperProvider"
313;"c48e2482835cb723830ff2a9b0ab8c97e4880312";"f9e9a4547c9fb0426a6ca985cc7b79699c4e6f05";"Move Class";"com.commafeed.frontend.SessionManagerFactory";"com.commafeed.frontend.session.SessionManagerFactory";"Move Class com.commafeed.frontend.SessionManagerFactory moved to com.commafeed.frontend.session.SessionManagerFactory"
374;"b051613b624ab3d887a5ca0444950a0a14769ba3";"b886379d34b160ec2977823d5c7244f29260fdb6";"Move Method";"com.commafeed.backend.service.ApplicationPropertiesService.getGitCommit()";"com.commafeed.CommaFeedConfiguration.getGitCommit()";"Move Method public getGitCommit() : String from class com.commafeed.backend.service.ApplicationPropertiesService to public getGitCommit() : String from class com.commafeed.CommaFeedConfiguration"
374;"b051613b624ab3d887a5ca0444950a0a14769ba3";"b886379d34b160ec2977823d5c7244f29260fdb6";"Move Method";"com.commafeed.backend.service.ApplicationPropertiesService.getVersion()";"com.commafeed.CommaFeedConfiguration.getVersion()";"Move Method public getVersion() : String from class com.commafeed.backend.service.ApplicationPropertiesService to public getVersion() : String from class com.commafeed.CommaFeedConfiguration"
374;"b051613b624ab3d887a5ca0444950a0a14769ba3";"b886379d34b160ec2977823d5c7244f29260fdb6";"Move Attribute";"com.commafeed.backend.service.ApplicationPropertiesService.bundle";"com.commafeed.CommaFeedConfiguration.bundle";"Move Attribute private bundle : ResourceBundle from class com.commafeed.backend.service.ApplicationPropertiesService to class com.commafeed.CommaFeedConfiguration"
381;"db0b685ae1ac180dfdbce4c23de742af7fe936df";"23d33b8402051d463491c76bd9d42469df5a96bc";"Rename Method";"com.commafeed.backend.dao.FeedEntryStatusDAO.buildSearchCriteria(User,FeedSubscription,boolean,String,Date,int,int,ReadingOrder,Date,String)";"com.commafeed.backend.dao.FeedEntryStatusDAO.buildQuery(User,FeedSubscription,boolean,String,Date,int,int,ReadingOrder,Date,String)";"Rename Method private buildSearchCriteria(user User, sub FeedSubscription, unreadOnly boolean, keywords String, newerThan Date, offset int, limit int, order ReadingOrder, last Date, tag String) : Criteria renamed to private buildQuery(user User, sub FeedSubscription, unreadOnly boolean, keywords String, newerThan Date, offset int, limit int, order ReadingOrder, last Date, tag String) : HibernateQuery in class com.commafeed.backend.dao.FeedEntryStatusDAO"
388;"943bde7eed155aeece0a0622246012480a706c7a";"9701af07364d2dc7f3214f12dcf5b598a8edc65e";"Extract Method";"com.commafeed.frontend.servlet.NextUnreadServlet.doGet(HttpServletRequest,HttpServletResponse)";"com.commafeed.backend.service.UserService.login(HttpSession)";"Extract Method public login(session HttpSession) : Optional extracted from protected doGet(req HttpServletRequest, resp HttpServletResponse) : void in class com.commafeed.frontend.servlet.NextUnreadServlet"
388;"943bde7eed155aeece0a0622246012480a706c7a";"9701af07364d2dc7f3214f12dcf5b598a8edc65e";"Extract Method";"com.commafeed.frontend.auth.SecurityCheckProvider.SecurityCheckInjectable.cookieSessionLogin()";"com.commafeed.backend.service.UserService.login(HttpSession)";"Extract Method public login(session HttpSession) : Optional extracted from private cookieSessionLogin() : Optional in class com.commafeed.frontend.auth.SecurityCheckProvider.SecurityCheckInjectable"
388;"943bde7eed155aeece0a0622246012480a706c7a";"9701af07364d2dc7f3214f12dcf5b598a8edc65e";"Extract Method";"com.commafeed.frontend.servlet.CustomCssServlet.doGet(HttpServletRequest,HttpServletResponse)";"com.commafeed.backend.service.UserService.login(HttpSession)";"Extract Method public login(session HttpSession) : Optional extracted from protected doGet(req HttpServletRequest, resp HttpServletResponse) : void in class com.commafeed.frontend.servlet.CustomCssServlet"
388;"943bde7eed155aeece0a0622246012480a706c7a";"9701af07364d2dc7f3214f12dcf5b598a8edc65e";"Extract Method";"com.commafeed.frontend.resource.UserREST.login(LoginRequest,HttpSession)";"com.commafeed.backend.service.UserService.login(String,String,HttpSession)";"Extract Method public login(nameOrEmail String, password String, sessionToFill HttpSession) : Optional extracted from public login(req LoginRequest, session HttpSession) : Response in class com.commafeed.frontend.resource.UserREST"
389;"9701af07364d2dc7f3214f12dcf5b598a8edc65e";"1456cc40e1b9f12ca6ada268a5349384109935dc";"Extract Method";"com.commafeed.backend.service.UserService.login(String,String)";"com.commafeed.backend.service.UserService.afterLogin(User)";"Extract Method public afterLogin(user User) : void extracted from public login(nameOrEmail String, password String) : Optional in class com.commafeed.backend.service.UserService"
405;"f05515d7d60b65b9e8e881ed86d2c62c0b55b006";"95bbcce941de240bed83c3d4831f721c44001c09";"Inline Method";"com.commafeed.backend.feed.FeedRefreshUpdater.EntryTask.internalRun()";"com.commafeed.backend.feed.FeedRefreshUpdater.EntryTask.run()";"Inline Method public internalRun() : void inlined to public run() : void in class com.commafeed.backend.feed.FeedRefreshUpdater.EntryTask"
464;"2db9224ffcb0183c0bcde50dad685a24660d4b74";"043b1df585ac47956ad401171574a9ac98509c81";"Rename Method";"com.commafeed.backend.services.DatabaseCleaningService.cleanEntriesForFeedsWithoutSubscriptions(List)";"com.commafeed.backend.services.DatabaseCleaningService.cleanEntriesWithoutSubscriptions()";"Rename Method private cleanEntriesForFeedsWithoutSubscriptions(feeds List) : long renamed to public cleanEntriesWithoutSubscriptions() : long in class com.commafeed.backend.services.DatabaseCleaningService"
558;"174d21fd4e26872c260e671db78f243a42443e24";"c2ed6d47f1584faf876e416a9bf24400f205d5d7";"Move Attribute";"com.commafeed.frontend.rest.resources.AbstractREST.feedSubscriptionService";"com.commafeed.backend.services.UserService.feedSubscriptionService";"Move Attribute package feedSubscriptionService : FeedSubscriptionService from class com.commafeed.frontend.rest.resources.AbstractREST to class com.commafeed.backend.services.UserService"
559;"c2ed6d47f1584faf876e416a9bf24400f205d5d7";"0f6f717d09fbf922c6a084bb3e78b6153a1e6077";"Extract Method";"com.commafeed.frontend.rest.resources.FeedREST.queueAllForRefresh()";"com.commafeed.backend.services.FeedSubscriptionService.refreshAll(User)";"Extract Method public refreshAll(user User) : void extracted from public queueAllForRefresh() : Response in class com.commafeed.frontend.rest.resources.FeedREST"
563;"97586cd2c8d0626bff0912a91bcdc70e1bc518c6";"b74458f0b04ea6d1846505edb3a23788e3410440";"Rename Method";"com.commafeed.backend.dao.FeedDAO.deleteWithoutSubscriptions(int)";"com.commafeed.backend.dao.FeedDAO.findWithoutSubscriptions(int)";"Rename Method public deleteWithoutSubscriptions(max int) : int renamed to public findWithoutSubscriptions(max int) : List in class com.commafeed.backend.dao.FeedDAO"
657;"3ecb47da5a9fb594ff787680c1420e40a314aff4";"ae03b42c6de62e4f1335e64469f6d6fc285ee031";"Inline Method";"com.commafeed.frontend.rest.resources.AbstractREST.handleMetric(Method)";"com.commafeed.frontend.rest.resources.AbstractREST.intercept(InvocationContext)";"Inline Method private handleMetric(method Method) : void inlined to public intercept(context InvocationContext) : Object in class com.commafeed.frontend.rest.resources.AbstractREST"
659;"ee4eb9bb079180c12efdc03520949ca40bbd7318";"a0be2e087931e39600219552c655ee1039acb02a";"Move Class";"com.commafeed.backend.DatabaseUpdater";"com.commafeed.backend.startup.DatabaseUpdater";"Move Class com.commafeed.backend.DatabaseUpdater moved to com.commafeed.backend.startup.DatabaseUpdater"
659;"ee4eb9bb079180c12efdc03520949ca40bbd7318";"a0be2e087931e39600219552c655ee1039acb02a";"Move Class";"com.commafeed.backend.StartupBean";"com.commafeed.backend.startup.StartupBean";"Move Class com.commafeed.backend.StartupBean moved to com.commafeed.backend.startup.StartupBean"
659;"ee4eb9bb079180c12efdc03520949ca40bbd7318";"a0be2e087931e39600219552c655ee1039acb02a";"Move Class";"com.commafeed.backend.feeds.OPMLExporter";"com.commafeed.backend.opml.OPMLExporter";"Move Class com.commafeed.backend.feeds.OPMLExporter moved to com.commafeed.backend.opml.OPMLExporter"
659;"ee4eb9bb079180c12efdc03520949ca40bbd7318";"a0be2e087931e39600219552c655ee1039acb02a";"Move Class";"com.commafeed.backend.feeds.OPMLImporter";"com.commafeed.backend.opml.OPMLImporter";"Move Class com.commafeed.backend.feeds.OPMLImporter moved to com.commafeed.backend.opml.OPMLImporter"
659;"ee4eb9bb079180c12efdc03520949ca40bbd7318";"a0be2e087931e39600219552c655ee1039acb02a";"Move And Rename Class";"com.commafeed.backend.DatabaseCleaner";"com.commafeed.backend.services.DatabaseCleaningService";"Move And Rename Class com.commafeed.backend.DatabaseCleaner moved to com.commafeed.backend.services.DatabaseCleaningService"
659;"ee4eb9bb079180c12efdc03520949ca40bbd7318";"a0be2e087931e39600219552c655ee1039acb02a";"Rename Method";"com.commafeed.frontend.rest.resources.AbstractREST.checkSecurity(InvocationContext)";"com.commafeed.frontend.rest.resources.AbstractREST.intercept(InvocationContext)";"Rename Method public checkSecurity(context InvocationContext) : Object renamed to public intercept(context InvocationContext) : Object in class com.commafeed.frontend.rest.resources.AbstractREST"
730;"bb5244c11851a291d7155b150c4995c76c7cf788";"f20a5e92e2869c25df712c0179ff611b4e35e9de";"Move Attribute";"com.commafeed.frontend.rest.JsonProvider.HEADER_CORS";"com.commafeed.frontend.InterceptingFilter.HEADER_CORS";"Move Attribute private HEADER_CORS : String from class com.commafeed.frontend.rest.JsonProvider to class com.commafeed.frontend.InterceptingFilter"
730;"bb5244c11851a291d7155b150c4995c76c7cf788";"f20a5e92e2869c25df712c0179ff611b4e35e9de";"Move Attribute";"com.commafeed.frontend.rest.JsonProvider.HEADER_CORS_VALUE";"com.commafeed.frontend.InterceptingFilter.HEADER_CORS_VALUE";"Move Attribute private HEADER_CORS_VALUE : String from class com.commafeed.frontend.rest.JsonProvider to class com.commafeed.frontend.InterceptingFilter"
730;"bb5244c11851a291d7155b150c4995c76c7cf788";"f20a5e92e2869c25df712c0179ff611b4e35e9de";"Move Attribute";"com.commafeed.frontend.rest.JsonProvider.HEADER_X_UA_COMPATIBLE";"com.commafeed.frontend.InterceptingFilter.HEADER_X_UA_COMPATIBLE";"Move Attribute private HEADER_X_UA_COMPATIBLE : String from class com.commafeed.frontend.rest.JsonProvider to class com.commafeed.frontend.InterceptingFilter"
730;"bb5244c11851a291d7155b150c4995c76c7cf788";"f20a5e92e2869c25df712c0179ff611b4e35e9de";"Move Attribute";"com.commafeed.frontend.rest.JsonProvider.HEADER_X_UA_COMPATIBLE_VALUE";"com.commafeed.frontend.InterceptingFilter.HEADER_X_UA_COMPATIBLE_VALUE";"Move Attribute private HEADER_X_UA_COMPATIBLE_VALUE : String from class com.commafeed.frontend.rest.JsonProvider to class com.commafeed.frontend.InterceptingFilter"
730;"bb5244c11851a291d7155b150c4995c76c7cf788";"f20a5e92e2869c25df712c0179ff611b4e35e9de";"Move Attribute";"com.commafeed.frontend.rest.JsonProvider.HEADER_CORS_ALLOW_HEADERS";"com.commafeed.frontend.InterceptingFilter.HEADER_CORS_ALLOW_HEADERS";"Move Attribute private HEADER_CORS_ALLOW_HEADERS : String from class com.commafeed.frontend.rest.JsonProvider to class com.commafeed.frontend.InterceptingFilter"
730;"bb5244c11851a291d7155b150c4995c76c7cf788";"f20a5e92e2869c25df712c0179ff611b4e35e9de";"Move Attribute";"com.commafeed.frontend.rest.JsonProvider.HEADER_CORS_ALLOW_HEADERS_VALUE";"com.commafeed.frontend.InterceptingFilter.HEADER_CORS_ALLOW_HEADERS_VALUE";"Move Attribute private HEADER_CORS_ALLOW_HEADERS_VALUE : String from class com.commafeed.frontend.rest.JsonProvider to class com.commafeed.frontend.InterceptingFilter"
730;"bb5244c11851a291d7155b150c4995c76c7cf788";"f20a5e92e2869c25df712c0179ff611b4e35e9de";"Move Attribute";"com.commafeed.frontend.rest.JsonProvider.HEADER_CORS_MAXAGE";"com.commafeed.frontend.InterceptingFilter.HEADER_CORS_MAXAGE";"Move Attribute private HEADER_CORS_MAXAGE : String from class com.commafeed.frontend.rest.JsonProvider to class com.commafeed.frontend.InterceptingFilter"
730;"bb5244c11851a291d7155b150c4995c76c7cf788";"f20a5e92e2869c25df712c0179ff611b4e35e9de";"Move Attribute";"com.commafeed.frontend.rest.JsonProvider.HEADER_CORS_MAXAGE_VALUE";"com.commafeed.frontend.InterceptingFilter.HEADER_CORS_MAXAGE_VALUE";"Move Attribute private HEADER_CORS_MAXAGE_VALUE : String from class com.commafeed.frontend.rest.JsonProvider to class com.commafeed.frontend.InterceptingFilter"
730;"bb5244c11851a291d7155b150c4995c76c7cf788";"f20a5e92e2869c25df712c0179ff611b4e35e9de";"Move Attribute";"com.commafeed.frontend.rest.JsonProvider.HEADER_CORS_METHODS";"com.commafeed.frontend.InterceptingFilter.HEADER_CORS_METHODS";"Move Attribute private HEADER_CORS_METHODS : String from class com.commafeed.frontend.rest.JsonProvider to class com.commafeed.frontend.InterceptingFilter"
730;"bb5244c11851a291d7155b150c4995c76c7cf788";"f20a5e92e2869c25df712c0179ff611b4e35e9de";"Move Attribute";"com.commafeed.frontend.rest.JsonProvider.HEADER_CORS_METHODS_VALUE";"com.commafeed.frontend.InterceptingFilter.HEADER_CORS_METHODS_VALUE";"Move Attribute private HEADER_CORS_METHODS_VALUE : String from class com.commafeed.frontend.rest.JsonProvider to class com.commafeed.frontend.InterceptingFilter"
735;"8f85637bb8f526e8a438c82eccbbd2aa21e4213e";"a37925396aeb675b04e75b9116e422447c604d65";"Rename Method";"com.commafeed.backend.services.FeedUpdateService.updateEntry(Feed,FeedEntry)";"com.commafeed.backend.services.FeedUpdateService.addEntry(Feed,FeedEntry)";"Rename Method public updateEntry(feed Feed, entry FeedEntry) : void renamed to public addEntry(feed Feed, entry FeedEntry) : boolean in class com.commafeed.backend.services.FeedUpdateService"
