"Number";"Commit";"Parent";"Refactoring";"EntityBefore";"EntityAfter";"FullDescription"
10;"c8d8409d309ebd43e390cd2d9ad2e02e9aa169e9";"236226991b1d2115d4e1ecc4578e2840e8f37556";"Move Class";"com.alibaba.druid.sql.refactor.AddWhere_0";"com.alibaba.druid.bvt.sql.refactor.AddWhere_0";"Move Class com.alibaba.druid.sql.refactor.AddWhere_0 moved to com.alibaba.druid.bvt.sql.refactor.AddWhere_0"
17;"863ba9a053091d45089a6535e12367421bf6950b";"13670a431af7d6275076ed440b4f4c4072c62513";"Extract Method";"com.alibaba.druid.sql.visitor.SchemaStatVisitor.visit(SQLAllColumnExpr)";"com.alibaba.druid.sql.visitor.SchemaStatVisitor.statAllColumn(SQLAllColumnExpr,SQLTableSource)";"Extract Method private statAllColumn(x SQLAllColumnExpr, tableSource SQLTableSource) : void extracted from public visit(x SQLAllColumnExpr) : boolean in class com.alibaba.druid.sql.visitor.SchemaStatVisitor"
21;"0acd0c76df1c0acd9146004f605dd48b8d9ec4e4";"3ea9c0c8ba343f19ba54525323768f4c648fe2a2";"Extract Method";"com.alibaba.druid.sql.parser.SQLExprParser.over(SQLAggregateExpr)";"com.alibaba.druid.sql.ast.expr.SQLAggregateExpr.setOverRef(SQLName)";"Extract Method public setOverRef(x SQLName) : void extracted from protected over(aggregateExpr SQLAggregateExpr) : void in class com.alibaba.druid.sql.parser.SQLExprParser"
21;"0acd0c76df1c0acd9146004f605dd48b8d9ec4e4";"3ea9c0c8ba343f19ba54525323768f4c648fe2a2";"Extract Method";"com.alibaba.druid.sql.parser.SQLExprParser.over(SQLAggregateExpr)";"com.alibaba.druid.sql.parser.SQLExprParser.over(SQLOver)";"Extract Method protected over(over SQLOver) : void extracted from protected over(aggregateExpr SQLAggregateExpr) : void in class com.alibaba.druid.sql.parser.SQLExprParser"
21;"0acd0c76df1c0acd9146004f605dd48b8d9ec4e4";"3ea9c0c8ba343f19ba54525323768f4c648fe2a2";"Extract Method";"com.alibaba.druid.sql.dialect.postgresql.parser.PGSelectParser.query()";"com.alibaba.druid.sql.parser.SQLSelectParser.parseWindow(SQLSelectQueryBlock)";"Extract Method protected parseWindow(queryBlock SQLSelectQueryBlock) : void extracted from public query() : SQLSelectQuery in class com.alibaba.druid.sql.dialect.postgresql.parser.PGSelectParser"
23;"b84e7b946a45ec2e2b8f926e3a498df5eb69eea0";"8681b7a7cd5b80ba77ce73232a29da6cbd8af20b";"Extract Method";"com.alibaba.druid.sql.parser.SQLExprParser.or()";"com.alibaba.druid.sql.parser.SQLExprParser.xor()";"Extract Method public xor() : SQLExpr extracted from public or() : SQLExpr in class com.alibaba.druid.sql.parser.SQLExprParser"
23;"b84e7b946a45ec2e2b8f926e3a498df5eb69eea0";"8681b7a7cd5b80ba77ce73232a29da6cbd8af20b";"Extract Method";"com.alibaba.druid.sql.parser.SQLExprParser.orRest(SQLExpr)";"com.alibaba.druid.sql.parser.SQLExprParser.xor()";"Extract Method public xor() : SQLExpr extracted from public orRest(expr SQLExpr) : SQLExpr in class com.alibaba.druid.sql.parser.SQLExprParser"
28;"8f63d503012b437c7510d828de75b2d53c5459ba";"3df15cbaed5362ae3f2fa438b62bdf41535b603a";"Extract Method";"com.alibaba.druid.sql.dialect.mysql.parser.MySqlCreateTableParser.parseCreateTable(boolean)";"com.alibaba.druid.sql.dialect.mysql.ast.statement.MySqlCreateTableStatement.setDbPartitionBy(SQLPartitionBy)";"Extract Method public setDbPartitionBy(x SQLPartitionBy) : void extracted from public parseCreateTable(acceptCreate boolean) : MySqlCreateTableStatement in class com.alibaba.druid.sql.dialect.mysql.parser.MySqlCreateTableParser"
28;"8f63d503012b437c7510d828de75b2d53c5459ba";"3df15cbaed5362ae3f2fa438b62bdf41535b603a";"Extract Method";"com.alibaba.druid.sql.dialect.mysql.parser.MySqlCreateTableParser.parseCreateTable(boolean)";"com.alibaba.druid.sql.dialect.mysql.ast.statement.MySqlCreateTableStatement.setTablePartitionBy(SQLPartitionBy)";"Extract Method public setTablePartitionBy(x SQLPartitionBy) : void extracted from public parseCreateTable(acceptCreate boolean) : MySqlCreateTableStatement in class com.alibaba.druid.sql.dialect.mysql.parser.MySqlCreateTableParser"
28;"8f63d503012b437c7510d828de75b2d53c5459ba";"3df15cbaed5362ae3f2fa438b62bdf41535b603a";"Extract Method";"com.alibaba.druid.sql.dialect.mysql.parser.MySqlCreateTableParser.parseCreateTable(boolean)";"com.alibaba.druid.sql.dialect.mysql.ast.statement.MySqlCreateTableStatement.setTbpartitions(SQLExpr)";"Extract Method public setTbpartitions(x SQLExpr) : void extracted from public parseCreateTable(acceptCreate boolean) : MySqlCreateTableStatement in class com.alibaba.druid.sql.dialect.mysql.parser.MySqlCreateTableParser"
