"Number";"Commit";"Parent";"Refactoring";"EntityBefore";"EntityAfter";"FullDescription"
2;"3bdc49bc36b19352802f7c2d765703abcbc2a2c3";"6b768b689ac5c72921449f9a91aceca9805e48ef";"Rename Method";"com.graphhopper.tools.Measurement.store(FileWriter,String)";"com.graphhopper.tools.Measurement.storeProperties(String,String)";"Rename Method private store(fileWriter FileWriter, comment String) : void renamed to private storeProperties(graphLocation String, propLocation String) : void in class com.graphhopper.tools.Measurement"
5;"f245937221baeb18c6024ff69b5423240fb80438";"69cfd035b0a2255f074056016b7d245b246c0435";"Move Class";"com.graphhopper.http.ChangeGraphResourceIT";"com.graphhopper.http.resources.ChangeGraphResourceIT";"Move Class com.graphhopper.http.ChangeGraphResourceIT moved to com.graphhopper.http.resources.ChangeGraphResourceIT"
5;"f245937221baeb18c6024ff69b5423240fb80438";"69cfd035b0a2255f074056016b7d245b246c0435";"Move Class";"com.graphhopper.http.NearestResourceIT";"com.graphhopper.http.resources.NearestResourceIT";"Move Class com.graphhopper.http.NearestResourceIT moved to com.graphhopper.http.resources.NearestResourceIT"
5;"f245937221baeb18c6024ff69b5423240fb80438";"69cfd035b0a2255f074056016b7d245b246c0435";"Move Class";"com.graphhopper.http.NearestResourceWithEleIT";"com.graphhopper.http.resources.NearestResourceWithEleIT";"Move Class com.graphhopper.http.NearestResourceWithEleIT moved to com.graphhopper.http.resources.NearestResourceWithEleIT"
5;"f245937221baeb18c6024ff69b5423240fb80438";"69cfd035b0a2255f074056016b7d245b246c0435";"Move Class";"com.graphhopper.http.RouteResourceIT";"com.graphhopper.http.resources.RouteResourceIT";"Move Class com.graphhopper.http.RouteResourceIT moved to com.graphhopper.http.resources.RouteResourceIT"
5;"f245937221baeb18c6024ff69b5423240fb80438";"69cfd035b0a2255f074056016b7d245b246c0435";"Move Class";"com.graphhopper.http.RouteResourceWithEleIT";"com.graphhopper.http.resources.RouteResourceWithEleIT";"Move Class com.graphhopper.http.RouteResourceWithEleIT moved to com.graphhopper.http.resources.RouteResourceWithEleIT"
6;"69cfd035b0a2255f074056016b7d245b246c0435";"b69eeccd97a65bcdec4db2535bef51ff730ef3b5";"Move Method";"com.graphhopper.http.resources.RouteResource.errorResponse(List,boolean)";"com.graphhopper.http.WebHelper.errorResponse(List,boolean)";"Move Method private errorResponse(t List, writeGPX boolean) : Response from class com.graphhopper.http.resources.RouteResource to public errorResponse(t List, writeGPX boolean) : Response from class com.graphhopper.http.WebHelper"
6;"69cfd035b0a2255f074056016b7d245b246c0435";"b69eeccd97a65bcdec4db2535bef51ff730ef3b5";"Move Method";"com.graphhopper.http.resources.RouteResource.errorResponse(Throwable,boolean)";"com.graphhopper.http.WebHelper.errorResponse(Throwable,boolean)";"Move Method private errorResponse(t Throwable, writeGPX boolean) : Response from class com.graphhopper.http.resources.RouteResource to public errorResponse(t Throwable, writeGPX boolean) : Response from class com.graphhopper.http.WebHelper"
6;"69cfd035b0a2255f074056016b7d245b246c0435";"b69eeccd97a65bcdec4db2535bef51ff730ef3b5";"Move Method";"com.graphhopper.http.resources.RouteResource.getMessage(Throwable)";"com.graphhopper.http.WebHelper.getMessage(Throwable)";"Move Method private getMessage(t Throwable) : String from class com.graphhopper.http.resources.RouteResource to private getMessage(t Throwable) : String from class com.graphhopper.http.WebHelper"
6;"69cfd035b0a2255f074056016b7d245b246c0435";"b69eeccd97a65bcdec4db2535bef51ff730ef3b5";"Move Method";"com.graphhopper.http.resources.RouteResource.jsonErrorResponse(List)";"com.graphhopper.http.WebHelper.jsonErrorResponse(List)";"Move Method private jsonErrorResponse(errors List) : Response from class com.graphhopper.http.resources.RouteResource to private jsonErrorResponse(errors List) : Response from class com.graphhopper.http.WebHelper"
