"Number";"Commit";"Parent";"Refactoring";"EntityBefore";"EntityAfter";"FullDescription"
13;"6fdb71e6b99c6b9fcad7d1853a64dfa6384a7609";"13e142f53092436a33e4c4849d48db3afdbdc563";"Rename Method";"org.graylog2.indexer.fieldtypes.IndexFieldTypesService.streamForFieldNamesAndIndices(Collection,Collection)";"org.graylog2.indexer.fieldtypes.IndexFieldTypesService.findForFieldNamesAndIndices(Collection,Collection)";"Rename Method public streamForFieldNamesAndIndices(fieldNames Collection, indexNames Collection) : Stream renamed to public findForFieldNamesAndIndices(fieldNames Collection, indexNames Collection) : Collection in class org.graylog2.indexer.fieldtypes.IndexFieldTypesService"
13;"6fdb71e6b99c6b9fcad7d1853a64dfa6384a7609";"13e142f53092436a33e4c4849d48db3afdbdc563";"Rename Method";"org.graylog2.indexer.fieldtypes.IndexFieldTypesService.streamForIndexSet(String)";"org.graylog2.indexer.fieldtypes.IndexFieldTypesService.findForIndexSet(String)";"Rename Method public streamForIndexSet(indexSetId String) : Stream renamed to public findForIndexSet(indexSetId String) : Collection in class org.graylog2.indexer.fieldtypes.IndexFieldTypesService"
13;"6fdb71e6b99c6b9fcad7d1853a64dfa6384a7609";"13e142f53092436a33e4c4849d48db3afdbdc563";"Rename Method";"org.graylog2.indexer.fieldtypes.IndexFieldTypesService.streamForFieldNames(Collection)";"org.graylog2.indexer.fieldtypes.IndexFieldTypesService.findForFieldNames(Collection)";"Rename Method public streamForFieldNames(fieldNames Collection) : Stream renamed to public findForFieldNames(fieldNames Collection) : Collection in class org.graylog2.indexer.fieldtypes.IndexFieldTypesService"
13;"6fdb71e6b99c6b9fcad7d1853a64dfa6384a7609";"13e142f53092436a33e4c4849d48db3afdbdc563";"Rename Method";"org.graylog2.indexer.fieldtypes.IndexFieldTypesService.streamQuery(DBQuery.Query)";"org.graylog2.indexer.fieldtypes.IndexFieldTypesService.findByQuery(DBQuery.Query)";"Rename Method private streamQuery(query DBQuery.Query) : Stream renamed to private findByQuery(query DBQuery.Query) : Collection in class org.graylog2.indexer.fieldtypes.IndexFieldTypesService"
13;"6fdb71e6b99c6b9fcad7d1853a64dfa6384a7609";"13e142f53092436a33e4c4849d48db3afdbdc563";"Rename Method";"org.graylog2.indexer.fieldtypes.IndexFieldTypesService.streamAll()";"org.graylog2.indexer.fieldtypes.IndexFieldTypesService.findAll()";"Rename Method public streamAll() : Stream renamed to public findAll() : Collection in class org.graylog2.indexer.fieldtypes.IndexFieldTypesService"
13;"6fdb71e6b99c6b9fcad7d1853a64dfa6384a7609";"13e142f53092436a33e4c4849d48db3afdbdc563";"Rename Method";"org.graylog2.lookup.db.DBCacheService.streamAll()";"org.graylog2.lookup.db.DBCacheService.findAll()";"Rename Method public streamAll() : Stream renamed to public findAll() : Collection in class org.graylog2.lookup.db.DBCacheService"
13;"6fdb71e6b99c6b9fcad7d1853a64dfa6384a7609";"13e142f53092436a33e4c4849d48db3afdbdc563";"Rename Method";"org.graylog2.lookup.db.DBDataAdapterService.streamAll()";"org.graylog2.lookup.db.DBDataAdapterService.findAll()";"Rename Method public streamAll() : Stream renamed to public findAll() : Collection in class org.graylog2.lookup.db.DBDataAdapterService"
24;"df13dc10ea4d8b0228aad391fbca1fc9ebfd1996";"d3f29161793aa41f7e1faa2a08bb5f025c6f3b3c";"Extract Method";"org.graylog2.rest.resources.tools.GrokTesterResource.doTestGrok(String,String,boolean)";"org.graylog2.rest.resources.tools.responses.GrokTesterResponse.createError(String,String,String)";"Extract Method public createError(pattern String, string String, errorMessage String) : GrokTesterResponse extracted from private doTestGrok(string String, pattern String, namedCapturesOnly boolean) : GrokTesterResponse in class org.graylog2.rest.resources.tools.GrokTesterResource"
24;"df13dc10ea4d8b0228aad391fbca1fc9ebfd1996";"d3f29161793aa41f7e1faa2a08bb5f025c6f3b3c";"Extract Method";"org.graylog2.rest.resources.tools.GrokTesterResource.doTestGrok(String,String,boolean)";"org.graylog2.rest.resources.tools.responses.GrokTesterResponse.createSuccess(boolean,List,String,String)";"Extract Method public createSuccess(matched boolean, matches List, pattern String, string String) : GrokTesterResponse extracted from private doTestGrok(string String, pattern String, namedCapturesOnly boolean) : GrokTesterResponse in class org.graylog2.rest.resources.tools.GrokTesterResource"
39;"921d04dc6f945af310c2f7174cee0c07b594d06c";"2df062f1776382163757a223748a23938cd06fd0";"Pull Up Method";"org.graylog2.plugin.BaseConfiguration.getPluginDir()";"org.graylog2.configuration.PathConfiguration.getPluginDir()";"Pull Up Method public getPluginDir() : String from class org.graylog2.plugin.BaseConfiguration to public getPluginDir() : Path from class org.graylog2.configuration.PathConfiguration"
