"Number";"Commit";"Parent";"Refactoring";"EntityBefore";"EntityAfter";"FullDescription"
13;"697724cf002fa46ffcbad92b0aebc5f134404355";"20aa3f0b2f5785c80c71f8e8d3d2d3522cb92c2e";"Rename Method";"com.alibaba.dubbo.remoting.exchange.support.header.HeaderExchangeServer.startHeatbeatTimer()";"com.alibaba.dubbo.remoting.exchange.support.header.HeaderExchangeServer.startHeartbeatTimer()";"Rename Method private startHeatbeatTimer() : void renamed to private startHeartbeatTimer() : void in class com.alibaba.dubbo.remoting.exchange.support.header.HeaderExchangeServer"
16;"ab2af6956cded331b6f04164ab7976f2cb7812ea";"9ffbea0c0bb9f8e88f04f1138df5451965e6a781";"Rename Method";"com.alibaba.dubbo.remoting.transport.grizzly.GrizzlyChannel.removeChannelIfDisconnectd(Connection)";"com.alibaba.dubbo.remoting.transport.grizzly.GrizzlyChannel.removeChannelIfDisconnected(Connection)";"Rename Method package removeChannelIfDisconnectd(connection Connection) : void renamed to package removeChannelIfDisconnected(connection Connection) : void in class com.alibaba.dubbo.remoting.transport.grizzly.GrizzlyChannel"
16;"ab2af6956cded331b6f04164ab7976f2cb7812ea";"9ffbea0c0bb9f8e88f04f1138df5451965e6a781";"Rename Method";"com.alibaba.dubbo.remoting.transport.mina.MinaChannel.removeChannelIfDisconnectd(IoSession)";"com.alibaba.dubbo.remoting.transport.mina.MinaChannel.removeChannelIfDisconnected(IoSession)";"Rename Method package removeChannelIfDisconnectd(session IoSession) : void renamed to package removeChannelIfDisconnected(session IoSession) : void in class com.alibaba.dubbo.remoting.transport.mina.MinaChannel"
32;"5dd8ddc7bed71a99601352a5ae5abc709b137399";"6a5281efd753e44477af08ee84e4372aa9110d4f";"Rename Method";"com.alibaba.dubbo.registry.support.ProviderConsumerRegTable.registerConsuemr(Invoker,URL,URL,RegistryDirectory)";"com.alibaba.dubbo.registry.support.ProviderConsumerRegTable.registerConsumer(Invoker,URL,URL,RegistryDirectory)";"Rename Method public registerConsuemr(invoker Invoker, registryUrl URL, consumerUrl URL, registryDirectory RegistryDirectory) : void renamed to public registerConsumer(invoker Invoker, registryUrl URL, consumerUrl URL, registryDirectory RegistryDirectory) : void in class com.alibaba.dubbo.registry.support.ProviderConsumerRegTable"
33;"6a5281efd753e44477af08ee84e4372aa9110d4f";"1f22f560a44995340daa3039b29eee72a3ea504f";"Rename Method";"com.alibaba.dubbo.remoting.exchange.support.header.HeaderExchangeClient.startHeatbeatTimer()";"com.alibaba.dubbo.remoting.exchange.support.header.HeaderExchangeClient.startHeartbeatTimer()";"Rename Method private startHeatbeatTimer() : void renamed to private startHeartbeatTimer() : void in class com.alibaba.dubbo.remoting.exchange.support.header.HeaderExchangeClient"
37;"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"b62643295cf6e530d373974e27364b5dccedcc48";"Move Class";"com.alibaba.dubbo.common.serialize.support.fst.FstFactory";"com.alibaba.dubbo.common.serialize.fst.FstFactory";"Move Class com.alibaba.dubbo.common.serialize.support.fst.FstFactory moved to com.alibaba.dubbo.common.serialize.fst.FstFactory"
37;"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"b62643295cf6e530d373974e27364b5dccedcc48";"Move Class";"com.alibaba.dubbo.common.serialize.support.fst.FstObjectOutput";"com.alibaba.dubbo.common.serialize.fst.FstObjectOutput";"Move Class com.alibaba.dubbo.common.serialize.support.fst.FstObjectOutput moved to com.alibaba.dubbo.common.serialize.fst.FstObjectOutput"
37;"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"b62643295cf6e530d373974e27364b5dccedcc48";"Move Class";"com.alibaba.dubbo.common.serialize.support.fst.FstSerialization";"com.alibaba.dubbo.common.serialize.fst.FstSerialization";"Move Class com.alibaba.dubbo.common.serialize.support.fst.FstSerialization moved to com.alibaba.dubbo.common.serialize.fst.FstSerialization"
37;"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"b62643295cf6e530d373974e27364b5dccedcc48";"Move Class";"com.alibaba.dubbo.common.serialize.support.hessian.Hessian2ObjectInput";"com.alibaba.dubbo.common.serialize.hessian2.Hessian2ObjectInput";"Move Class com.alibaba.dubbo.common.serialize.support.hessian.Hessian2ObjectInput moved to com.alibaba.dubbo.common.serialize.hessian2.Hessian2ObjectInput"
37;"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"b62643295cf6e530d373974e27364b5dccedcc48";"Move Class";"com.alibaba.dubbo.common.serialize.support.hessian.Hessian2ObjectOutput";"com.alibaba.dubbo.common.serialize.hessian2.Hessian2ObjectOutput";"Move Class com.alibaba.dubbo.common.serialize.support.hessian.Hessian2ObjectOutput moved to com.alibaba.dubbo.common.serialize.hessian2.Hessian2ObjectOutput"
37;"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"b62643295cf6e530d373974e27364b5dccedcc48";"Move Class";"com.alibaba.dubbo.common.serialize.support.hessian.Hessian2Serialization";"com.alibaba.dubbo.common.serialize.hessian2.Hessian2Serialization";"Move Class com.alibaba.dubbo.common.serialize.support.hessian.Hessian2Serialization moved to com.alibaba.dubbo.common.serialize.hessian2.Hessian2Serialization"
37;"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"b62643295cf6e530d373974e27364b5dccedcc48";"Move Class";"com.alibaba.dubbo.common.serialize.support.hessian.Hessian2SerializerFactory";"com.alibaba.dubbo.common.serialize.hessian2.Hessian2SerializerFactory";"Move Class com.alibaba.dubbo.common.serialize.support.hessian.Hessian2SerializerFactory moved to com.alibaba.dubbo.common.serialize.hessian2.Hessian2SerializerFactory"
37;"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"b62643295cf6e530d373974e27364b5dccedcc48";"Move Class";"com.alibaba.dubbo.common.serialize.support.java.CompactedJavaSerialization";"com.alibaba.dubbo.common.serialize.java.CompactedJavaSerialization";"Move Class com.alibaba.dubbo.common.serialize.support.java.CompactedJavaSerialization moved to com.alibaba.dubbo.common.serialize.java.CompactedJavaSerialization"
37;"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"b62643295cf6e530d373974e27364b5dccedcc48";"Move Class";"com.alibaba.dubbo.common.serialize.support.java.CompactedObjectInputStream";"com.alibaba.dubbo.common.serialize.java.CompactedObjectInputStream";"Move Class com.alibaba.dubbo.common.serialize.support.java.CompactedObjectInputStream moved to com.alibaba.dubbo.common.serialize.java.CompactedObjectInputStream"
37;"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"b62643295cf6e530d373974e27364b5dccedcc48";"Move Class";"com.alibaba.dubbo.common.serialize.support.java.CompactedObjectOutputStream";"com.alibaba.dubbo.common.serialize.java.CompactedObjectOutputStream";"Move Class com.alibaba.dubbo.common.serialize.support.java.CompactedObjectOutputStream moved to com.alibaba.dubbo.common.serialize.java.CompactedObjectOutputStream"
37;"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"b62643295cf6e530d373974e27364b5dccedcc48";"Move Class";"com.alibaba.dubbo.common.serialize.support.java.JavaObjectInput";"com.alibaba.dubbo.common.serialize.java.JavaObjectInput";"Move Class com.alibaba.dubbo.common.serialize.support.java.JavaObjectInput moved to com.alibaba.dubbo.common.serialize.java.JavaObjectInput"
37;"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"b62643295cf6e530d373974e27364b5dccedcc48";"Move Class";"com.alibaba.dubbo.common.serialize.support.java.JavaObjectOutput";"com.alibaba.dubbo.common.serialize.java.JavaObjectOutput";"Move Class com.alibaba.dubbo.common.serialize.support.java.JavaObjectOutput moved to com.alibaba.dubbo.common.serialize.java.JavaObjectOutput"
37;"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"b62643295cf6e530d373974e27364b5dccedcc48";"Move Class";"com.alibaba.dubbo.common.serialize.support.java.JavaSerialization";"com.alibaba.dubbo.common.serialize.java.JavaSerialization";"Move Class com.alibaba.dubbo.common.serialize.support.java.JavaSerialization moved to com.alibaba.dubbo.common.serialize.java.JavaSerialization"
37;"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"b62643295cf6e530d373974e27364b5dccedcc48";"Move Class";"com.alibaba.dubbo.common.serialize.support.json.FastJsonObjectInput";"com.alibaba.dubbo.common.serialize.fastjson.FastJsonObjectInput";"Move Class com.alibaba.dubbo.common.serialize.support.json.FastJsonObjectInput moved to com.alibaba.dubbo.common.serialize.fastjson.FastJsonObjectInput"
37;"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"b62643295cf6e530d373974e27364b5dccedcc48";"Move Class";"com.alibaba.dubbo.common.serialize.support.json.FastJsonObjectOutput";"com.alibaba.dubbo.common.serialize.fastjson.FastJsonObjectOutput";"Move Class com.alibaba.dubbo.common.serialize.support.json.FastJsonObjectOutput moved to com.alibaba.dubbo.common.serialize.fastjson.FastJsonObjectOutput"
37;"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"b62643295cf6e530d373974e27364b5dccedcc48";"Move Class";"com.alibaba.dubbo.common.serialize.support.json.FastJsonSerialization";"com.alibaba.dubbo.common.serialize.fastjson.FastJsonSerialization";"Move Class com.alibaba.dubbo.common.serialize.support.json.FastJsonSerialization moved to com.alibaba.dubbo.common.serialize.fastjson.FastJsonSerialization"
37;"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"b62643295cf6e530d373974e27364b5dccedcc48";"Move Class";"com.alibaba.dubbo.common.serialize.support.kryo.CompatibleKryo";"com.alibaba.dubbo.common.serialize.kryo.CompatibleKryo";"Move Class com.alibaba.dubbo.common.serialize.support.kryo.CompatibleKryo moved to com.alibaba.dubbo.common.serialize.kryo.CompatibleKryo"
37;"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"b62643295cf6e530d373974e27364b5dccedcc48";"Move Class";"com.alibaba.dubbo.common.serialize.support.kryo.KryoObjectInput";"com.alibaba.dubbo.common.serialize.kryo.KryoObjectInput";"Move Class com.alibaba.dubbo.common.serialize.support.kryo.KryoObjectInput moved to com.alibaba.dubbo.common.serialize.kryo.KryoObjectInput"
37;"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"b62643295cf6e530d373974e27364b5dccedcc48";"Move Class";"com.alibaba.dubbo.common.serialize.support.kryo.KryoObjectOutput";"com.alibaba.dubbo.common.serialize.kryo.KryoObjectOutput";"Move Class com.alibaba.dubbo.common.serialize.support.kryo.KryoObjectOutput moved to com.alibaba.dubbo.common.serialize.kryo.KryoObjectOutput"
37;"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"b62643295cf6e530d373974e27364b5dccedcc48";"Move Class";"com.alibaba.dubbo.common.serialize.support.kryo.KryoSerialization";"com.alibaba.dubbo.common.serialize.kryo.KryoSerialization";"Move Class com.alibaba.dubbo.common.serialize.support.kryo.KryoSerialization moved to com.alibaba.dubbo.common.serialize.kryo.KryoSerialization"
37;"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"b62643295cf6e530d373974e27364b5dccedcc48";"Move Class";"com.alibaba.dubbo.common.serialize.support.kryo.utils.AbstractKryoFactory";"com.alibaba.dubbo.common.serialize.kryo.utils.AbstractKryoFactory";"Move Class com.alibaba.dubbo.common.serialize.support.kryo.utils.AbstractKryoFactory moved to com.alibaba.dubbo.common.serialize.kryo.utils.AbstractKryoFactory"
37;"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"b62643295cf6e530d373974e27364b5dccedcc48";"Move Class";"com.alibaba.dubbo.common.serialize.support.kryo.utils.KryoUtils";"com.alibaba.dubbo.common.serialize.kryo.utils.KryoUtils";"Move Class com.alibaba.dubbo.common.serialize.support.kryo.utils.KryoUtils moved to com.alibaba.dubbo.common.serialize.kryo.utils.KryoUtils"
37;"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"b62643295cf6e530d373974e27364b5dccedcc48";"Move Class";"com.alibaba.dubbo.common.serialize.support.kryo.utils.PooledKryoFactory";"com.alibaba.dubbo.common.serialize.kryo.utils.PooledKryoFactory";"Move Class com.alibaba.dubbo.common.serialize.support.kryo.utils.PooledKryoFactory moved to com.alibaba.dubbo.common.serialize.kryo.utils.PooledKryoFactory"
37;"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"b62643295cf6e530d373974e27364b5dccedcc48";"Move Class";"com.alibaba.dubbo.common.serialize.support.kryo.utils.PrototypeKryoFactory";"com.alibaba.dubbo.common.serialize.kryo.utils.PrototypeKryoFactory";"Move Class com.alibaba.dubbo.common.serialize.support.kryo.utils.PrototypeKryoFactory moved to com.alibaba.dubbo.common.serialize.kryo.utils.PrototypeKryoFactory"
37;"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"b62643295cf6e530d373974e27364b5dccedcc48";"Move Class";"com.alibaba.dubbo.common.serialize.support.kryo.utils.ReflectionUtils";"com.alibaba.dubbo.common.serialize.kryo.utils.ReflectionUtils";"Move Class com.alibaba.dubbo.common.serialize.support.kryo.utils.ReflectionUtils moved to com.alibaba.dubbo.common.serialize.kryo.utils.ReflectionUtils"
37;"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"b62643295cf6e530d373974e27364b5dccedcc48";"Move Class";"com.alibaba.dubbo.common.serialize.support.kryo.utils.ThreadLocalKryoFactory";"com.alibaba.dubbo.common.serialize.kryo.utils.ThreadLocalKryoFactory";"Move Class com.alibaba.dubbo.common.serialize.support.kryo.utils.ThreadLocalKryoFactory moved to com.alibaba.dubbo.common.serialize.kryo.utils.ThreadLocalKryoFactory"
37;"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"b62643295cf6e530d373974e27364b5dccedcc48";"Move Class";"com.alibaba.dubbo.common.serialize.support.nativejava.NativeJavaObjectInput";"com.alibaba.dubbo.common.serialize.nativejava.NativeJavaObjectInput";"Move Class com.alibaba.dubbo.common.serialize.support.nativejava.NativeJavaObjectInput moved to com.alibaba.dubbo.common.serialize.nativejava.NativeJavaObjectInput"
37;"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"b62643295cf6e530d373974e27364b5dccedcc48";"Move Class";"com.alibaba.dubbo.common.serialize.support.nativejava.NativeJavaObjectOutput";"com.alibaba.dubbo.common.serialize.nativejava.NativeJavaObjectOutput";"Move Class com.alibaba.dubbo.common.serialize.support.nativejava.NativeJavaObjectOutput moved to com.alibaba.dubbo.common.serialize.nativejava.NativeJavaObjectOutput"
37;"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"b62643295cf6e530d373974e27364b5dccedcc48";"Move Class";"com.alibaba.dubbo.common.serialize.support.nativejava.NativeJavaSerialization";"com.alibaba.dubbo.common.serialize.nativejava.NativeJavaSerialization";"Move Class com.alibaba.dubbo.common.serialize.support.nativejava.NativeJavaSerialization moved to com.alibaba.dubbo.common.serialize.nativejava.NativeJavaSerialization"
37;"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"b62643295cf6e530d373974e27364b5dccedcc48";"Move Method";"com.alibaba.dubbo.common.serialize.support.fst.FstObjectInput.readBool()";"com.alibaba.dubbo.common.serialize.fst.FstObjectInput.readBool()";"Move Method public readBool() : boolean from class com.alibaba.dubbo.common.serialize.support.fst.FstObjectInput to public readBool() : boolean from class com.alibaba.dubbo.common.serialize.fst.FstObjectInput"
37;"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"b62643295cf6e530d373974e27364b5dccedcc48";"Move Method";"com.alibaba.dubbo.common.serialize.support.fst.FstObjectInput.readByte()";"com.alibaba.dubbo.common.serialize.fst.FstObjectInput.readByte()";"Move Method public readByte() : byte from class com.alibaba.dubbo.common.serialize.support.fst.FstObjectInput to public readByte() : byte from class com.alibaba.dubbo.common.serialize.fst.FstObjectInput"
37;"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"b62643295cf6e530d373974e27364b5dccedcc48";"Move Method";"com.alibaba.dubbo.common.serialize.support.fst.FstObjectInput.readBytes()";"com.alibaba.dubbo.common.serialize.fst.FstObjectInput.readBytes()";"Move Method public readBytes() : byte[] from class com.alibaba.dubbo.common.serialize.support.fst.FstObjectInput to public readBytes() : byte[] from class com.alibaba.dubbo.common.serialize.fst.FstObjectInput"
37;"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"b62643295cf6e530d373974e27364b5dccedcc48";"Move Method";"com.alibaba.dubbo.common.serialize.support.fst.FstObjectInput.readDouble()";"com.alibaba.dubbo.common.serialize.fst.FstObjectInput.readDouble()";"Move Method public readDouble() : double from class com.alibaba.dubbo.common.serialize.support.fst.FstObjectInput to public readDouble() : double from class com.alibaba.dubbo.common.serialize.fst.FstObjectInput"
37;"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"b62643295cf6e530d373974e27364b5dccedcc48";"Move Method";"com.alibaba.dubbo.common.serialize.support.fst.FstObjectInput.readFloat()";"com.alibaba.dubbo.common.serialize.fst.FstObjectInput.readFloat()";"Move Method public readFloat() : float from class com.alibaba.dubbo.common.serialize.support.fst.FstObjectInput to public readFloat() : float from class com.alibaba.dubbo.common.serialize.fst.FstObjectInput"
37;"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"b62643295cf6e530d373974e27364b5dccedcc48";"Move Method";"com.alibaba.dubbo.common.serialize.support.fst.FstObjectInput.readInt()";"com.alibaba.dubbo.common.serialize.fst.FstObjectInput.readInt()";"Move Method public readInt() : int from class com.alibaba.dubbo.common.serialize.support.fst.FstObjectInput to public readInt() : int from class com.alibaba.dubbo.common.serialize.fst.FstObjectInput"
37;"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"b62643295cf6e530d373974e27364b5dccedcc48";"Move Method";"com.alibaba.dubbo.common.serialize.support.fst.FstObjectInput.readLong()";"com.alibaba.dubbo.common.serialize.fst.FstObjectInput.readLong()";"Move Method public readLong() : long from class com.alibaba.dubbo.common.serialize.support.fst.FstObjectInput to public readLong() : long from class com.alibaba.dubbo.common.serialize.fst.FstObjectInput"
37;"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"b62643295cf6e530d373974e27364b5dccedcc48";"Move Method";"com.alibaba.dubbo.common.serialize.support.fst.FstObjectInput.readObject()";"com.alibaba.dubbo.common.serialize.fst.FstObjectInput.readObject()";"Move Method public readObject() : Object from class com.alibaba.dubbo.common.serialize.support.fst.FstObjectInput to public readObject() : Object from class com.alibaba.dubbo.common.serialize.fst.FstObjectInput"
37;"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"b62643295cf6e530d373974e27364b5dccedcc48";"Move Method";"com.alibaba.dubbo.common.serialize.support.fst.FstObjectInput.readShort()";"com.alibaba.dubbo.common.serialize.fst.FstObjectInput.readShort()";"Move Method public readShort() : short from class com.alibaba.dubbo.common.serialize.support.fst.FstObjectInput to public readShort() : short from class com.alibaba.dubbo.common.serialize.fst.FstObjectInput"
37;"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"b62643295cf6e530d373974e27364b5dccedcc48";"Move Method";"com.alibaba.dubbo.common.serialize.support.fst.FstObjectInput.readUTF()";"com.alibaba.dubbo.common.serialize.fst.FstObjectInput.readUTF()";"Move Method public readUTF() : String from class com.alibaba.dubbo.common.serialize.support.fst.FstObjectInput to public readUTF() : String from class com.alibaba.dubbo.common.serialize.fst.FstObjectInput"
