"Number";"Commit";"Parent";"Refactoring";"EntityBefore";"EntityAfter";"FullDescription"
27;"350ac63af06eaa2804978301d774927e4f85dbc8";"2611f95ee2884e1bcf02687a860c6ea74ac7a2ee";"Rename Class";"org.la4j.matrix.AbstractMatrixTest";"org.la4j.matrix.MatrixTest";"Rename Class org.la4j.matrix.AbstractMatrixTest renamed to org.la4j.matrix.MatrixTest"
27;"350ac63af06eaa2804978301d774927e4f85dbc8";"2611f95ee2884e1bcf02687a860c6ea74ac7a2ee";"Move Method";"org.la4j.VnM.v(double[])";"org.la4j.V.v(double[])";"Move Method public v(values double[]) : Vector from class org.la4j.VnM to public v(values double[]) : Vector from class org.la4j.V"
27;"350ac63af06eaa2804978301d774927e4f85dbc8";"2611f95ee2884e1bcf02687a860c6ea74ac7a2ee";"Move Method";"org.la4j.VnM.vs(double[])";"org.la4j.V.vs(double[])";"Move Method public vs(values double[]) : Iterable from class org.la4j.VnM to public vs(values double[]) : Iterable from class org.la4j.V"
27;"350ac63af06eaa2804978301d774927e4f85dbc8";"2611f95ee2884e1bcf02687a860c6ea74ac7a2ee";"Extract Method";"org.la4j.matrix.AbstractMatrixTest.testInsert_3x3_into_3x3()";"org.la4j.matrix.MatrixTest.m(double[][])";"Extract Method public m(values double[][]) : T extracted from public testInsert_3x3_into_3x3() : void in class org.la4j.matrix.AbstractMatrixTest"
27;"350ac63af06eaa2804978301d774927e4f85dbc8";"2611f95ee2884e1bcf02687a860c6ea74ac7a2ee";"Extract Method";"org.la4j.matrix.AbstractMatrixTest.testInsert_2x2_into_3x3()";"org.la4j.matrix.MatrixTest.m(double[][])";"Extract Method public m(values double[][]) : T extracted from public testInsert_2x2_into_3x3() : void in class org.la4j.matrix.AbstractMatrixTest"
27;"350ac63af06eaa2804978301d774927e4f85dbc8";"2611f95ee2884e1bcf02687a860c6ea74ac7a2ee";"Extract Method";"org.la4j.matrix.AbstractMatrixTest.testInsert_2x2_into_3x3_partial()";"org.la4j.matrix.MatrixTest.m(double[][])";"Extract Method public m(values double[][]) : T extracted from public testInsert_2x2_into_3x3_partial() : void in class org.la4j.matrix.AbstractMatrixTest"
27;"350ac63af06eaa2804978301d774927e4f85dbc8";"2611f95ee2884e1bcf02687a860c6ea74ac7a2ee";"Extract Method";"org.la4j.matrix.AbstractMatrixTest.testInsert_3x3_slice_into_4x4_offset()";"org.la4j.matrix.MatrixTest.m(double[][])";"Extract Method public m(values double[][]) : T extracted from public testInsert_3x3_slice_into_4x4_offset() : void in class org.la4j.matrix.AbstractMatrixTest"
27;"350ac63af06eaa2804978301d774927e4f85dbc8";"2611f95ee2884e1bcf02687a860c6ea74ac7a2ee";"Extract Method";"org.la4j.matrix.AbstractMatrixTest.testInsert_2x2_into_4x4_offset()";"org.la4j.matrix.MatrixTest.m(double[][])";"Extract Method public m(values double[][]) : T extracted from public testInsert_2x2_into_4x4_offset() : void in class org.la4j.matrix.AbstractMatrixTest"
27;"350ac63af06eaa2804978301d774927e4f85dbc8";"2611f95ee2884e1bcf02687a860c6ea74ac7a2ee";"Extract Method";"org.la4j.matrix.AbstractMatrixTest.testGetColumn_4x4()";"org.la4j.matrix.MatrixTest.m(double[][])";"Extract Method public m(values double[][]) : T extracted from public testGetColumn_4x4() : void in class org.la4j.matrix.AbstractMatrixTest"
27;"350ac63af06eaa2804978301d774927e4f85dbc8";"2611f95ee2884e1bcf02687a860c6ea74ac7a2ee";"Extract Method";"org.la4j.matrix.AbstractMatrixTest.testGetRow_4x4()";"org.la4j.matrix.MatrixTest.m(double[][])";"Extract Method public m(values double[][]) : T extracted from public testGetRow_4x4() : void in class org.la4j.matrix.AbstractMatrixTest"
27;"350ac63af06eaa2804978301d774927e4f85dbc8";"2611f95ee2884e1bcf02687a860c6ea74ac7a2ee";"Extract Method";"org.la4j.matrix.AbstractMatrixTest.testResize_3x3_to_4x4_to_2x2()";"org.la4j.matrix.MatrixTest.m(double[][])";"Extract Method public m(values double[][]) : T extracted from public testResize_3x3_to_4x4_to_2x2() : void in class org.la4j.matrix.AbstractMatrixTest"
27;"350ac63af06eaa2804978301d774927e4f85dbc8";"2611f95ee2884e1bcf02687a860c6ea74ac7a2ee";"Extract Method";"org.la4j.matrix.AbstractMatrixTest.testResize_2x3_to_3x4_to_1x2()";"org.la4j.matrix.MatrixTest.m(double[][])";"Extract Method public m(values double[][]) : T extracted from public testResize_2x3_to_3x4_to_1x2() : void in class org.la4j.matrix.AbstractMatrixTest"
27;"350ac63af06eaa2804978301d774927e4f85dbc8";"2611f95ee2884e1bcf02687a860c6ea74ac7a2ee";"Extract Method";"org.la4j.matrix.AbstractMatrixTest.testResize_2x3_to_2x4_to_2x1()";"org.la4j.matrix.MatrixTest.m(double[][])";"Extract Method public m(values double[][]) : T extracted from public testResize_2x3_to_2x4_to_2x1() : void in class org.la4j.matrix.AbstractMatrixTest"
27;"350ac63af06eaa2804978301d774927e4f85dbc8";"2611f95ee2884e1bcf02687a860c6ea74ac7a2ee";"Extract Method";"org.la4j.matrix.AbstractMatrixTest.testResize_3x5_to_4x5_to_2x5()";"org.la4j.matrix.MatrixTest.m(double[][])";"Extract Method public m(values double[][]) : T extracted from public testResize_3x5_to_4x5_to_2x5() : void in class org.la4j.matrix.AbstractMatrixTest"
27;"350ac63af06eaa2804978301d774927e4f85dbc8";"2611f95ee2884e1bcf02687a860c6ea74ac7a2ee";"Extract Method";"org.la4j.matrix.AbstractMatrixTest.testSlice_4x4_to_2x2()";"org.la4j.matrix.MatrixTest.m(double[][])";"Extract Method public m(values double[][]) : T extracted from public testSlice_4x4_to_2x2() : void in class org.la4j.matrix.AbstractMatrixTest"
27;"350ac63af06eaa2804978301d774927e4f85dbc8";"2611f95ee2884e1bcf02687a860c6ea74ac7a2ee";"Extract Method";"org.la4j.matrix.AbstractMatrixTest.testSlice_3x4_to_1x4()";"org.la4j.matrix.MatrixTest.m(double[][])";"Extract Method public m(values double[][]) : T extracted from public testSlice_3x4_to_1x4() : void in class org.la4j.matrix.AbstractMatrixTest"
27;"350ac63af06eaa2804978301d774927e4f85dbc8";"2611f95ee2884e1bcf02687a860c6ea74ac7a2ee";"Extract Method";"org.la4j.matrix.AbstractMatrixTest.testSwap_3x3()";"org.la4j.matrix.MatrixTest.m(double[][])";"Extract Method public m(values double[][]) : T extracted from public testSwap_3x3() : void in class org.la4j.matrix.AbstractMatrixTest"
27;"350ac63af06eaa2804978301d774927e4f85dbc8";"2611f95ee2884e1bcf02687a860c6ea74ac7a2ee";"Extract Method";"org.la4j.matrix.AbstractMatrixTest.testSwap_2x4()";"org.la4j.matrix.MatrixTest.m(double[][])";"Extract Method public m(values double[][]) : T extracted from public testSwap_2x4() : void in class org.la4j.matrix.AbstractMatrixTest"
27;"350ac63af06eaa2804978301d774927e4f85dbc8";"2611f95ee2884e1bcf02687a860c6ea74ac7a2ee";"Extract Method";"org.la4j.matrix.AbstractMatrixTest.testSwap_5x3()";"org.la4j.matrix.MatrixTest.m(double[][])";"Extract Method public m(values double[][]) : T extracted from public testSwap_5x3() : void in class org.la4j.matrix.AbstractMatrixTest"
27;"350ac63af06eaa2804978301d774927e4f85dbc8";"2611f95ee2884e1bcf02687a860c6ea74ac7a2ee";"Extract Method";"org.la4j.matrix.AbstractMatrixTest.testAdd_3x3()";"org.la4j.matrix.MatrixTest.m(double[][])";"Extract Method public m(values double[][]) : T extracted from public testAdd_3x3() : void in class org.la4j.matrix.AbstractMatrixTest"
27;"350ac63af06eaa2804978301d774927e4f85dbc8";"2611f95ee2884e1bcf02687a860c6ea74ac7a2ee";"Extract Method";"org.la4j.matrix.AbstractMatrixTest.testAdd_4x2()";"org.la4j.matrix.MatrixTest.m(double[][])";"Extract Method public m(values double[][]) : T extracted from public testAdd_4x2() : void in class org.la4j.matrix.AbstractMatrixTest"
27;"350ac63af06eaa2804978301d774927e4f85dbc8";"2611f95ee2884e1bcf02687a860c6ea74ac7a2ee";"Extract Method";"org.la4j.matrix.AbstractMatrixTest.testSubtract_3x3()";"org.la4j.matrix.MatrixTest.m(double[][])";"Extract Method public m(values double[][]) : T extracted from public testSubtract_3x3() : void in class org.la4j.matrix.AbstractMatrixTest"
27;"350ac63af06eaa2804978301d774927e4f85dbc8";"2611f95ee2884e1bcf02687a860c6ea74ac7a2ee";"Extract Method";"org.la4j.matrix.AbstractMatrixTest.testSubtract_2x4()";"org.la4j.matrix.MatrixTest.m(double[][])";"Extract Method public m(values double[][]) : T extracted from public testSubtract_2x4() : void in class org.la4j.matrix.AbstractMatrixTest"
27;"350ac63af06eaa2804978301d774927e4f85dbc8";"2611f95ee2884e1bcf02687a860c6ea74ac7a2ee";"Extract Method";"org.la4j.matrix.AbstractMatrixTest.testMultiply_2x3()";"org.la4j.matrix.MatrixTest.m(double[][])";"Extract Method public m(values double[][]) : T extracted from public testMultiply_2x3() : void in class org.la4j.matrix.AbstractMatrixTest"
27;"350ac63af06eaa2804978301d774927e4f85dbc8";"2611f95ee2884e1bcf02687a860c6ea74ac7a2ee";"Extract Method";"org.la4j.matrix.AbstractMatrixTest.testMultiply_2x3_3()";"org.la4j.matrix.MatrixTest.m(double[][])";"Extract Method public m(values double[][]) : T extracted from public testMultiply_2x3_3() : void in class org.la4j.matrix.AbstractMatrixTest"
27;"350ac63af06eaa2804978301d774927e4f85dbc8";"2611f95ee2884e1bcf02687a860c6ea74ac7a2ee";"Extract Method";"org.la4j.matrix.AbstractMatrixTest.testMultiply_5x2_2()";"org.la4j.matrix.MatrixTest.m(double[][])";"Extract Method public m(values double[][]) : T extracted from public testMultiply_5x2_2() : void in class org.la4j.matrix.AbstractMatrixTest"
27;"350ac63af06eaa2804978301d774927e4f85dbc8";"2611f95ee2884e1bcf02687a860c6ea74ac7a2ee";"Extract Method";"org.la4j.matrix.AbstractMatrixTest.testMultiply_1x1_1x1()";"org.la4j.matrix.MatrixTest.m(double[][])";"Extract Method public m(values double[][]) : T extracted from public testMultiply_1x1_1x1() : void in class org.la4j.matrix.AbstractMatrixTest"
27;"350ac63af06eaa2804978301d774927e4f85dbc8";"2611f95ee2884e1bcf02687a860c6ea74ac7a2ee";"Extract Method";"org.la4j.matrix.AbstractMatrixTest.testMultiply_2x2_2x2()";"org.la4j.matrix.MatrixTest.m(double[][])";"Extract Method public m(values double[][]) : T extracted from public testMultiply_2x2_2x2() : void in class org.la4j.matrix.AbstractMatrixTest"
