"Number";"Commit";"Parent";"Refactoring";"EntityBefore";"EntityAfter";"FullDescription"
4;"3023b26ee0d84a0617c34a0361b00c4d63dcf1e0";"54bf17dc35aff1df7e15dd5767ffc4727ecdd033";"Rename Class";"net.engio.mbassy.FilterTest.RejectFilteredObjects";"net.engio.mbassy.FilterTest.RejectFilteredObjectsFilter";"Rename Class net.engio.mbassy.FilterTest.RejectFilteredObjects renamed to net.engio.mbassy.FilterTest.RejectFilteredObjectsFilter"
4;"3023b26ee0d84a0617c34a0361b00c4d63dcf1e0";"54bf17dc35aff1df7e15dd5767ffc4727ecdd033";"Rename Class";"net.engio.mbassy.FilterTest.RejectAll";"net.engio.mbassy.FilterTest.RejectAllFilter";"Rename Class net.engio.mbassy.FilterTest.RejectAll renamed to net.engio.mbassy.FilterTest.RejectAllFilter"
22;"744c029ea08c536b3c2fd7f86bcf4ad04b5d311b";"96986c3637b173fa5f172b5f7382854b7a386faf";"Rename Method";"net.engio.mbassy.MethodDispatchTest.testDispatch1()";"net.engio.mbassy.MethodDispatchTest.testDispatchWithSequentialSubscription()";"Rename Method public testDispatch1() : void renamed to public testDispatchWithSequentialSubscription() : void in class net.engio.mbassy.MethodDispatchTest"
22;"744c029ea08c536b3c2fd7f86bcf4ad04b5d311b";"96986c3637b173fa5f172b5f7382854b7a386faf";"Rename Method";"net.engio.mbassy.dispatch.ReflectiveHandlerInvocation.invokeHandler(Object,Object,Method)";"net.engio.mbassy.dispatch.ReflectiveHandlerInvocation.invoke(Object,Object,MessagePublication)";"Rename Method protected invokeHandler(message Object, listener Object, handler Method) : void renamed to public invoke(listener Object, message Object, publication MessagePublication) : void in class net.engio.mbassy.dispatch.ReflectiveHandlerInvocation"
22;"744c029ea08c536b3c2fd7f86bcf4ad04b5d311b";"96986c3637b173fa5f172b5f7382854b7a386faf";"Rename Method";"net.engio.mbassy.bus.MessagePublication.markDelivered()";"net.engio.mbassy.bus.MessagePublication.markDispatched()";"Rename Method public markDelivered() : void renamed to public markDispatched() : void in class net.engio.mbassy.bus.MessagePublication"
22;"744c029ea08c536b3c2fd7f86bcf4ad04b5d311b";"96986c3637b173fa5f172b5f7382854b7a386faf";"Extract Method";"net.engio.mbassy.MethodDispatchTest.testAsyncDispatchAfterExceptionInErrorHandler()";"net.engio.mbassy.common.AssertSupport.assertEquals(String,Object,Object)";"Extract Method public assertEquals(message String, expected Object, actual Object) : void extracted from public testAsyncDispatchAfterExceptionInErrorHandler() : void in class net.engio.mbassy.MethodDispatchTest"
39;"c5715acdd65c9be3cc4313579f027e2b55b37cd6";"24164c34ff338dc841b65f1daf97d23c2b9bdfc2";"Move And Rename Class";"net.engio.mbassy.bus.common.Properties.Handler";"net.engio.mbassy.bus.config.IBusConfiguration.Properties";"Move And Rename Class net.engio.mbassy.bus.common.Properties.Handler moved to net.engio.mbassy.bus.config.IBusConfiguration.Properties"
39;"c5715acdd65c9be3cc4313579f027e2b55b37cd6";"24164c34ff338dc841b65f1daf97d23c2b9bdfc2";"Inline Method";"net.engio.mbassy.bus.BusFactory.AsynchronousSequentialFIFO()";"net.engio.mbassy.AsyncFIFOBusTest.testSingleThreadedSyncFIFO()";"Inline Method public AsynchronousSequentialFIFO() : IMessageBus inlined to public testSingleThreadedSyncFIFO() : void in class net.engio.mbassy.AsyncFIFOBusTest"
39;"c5715acdd65c9be3cc4313579f027e2b55b37cd6";"24164c34ff338dc841b65f1daf97d23c2b9bdfc2";"Inline Method";"net.engio.mbassy.bus.BusFactory.AsynchronousSequentialFIFO()";"net.engio.mbassy.AsyncFIFOBusTest.testSingleThreadedSyncAsyncFIFO()";"Inline Method public AsynchronousSequentialFIFO() : IMessageBus inlined to public testSingleThreadedSyncAsyncFIFO() : void in class net.engio.mbassy.AsyncFIFOBusTest"
47;"b15ad227f315aa2bc327f39a0fc7778192811ebe";"35886bb3b5ad1a9cdc773aa61954aca960ab89f2";"Rename Method";"net.engio.mbassy.bus.MessagePublication.isDeadEvent()";"net.engio.mbassy.bus.MessagePublication.isDeadMessage()";"Rename Method public isDeadEvent() : boolean renamed to public isDeadMessage() : boolean in class net.engio.mbassy.bus.MessagePublication"
