"Number";"Commit";"Parent";"Refactoring";"EntityBefore";"EntityAfter";"FullDescription"
1;"d874657795e23a2b29785fe5bdcca027e2bd67d9";"bd959caaba277162c64558bd2b3918db89f172d7";"Extract Method";"com.codahale.metrics.httpclient.InstrumentedHttpClients.custom(MetricRegistry,HttpClientMetricNameStrategy)";"com.codahale.metrics.httpclient.InstrumentedHttpClientConnectionManager.builder(MetricRegistry)";"Extract Method public builder(metricsRegistry MetricRegistry) : Builder extracted from public custom(metricRegistry MetricRegistry, metricNameStrategy HttpClientMetricNameStrategy) : HttpClientBuilder in class com.codahale.metrics.httpclient.InstrumentedHttpClients"
1;"d874657795e23a2b29785fe5bdcca027e2bd67d9";"bd959caaba277162c64558bd2b3918db89f172d7";"Extract Method";"com.codahale.metrics.httpclient.InstrumentedHttpClientConnectionManagerTest.shouldRemoveGauges()";"com.codahale.metrics.httpclient.InstrumentedHttpClientConnectionManager.builder(MetricRegistry)";"Extract Method public builder(metricsRegistry MetricRegistry) : Builder extracted from public shouldRemoveGauges() : void in class com.codahale.metrics.httpclient.InstrumentedHttpClientConnectionManagerTest"
24;"622732f6183eb9145e1f7d1274d5e9174a4614b2";"373b1bfbf2b21432dddbeb3cfefa754f00b7500a";"Extract Method";"com.codahale.metrics.servlets.MetricsServlet.init(ServletConfig)";"com.codahale.metrics.servlets.MetricsServlet.setupMetricsModule(ServletContext)";"Extract Method protected setupMetricsModule(context ServletContext) : void extracted from public init(config ServletConfig) : void in class com.codahale.metrics.servlets.MetricsServlet"
28;"010c2dfd8d09911dbfa0e5764577148bdb9b16da";"4384903a1f170a6be83e571afa6a203ad9a83218";"Extract Method";"com.codahale.metrics.Slf4jReporterTest.reportsCounterValuesDefault()";"com.codahale.metrics.Slf4jReporterTest.counter()";"Extract Method private counter() : Counter extracted from public reportsCounterValuesDefault() : void in class com.codahale.metrics.Slf4jReporterTest"
28;"010c2dfd8d09911dbfa0e5764577148bdb9b16da";"4384903a1f170a6be83e571afa6a203ad9a83218";"Extract Method";"com.codahale.metrics.Slf4jReporterTest.reportsCounterValuesAtError()";"com.codahale.metrics.Slf4jReporterTest.counter()";"Extract Method private counter() : Counter extracted from private reportsCounterValuesAtError() : void in class com.codahale.metrics.Slf4jReporterTest"
28;"010c2dfd8d09911dbfa0e5764577148bdb9b16da";"4384903a1f170a6be83e571afa6a203ad9a83218";"Extract Method";"com.codahale.metrics.Slf4jReporterTest.reportsHistogramValuesAtError(String)";"com.codahale.metrics.Slf4jReporterTest.histogram()";"Extract Method private histogram() : Histogram extracted from private reportsHistogramValuesAtError(expectedLog String) : void in class com.codahale.metrics.Slf4jReporterTest"
28;"010c2dfd8d09911dbfa0e5764577148bdb9b16da";"4384903a1f170a6be83e571afa6a203ad9a83218";"Extract Method";"com.codahale.metrics.Slf4jReporterTest.reportsHistogramValuesDefault()";"com.codahale.metrics.Slf4jReporterTest.histogram()";"Extract Method private histogram() : Histogram extracted from public reportsHistogramValuesDefault() : void in class com.codahale.metrics.Slf4jReporterTest"
28;"010c2dfd8d09911dbfa0e5764577148bdb9b16da";"4384903a1f170a6be83e571afa6a203ad9a83218";"Extract Method";"com.codahale.metrics.Slf4jReporterTest.reportsMeterValuesAtError(String)";"com.codahale.metrics.Slf4jReporterTest.meter()";"Extract Method private meter() : Meter extracted from private reportsMeterValuesAtError(expectedLog String) : void in class com.codahale.metrics.Slf4jReporterTest"
28;"010c2dfd8d09911dbfa0e5764577148bdb9b16da";"4384903a1f170a6be83e571afa6a203ad9a83218";"Extract Method";"com.codahale.metrics.Slf4jReporterTest.reportsMeterValuesDefault()";"com.codahale.metrics.Slf4jReporterTest.meter()";"Extract Method private meter() : Meter extracted from public reportsMeterValuesDefault() : void in class com.codahale.metrics.Slf4jReporterTest"
28;"010c2dfd8d09911dbfa0e5764577148bdb9b16da";"4384903a1f170a6be83e571afa6a203ad9a83218";"Extract Method";"com.codahale.metrics.Slf4jReporterTest.reportsTimerValuesAtError(String)";"com.codahale.metrics.Slf4jReporterTest.timer()";"Extract Method private timer() : Timer extracted from private reportsTimerValuesAtError(expectedLog String) : void in class com.codahale.metrics.Slf4jReporterTest"
