"Number";"Commit";"Parent";"Refactoring";"EntityBefore";"EntityAfter";"FullDescription"
1;"6c3b06a183f25d8edad1d11c01d97b32b1ddd228";"a015887d4809051ae81b53e2e6fffec6f24258ef";"Rename Class";"org.nutz.mvc.view.HttpServerResponse";"org.nutz.mvc.view.HttpEnhanceResponse";"Rename Class org.nutz.mvc.view.HttpServerResponse renamed to org.nutz.mvc.view.HttpEnhanceResponse"
13;"2734f9107a16c9b6e0134a4aa43b3dd407916cd3";"ed399bee8802e73ff3a2c5ec593d3c9b55e802e6";"Extract Method";"org.nutz.lang.Xmls.asMap(Element,boolean,boolean,List)";"org.nutz.lang.Xmls.asMap(Element,XmlParserOpts)";"Extract Method public asMap(ele Element, opts XmlParserOpts) : NutMap extracted from public asMap(ele Element, lowerFirst boolean, dupAsList boolean, alwaysAsList List) : NutMap in class org.nutz.lang.Xmls"
74;"773946b16ae9267bdaec4e60b3ddc8dbeb74e178";"a75e477a7b421748e85faa8d180efa6e7a53fae3";"Extract Method";"org.nutz.http.Sender.createResponse(Map)";"org.nutz.http.Sender.detectStreamEncode(String,InputStream)";"Extract Method protected detectStreamEncode(encoding String, ins InputStream) : InputStream extracted from protected createResponse(reHeaders Map) : Response in class org.nutz.http.Sender"
122;"115c5c3fd5c284e233b12d70827d28a917801f55";"40707308bd843b861b21e4daa9b5581b20496b0e";"Extract Method";"org.nutz.mvc.impl.NutLoading.evalUrlMapping(NutConfig,Class,Ioc)";"org.nutz.mvc.impl.NutLoading.getModuleClasses(Ioc,Class,EntryDeterminer)";"Extract Method protected getModuleClasses(ioc Ioc, mainModule Class, determiner EntryDeterminer) : Set extracted from protected evalUrlMapping(config NutConfig, mainModule Class, ioc Ioc) : UrlMapping in class org.nutz.mvc.impl.NutLoading"
123;"40707308bd843b861b21e4daa9b5581b20496b0e";"619493a2eaa223e7a5409e470324f75f67b83bad";"Extract Method";"org.nutz.ioc.impl.NutIoc.getNamesByType(Class,IocContext)";"org.nutz.ioc.loader.combo.ComboIocLoader.getNamesByTypes(IocLoading,Class)";"Extract Method public getNamesByTypes(loading IocLoading, klass Class) : Set extracted from public getNamesByType(klass Class, context IocContext) : String[] in class org.nutz.ioc.impl.NutIoc"
123;"40707308bd843b861b21e4daa9b5581b20496b0e";"619493a2eaa223e7a5409e470324f75f67b83bad";"Extract Method";"org.nutz.ioc.loader.combo.ComboIocLoader.load(IocLoading,String)";"org.nutz.ioc.loader.combo.ComboIocLoader.printFoundIocBean(String,IocLoader)";"Extract Method protected printFoundIocBean(name String, loader IocLoader) : void extracted from public load(loading IocLoading, name String) : IocObject in class org.nutz.ioc.loader.combo.ComboIocLoader"
155;"03ae01fb53204ed9f4171bb536561226fc2b158d";"b4d63b2fba1645f129d3a6549d57ef8a7267bcdb";"Rename Method";"org.nutz.dao.impl.FileSqlManager._count()";"org.nutz.dao.impl.FileSqlManager.clear()";"Rename Method public _count() : int renamed to public clear() : void in class org.nutz.dao.impl.FileSqlManager"
169;"d801f7d661dc885402edeadd7d8f95ba891f8e1d";"8725d49e80a1f2ae10248902b5a9a5e0180c4797";"Extract Method";"org.nutz.mvc.impl.NutEntryDeterminer.isEntry(Class,Method)";"org.nutz.lang.Mirror.isAnnotationExists(Method,Class[])";"Extract Method public isAnnotationExists(method Method, classes Class[]) : boolean extracted from public isEntry(module Class, method Method) : boolean in class org.nutz.mvc.impl.NutEntryDeterminer"
191;"8714fbe070ed429a75d2753b109a8c2a2204fbb6";"b66fe265734af32d1894b1b46b59f0979470cd6d";"Inline Method";"org.nutz.dao.impl.sql.NutStatement.param2obj(Object)";"org.nutz.dao.impl.sql.NutStatement.param2String(Object)";"Inline Method protected param2obj(obj Object) : Object inlined to protected param2String(obj Object) : String in class org.nutz.dao.impl.sql.NutStatement"
200;"a821001599362d5f96da16d89d06d4617c2ff921";"f75cb54e34634d42e40d0c0241130078aadad02f";"Rename Method";"org.nutz.lang.util.LinkedLongArray.toLongArray()";"org.nutz.lang.util.LinkedLongArray.toArray()";"Rename Method public toLongArray() : long[] renamed to public toArray() : long[] in class org.nutz.lang.util.LinkedLongArray"
