"Number";"Commit";"Parent";"Refactoring";"EntityBefore";"EntityAfter";"FullDescription"
1;"10f8839f2983357a9b8378201bc0bad8708f8d6f";"c169193bc643b22d8397b76e458a541e204dcb63";"Pull Up Method";"org.redisson.executor.ScheduledTasksService.setSchedulerChannelName(String)";"org.redisson.executor.TasksService.setSchedulerChannelName(String)";"Pull Up Method public setSchedulerChannelName(schedulerChannelName String) : void from class org.redisson.executor.ScheduledTasksService to public setSchedulerChannelName(schedulerChannelName String) : void from class org.redisson.executor.TasksService"
1;"10f8839f2983357a9b8378201bc0bad8708f8d6f";"c169193bc643b22d8397b76e458a541e204dcb63";"Pull Up Method";"org.redisson.executor.ScheduledTasksService.setSchedulerQueueName(String)";"org.redisson.executor.TasksService.setSchedulerQueueName(String)";"Pull Up Method public setSchedulerQueueName(scheduledQueueName String) : void from class org.redisson.executor.ScheduledTasksService to public setSchedulerQueueName(scheduledQueueName String) : void from class org.redisson.executor.TasksService"
1;"10f8839f2983357a9b8378201bc0bad8708f8d6f";"c169193bc643b22d8397b76e458a541e204dcb63";"Extract Method";"org.redisson.Redisson.getExecutorService(String,Codec)";"org.redisson.Redisson.getExecutorService(String,Codec,ExecutorOptions)";"Extract Method public getExecutorService(name String, codec Codec, options ExecutorOptions) : RScheduledExecutorService extracted from public getExecutorService(name String, codec Codec) : RScheduledExecutorService in class org.redisson.Redisson"
1;"10f8839f2983357a9b8378201bc0bad8708f8d6f";"c169193bc643b22d8397b76e458a541e204dcb63";"Extract Method";"org.redisson.RedissonRemoteService.subscribe(Class,RBlockingQueue,ExecutorService)";"org.redisson.RedissonRemoteService.getTask(String,RMap)";"Extract Method protected getTask(requestId String, tasks RMap) : RFuture extracted from private subscribe(remoteInterface Class, requestQueue RBlockingQueue, executor ExecutorService) : void in class org.redisson.RedissonRemoteService"
1;"10f8839f2983357a9b8378201bc0bad8708f8d6f";"c169193bc643b22d8397b76e458a541e204dcb63";"Pull Up Attribute";"org.redisson.executor.ScheduledTasksService.schedulerQueueName";"org.redisson.executor.TasksService.schedulerQueueName";"Pull Up Attribute protected schedulerQueueName : String from class org.redisson.executor.ScheduledTasksService to class org.redisson.executor.TasksService"
1;"10f8839f2983357a9b8378201bc0bad8708f8d6f";"c169193bc643b22d8397b76e458a541e204dcb63";"Pull Up Attribute";"org.redisson.executor.ScheduledTasksService.schedulerChannelName";"org.redisson.executor.TasksService.schedulerChannelName";"Pull Up Attribute protected schedulerChannelName : String from class org.redisson.executor.ScheduledTasksService to class org.redisson.executor.TasksService"
3;"8ea5a5d1c89bb623fc4c4a86b193b40dddb765ad";"9a31ce81a2ed88e2ca6f90194f7b2f2d7a8ed95c";"Rename Method";"org.redisson.connection.MasterSlaveEntry.shutdownMasterAsync()";"org.redisson.connection.MasterSlaveEntry.shutdownAsync()";"Rename Method public shutdownMasterAsync() : void renamed to public shutdownAsync() : RFuture in class org.redisson.connection.MasterSlaveEntry"
3;"8ea5a5d1c89bb623fc4c4a86b193b40dddb765ad";"9a31ce81a2ed88e2ca6f90194f7b2f2d7a8ed95c";"Inline Method";"org.redisson.misc.CountableListener.incCounter()";"org.redisson.connection.MasterSlaveEntry.setupMasterEntry(RedisClient)";"Inline Method public incCounter() : void inlined to private setupMasterEntry(client RedisClient) : RFuture in class org.redisson.connection.MasterSlaveEntry"
29;"af51a3f2b8f848c940bef9f7c8f840260bc2c7f6";"d88e2fb6c324ccf828332f406c253a5bb1ebf230";"Extract Method";"org.redisson.transaction.RedissonTransaction.commit()";"org.redisson.transaction.RedissonTransaction.commit(Set,List)";"Extract Method public commit(localCaches Set, operations List) : void extracted from public commit() : void in class org.redisson.transaction.RedissonTransaction"
29;"af51a3f2b8f848c940bef9f7c8f840260bc2c7f6";"d88e2fb6c324ccf828332f406c253a5bb1ebf230";"Extract Method";"org.redisson.transaction.RedissonTransaction.rollback()";"org.redisson.transaction.RedissonTransaction.rollback(List)";"Extract Method public rollback(operations List) : void extracted from public rollback() : void in class org.redisson.transaction.RedissonTransaction"
37;"cc29a54eaacdd8fdacc40bf051c3acbc2b08e2e6";"b476f4d1674662068e21630414532deff9384b3c";"Rename Class";"org.redisson.RedisClientResult";"org.redisson.ScanResult";"Rename Class org.redisson.RedisClientResult renamed to org.redisson.ScanResult"
37;"cc29a54eaacdd8fdacc40bf051c3acbc2b08e2e6";"b476f4d1674662068e21630414532deff9384b3c";"Extract Superclass";"org.redisson.RedissonBaseIterator";"org.redisson.BaseIterator";"Extract Superclass org.redisson.BaseIterator from class org.redisson.RedissonBaseIterator"
37;"cc29a54eaacdd8fdacc40bf051c3acbc2b08e2e6";"b476f4d1674662068e21630414532deff9384b3c";"Rename Method";"org.redisson.RedissonMapIterator.removeKey()";"org.redisson.RedissonMapIterator.remove(Entry)";"Rename Method protected removeKey() : void renamed to protected remove(value Entry) : void in class org.redisson.RedissonMapIterator"
37;"cc29a54eaacdd8fdacc40bf051c3acbc2b08e2e6";"b476f4d1674662068e21630414532deff9384b3c";"Rename Method";"org.redisson.RedissonMultiMapKeysIterator.removeKey()";"org.redisson.RedissonMultiMapKeysIterator.remove(Entry)";"Rename Method protected removeKey() : void renamed to protected remove(value Entry) : void in class org.redisson.RedissonMultiMapKeysIterator"
37;"cc29a54eaacdd8fdacc40bf051c3acbc2b08e2e6";"b476f4d1674662068e21630414532deff9384b3c";"Pull Up Method";"org.redisson.RedissonBaseMapIterator.tryAgain()";"org.redisson.BaseIterator.tryAgain()";"Pull Up Method protected tryAgain() : boolean from class org.redisson.RedissonBaseMapIterator to protected tryAgain() : boolean from class org.redisson.BaseIterator"
