"Number";"Commit";"Parent";"Refactoring";"EntityBefore";"EntityAfter";"FullDescription"
5;"8b253068479f038f7e8f45738df929c50ac9c426";"c4989979ed4b2ee7cd0c8c9540c6cd7799f0b968";"Extract Method";"org.thymeleaf.processor.element.AbstractAttributeModelProcessor.doProcess(ITemplateContext,IModel,IElementModelStructureHandler)";"org.thymeleaf.processor.element.AbstractAttributeModelProcessor.locateFirstEventInModel(IModel,ITemplateEvent)";"Extract Method private locateFirstEventInModel(model IModel, firstEvent ITemplateEvent) : int extracted from protected doProcess(context ITemplateContext, model IModel, structureHandler IElementModelStructureHandler) : void in class org.thymeleaf.processor.element.AbstractAttributeModelProcessor"
23;"e7d3cc627a5a8fe470bca88a398c4bc2130e7dc7";"1d819867e1b74f110f7321b840967749a27b66b0";"Extract Method";"org.thymeleaf.standard.processor.StandardDefaultAttributesTagProcessor.processDefaultAttribute(TemplateMode,ITemplateContext,IProcessableElementTag,IAttribute,IElementTagStructureHandler)";"org.thymeleaf.standard.expression.FragmentExpression.createExecutedFragmentExpression(IExpressionContext,FragmentExpression)";"Extract Method public createExecutedFragmentExpression(context IExpressionContext, expression FragmentExpression) : ExecutedFragmentExpression extracted from private processDefaultAttribute(templateMode TemplateMode, context ITemplateContext, tag IProcessableElementTag, attribute IAttribute, structureHandler IElementTagStructureHandler) : void in class org.thymeleaf.standard.processor.StandardDefaultAttributesTagProcessor"
23;"e7d3cc627a5a8fe470bca88a398c4bc2130e7dc7";"1d819867e1b74f110f7321b840967749a27b66b0";"Extract Method";"org.thymeleaf.standard.processor.StandardUtextTagProcessor.doProcess(ITemplateContext,IProcessableElementTag,AttributeName,String,IElementTagStructureHandler)";"org.thymeleaf.standard.expression.FragmentExpression.createExecutedFragmentExpression(IExpressionContext,FragmentExpression)";"Extract Method public createExecutedFragmentExpression(context IExpressionContext, expression FragmentExpression) : ExecutedFragmentExpression extracted from protected doProcess(context ITemplateContext, tag IProcessableElementTag, attributeName AttributeName, attributeValue String, structureHandler IElementTagStructureHandler) : void in class org.thymeleaf.standard.processor.StandardUtextTagProcessor"
23;"e7d3cc627a5a8fe470bca88a398c4bc2130e7dc7";"1d819867e1b74f110f7321b840967749a27b66b0";"Extract Method";"org.thymeleaf.standard.expression.FragmentExpression.createExecutedFragmentExpression(IExpressionContext,FragmentExpression,StandardExpressionExecutionContext)";"org.thymeleaf.standard.expression.FragmentExpression.doCreateExecutedFragmentExpression(IExpressionContext,FragmentExpression,StandardExpressionExecutionContext)";"Extract Method private doCreateExecutedFragmentExpression(context IExpressionContext, expression FragmentExpression, expContext StandardExpressionExecutionContext) : ExecutedFragmentExpression extracted from public createExecutedFragmentExpression(context IExpressionContext, expression FragmentExpression, expContext StandardExpressionExecutionContext) : ExecutedFragmentExpression in class org.thymeleaf.standard.expression.FragmentExpression"
58;"06456931b097a18a4e172b88828d9f5d51197ec4";"dd00a55bab6aa4f42ea6e20d9cc1bbfee52f841a";"Extract Method";"org.thymeleaf.util.ContentTypeUtils.isContentTypeSSE(String)";"org.thymeleaf.util.ContentTypeUtils.isContentType(String,String)";"Extract Method private isContentType(contentType String, matcher String) : boolean extracted from public isContentTypeSSE(contentType String) : boolean in class org.thymeleaf.util.ContentTypeUtils"
59;"dd00a55bab6aa4f42ea6e20d9cc1bbfee52f841a";"f90be592ec708322e180bea9f2206f24943f719a";"Extract Method";"org.thymeleaf.templateresolver.AbstractConfigurableTemplateResolver.computeTemplateMode(IEngineConfiguration,String,String,Map)";"org.thymeleaf.util.ContentTypeUtils.computeTemplateModeForTemplateName(String)";"Extract Method public computeTemplateModeForTemplateName(templateName String) : TemplateMode extracted from protected computeTemplateMode(configuration IEngineConfiguration, ownerTemplate String, template String, templateResolutionAttributes Map) : TemplateMode in class org.thymeleaf.templateresolver.AbstractConfigurableTemplateResolver"
66;"867b3b66ff920d8f57f5094d5504ff59a060e167";"8fb3bc3b548522437624d3913df5c9c9b74e814b";"Extract Method";"org.thymeleaf.templateresolver.AbstractConfigurableTemplateResolver.computeResourceName(IEngineConfiguration,String,String,String,String,Map,Map)";"org.thymeleaf.templateresolver.AbstractConfigurableTemplateResolver.computeResourceName(IEngineConfiguration,String,String,String,String,boolean,Map,Map)";"Extract Method protected computeResourceName(configuration IEngineConfiguration, ownerTemplate String, template String, prefix String, suffix String, forceSuffix boolean, templateAliases Map, templateResolutionAttributes Map) : String extracted from protected computeResourceName(configuration IEngineConfiguration, ownerTemplate String, template String, prefix String, suffix String, templateAliases Map, templateResolutionAttributes Map) : String in class org.thymeleaf.templateresolver.AbstractConfigurableTemplateResolver"
71;"b9f02919604a94e28f19d5ac30204912f0e133c1";"c0e644e4644677de5323489e8da1a9b978c1ec4a";"Rename Method";"org.thymeleaf.templateparser.text.TextParsingCommentUtil.isCommentEnd(char[],int,int)";"org.thymeleaf.templateparser.text.TextParsingCommentUtil.isCommentBlockEnd(char[],int,int)";"Rename Method package isCommentEnd(buffer char[], offset int, maxi int) : boolean renamed to package isCommentBlockEnd(buffer char[], offset int, maxi int) : boolean in class org.thymeleaf.templateparser.text.TextParsingCommentUtil"
71;"b9f02919604a94e28f19d5ac30204912f0e133c1";"c0e644e4644677de5323489e8da1a9b978c1ec4a";"Rename Method";"org.thymeleaf.templateparser.text.TextParsingCommentUtil.isCommentStart(char[],int,int)";"org.thymeleaf.templateparser.text.TextParsingCommentUtil.isCommentBlockStart(char[],int,int)";"Rename Method package isCommentStart(buffer char[], offset int, maxi int) : boolean renamed to package isCommentBlockStart(buffer char[], offset int, maxi int) : boolean in class org.thymeleaf.templateparser.text.TextParsingCommentUtil"
71;"b9f02919604a94e28f19d5ac30204912f0e133c1";"c0e644e4644677de5323489e8da1a9b978c1ec4a";"Rename Method";"org.thymeleaf.templateparser.text.TextParsingUtil.findNextCommentEnd(char[],int,int,int[])";"org.thymeleaf.templateparser.text.TextParsingUtil.findNextCommentBlockEnd(char[],int,int,int[])";"Rename Method package findNextCommentEnd(text char[], offset int, maxi int, locator int[]) : int renamed to package findNextCommentBlockEnd(text char[], offset int, maxi int, locator int[]) : int in class org.thymeleaf.templateparser.text.TextParsingUtil"
83;"be818bf6cd467394e161bd409a9c42cfbd011f25";"61369aa11f28b0c3d966c641da727ea021b348b0";"Extract Interface";"org.thymeleaf.engine.ThrottledTemplateWriter";"org.thymeleaf.engine.IThrottledTemplateWriterControl";"Extract Interface org.thymeleaf.engine.IThrottledTemplateWriterControl from class org.thymeleaf.engine.ThrottledTemplateWriter"
85;"5969997fae464d84616d60219d1d8d459bab2421";"16f9e44a681c951672f76d2a8220c5cecc34945c";"Rename Method";"org.thymeleaf.engine.IteratedGatheringModelProcessable.processIteration(Model,TemplateFlowController)";"org.thymeleaf.engine.IteratedGatheringModelProcessable.processIterationModel(TemplateFlowController)";"Rename Method private processIteration(model Model, flowController TemplateFlowController) : boolean renamed to private processIterationModel(flowController TemplateFlowController) : boolean in class org.thymeleaf.engine.IteratedGatheringModelProcessable"
85;"5969997fae464d84616d60219d1d8d459bab2421";"16f9e44a681c951672f76d2a8220c5cecc34945c";"Extract Method";"org.thymeleaf.engine.IteratedGatheringModelProcessable.process()";"org.thymeleaf.engine.IteratedGatheringModelProcessable.IterationModels.isEmpty()";"Extract Method package isEmpty() : boolean extracted from public process() : boolean in class org.thymeleaf.engine.IteratedGatheringModelProcessable"
85;"5969997fae464d84616d60219d1d8d459bab2421";"16f9e44a681c951672f76d2a8220c5cecc34945c";"Inline Method";"org.thymeleaf.engine.IteratedGatheringModelProcessable.ThrottledIteration.checkStatus()";"org.thymeleaf.engine.IteratedGatheringModelProcessable.process()";"Inline Method package checkStatus() : void inlined to public process() : boolean in class org.thymeleaf.engine.IteratedGatheringModelProcessable"
95;"2be5243af1bd9b52b58bf18c4f9a4a524ecdae14";"74dce31e1aa075175f71275b69b826da15c09a06";"Extract Method";"org.thymeleaf.templateparser.text.CommentProcessorTextHandler.handleText(char[],int,int,int,int)";"org.thymeleaf.templateparser.text.CommentProcessorTextHandler.filterText(char[],int,int,int,int)";"Extract Method private filterText(buffer char[], offset int, len int, line int, col int) : void extracted from public handleText(buffer char[], offset int, len int, line int, col int) : void in class org.thymeleaf.templateparser.text.CommentProcessorTextHandler"
