"Commit";"PureRefactoring"
"fbed6ab3c94f07111b7e98a220e916709a3d00cf";0
"5a27c3e0561a8f4b6917fe245f1a930f28463245";1
"a72e140b05bbc484ae4c5641676ce445d7042dee";1
"37f4dacbe1bb147eb954e6c2abace4935f5402d4";1
"93551302d3db722d89d457a6ee84d6e139752142";1
"960e5dcdf4ea0cc070d8969e203f4aab9dbf9ed5";1
"7abe9a3dfae41354f0459e950078bae146c4cad6";1
"746bac768215fd116cb86d7a04689ae5b77ee270";1
"46987ea5eba01d18e958986bb051a620568d88d8";1
"a33419ea4c23e29799da0c82149b99f5fc20f355";1
"f4695c118aef9aa99932a631fd997c9c7270ab43";1
"43d4338e1db4a2392c96b11dc0aff8a32bcd5f33";1
"b8e21e678e0d635070acab0c0e48574e58f8acff";1
"a1957d9fbde52c21d660cea297afe4b2145e928a";1
"38dc4c7f680515c687487a0075d64a3c28bca3e1";1
"ac61e77b00037fc94e8d58a1ea8eef92b0ad96b0";1
"cd4dba4517e56b14042e5ed1567e933ca3904efd";1
"f0bc50a40aad0aa9d42b78c245d149f75bc8d143";1
"f9908456ede48ea4577a908ed040f2921752c54e";1
"343333f585f9b76d21dbfbacb57e1b58b9aaf818";1
"f9025f3bdf07cbf29b53c0eb8fcc48b54ef13e1e";1
"9771a32850fc0effb35d5b7dfe7dd14302aec63b";1
"c720179349428562f75a3499fd4280f37194111b";1
"915a88706a311480fdcc746d719624534b85b49a";0
"760a25d5afbd033f3a29a903ad266313c8d6bbd2";1
"d12ad628e177aef3846f64ce3b405467aef910e3";1
"1748853c0adfd4176cccfe70ab0d222aec7bcf5d";1
"e89af052848f43e467034b7a3822c80a0bf3736f";1
"66555f86e995afd3fa3fdd87fbe767a9ec6f5bc3";0
"55eb1106787f9a78ae519d855b040f4e73c920b6";1
"61b66ec52e2a584268308ecb6353d4bce65cfdf5";1
"ad01117ef1fbc4b347398e91cc4654718301288b";1
"a216183e716573a8fccb4d01c53a54a92a481c05";1
"d8912df0b750c7dc94646963bcdf155cc303b05f";1
"0cfe72b8951d5539c38e1740e843a4e58628a5c4";1
"64201db229a8bd4c3d998215bcdca5f921c5ddf6";1
"0e24336c3b6015fe9edd8046b17b4cf3481bdcda";0
"111a03c8f10a78fdd7554003bc379bdd30ac4e5f";1
"6a23e1c70a5b85cbcea980930eca3967ef044ab2";-1
"8a9ba7733cc0170b74584ab56108a0bc8521854a";1
"3273f6c42f902bbf13d2e901fc8199725d52b0f6";0
"0c9deb58942cfcbfe48fe3cd06d6b2e94eca6c67";1
"7834f7f7a03de9acf4b8cd255b85ac3c1eb816df";1
"b36d7266ac6df865b632731f9e3202801beec71d";1
"d35ececab8c8e60fc0fa44f3ffb73f98a00a336b";0
"de6456f1602ce4ae4066e28095473c222aec3265";1
"2a0e2e6545174bafd8e8276af9c867c735d2c46a";1
"b464410c60ea2360ed968133b6651715306023fb";0
"214bc668a8362a963f5638d120a8cff8a173dfb4";1
"8a6ba551dcca204428eb932ee80e2cc280831364";1
"e754a9806a462e600c50d4ea86d21b82d84d0f64";0
"fb37ef4bad774bc4daecc38625a2ccc6121afe5f";0
"731e3a687fac3d84da83a0e32d2508ae4dc9e798";0
"a9bf2fec03b2fb060f67fb79161f576b7b7317a9";1
"eced8dadb153e9391ccc5413e18b4b52be3d677e";1
"a270461a25509c9b6bfc2396e416ef4f58d9a4ce";0
"e7ef2a704e60836e3f956d325096990432c8e57c";0
"a026b4c5bcc1d6d026005633dfeeac39ce63eed0";1
"f1dfd6451c1c7a5d8a73093f2703e73b399d9690";1
"d0d74421aa942f4b590e0118ba5ca248c3af02d7";1
"4dfe7bd459f36023739b83a421285aff97486319";0
"8caf1eca571a3385b393737244817a6e0bfb5c52";0
"0cfefea40e860e704b2a540a39c66f9dd722e706";0
"e2719b4ee2e6368fe8c4de001f38a53c989c6769";1
"2dbb557027bcfbaba6a1116a686cdb70d3659baa";0
"9184916a489456e9a7a8e222a6bd3f4477d9b3cc";1
"e6cddefc5b7cdbf672d2b869673a536f79b071ff";0
"2471548a43b3f186c7def376bb923e5b423ff3f3";0
"0a7cc17b76e1c9afb9ac21bb802f3358216aee35";1
"ee7f4b05b731d4e2eb0778c8d8e3c8b575d1eaea";1
"b6e23452adf0a123f465d113370653cd72ddeddc";1
"5d0241e8fb13f3f717aaae3d5b5a910e8fef4f31";1
"78c606965ff3dcec35ce98c78f2694eb8e6cce47";0
"6b62298b7b67abab5bf8cd9d823321fc6469848c";1
"95e3752c415635dff3082f29e30efeffc7b8963b";1
"56fd6cc0759ca0a854dcbc23da098987c0fbea17";0
"f1defed7642cd49a10ab0f37815c7fa39df9a3cb";0
"5be05d96f91bbe008e20829551ce573dec3cb567";1
"48fefef1fd232ce693623087b0d5ad7ab1db664a";0
"9c359e175a80609d8947837ee882a9905707a86c";0
"eb31ad88697ba66aae509c3c877c314f18937932";0
"588a106becaf440b399b6d036fdd252ed9f7cabd";0
"099ac357d9617e7f574cd92cb548607ce5852966";0
"62eb76a6e2ad37bb4abd9972f14f8ce9447d0415";0
"dbf630e16127b87ad98c7787bbfdefaf027f00f4";0
"38b662428724049fdb2d87211483b490450c7004";0
"e65e83a67aac3068ecccd421620fbeb9425c13e1";0
"d3c775306fa9b7d5e907896eb143ca7f7788fd8a";1
"1d00b17f2d527247f575157c31cc7e3944b201c4";0
"5e79dd8e593c9c187444696ce8678a4e02ef087e";1
"6e4817e9be99e77f9661ea1f0172a2f90fd48c13";1
"667b39ebd8ed9a27359f5c4bd1b4c64aa923b252";0
"a522d39e68f76b48ad56ba3ac28efda6f50b00fa";0
"919241ae50c7c201a41817b047aae69fb4fcc62d";0
