"Commit";"PureRefactoring"
"350804f6d4313b8b328623b4cfaae2a59f1e94e9";1
"505493b182d04f684446a427c397bbeded342021";0
"5dc13a614611002a150a472805f583d86b24fb12";0
"48bf5d5cd38926e9ed0fb3a8d79288f7368688fe";0
"0bf639226089b09209e79a93157c3d4e8074b7c0";0
"657119079d057325aec826758185f91fb91da7a3";0
"b7772863af780ab0bcf705163f8e1757a9fe4a0e";0
"3d472bf1dbabbef37732a10c1e935f1a91f03c57";0
"542f4f99f727e56aa7cc9c7a2d458a71ace68267";0
"7129c41a29870c9fc7daf7a6bfb4723d6fdb1d62";0
"40d405b46ff175317bb77463524a830bc2d2656b";0
"d15d8e2b40020b1dccd8ee4643c4c08a5c4a3ead";0
"8e2e8e344732223c619f13ca72ba6c672979cb72";0
"5883e857052b6ad5a45b54c47ffe1286bb71fe94";0
"6e4011e4288322fbf27aeec706ee0813b96637f7";0
"85d15ef11f5b8cd18fc71b26a5468b1683b5b78f";0
"9de7b4b377460a605c31878b231fe0f516e1bca4";-1
"5901e7cf62e2c7965d03a0156499c8ad23f4521e";0
"4c58fad96a7568e999d418260cf94011df4a6f4a";0
"8fbd5a58c1cc10572d0874f30fb46c5dcef31836";0
"6a1818108870749d3071b4c1eb7c22d176c14ff6";0
"6452c5ed64b0795dedb15d1c70f9f18ce1f4e0e8";-1
"b23d9703e503daa76cf5b285d815cbc42326e28b";0
"5551274994da7c40ee3126e385d3a2c8b74bb067";0
"206a5f1333909258aca5e92b5960de37192e994d";0
"dab7c3ad58ab6a9d55083b878bf27d748254404d";0
"de21bf2320fed1dac2974da1544aeb1ddd5c83a3";0
"4d76d550484aeb29d5b1ed0c233b3bbf90d04e6a";0
"0fa92b47ccf8843e0c28f21b28f1ef1b4c7d96bb";1
"691a3c7b405fedb57bebeffa9d204925afceece6";0
"379e992fa9ba52ec7c1f3033ac92b7e4f06aabb1";0
"c3235086ca8d3a5377fe595fc501d9d8e787d979";1
"d1232799171800393ca6ef4c6507abe36a1f9655";0
"73fe8c29f1123ab64b64ac1bb08522660264ccfd";-1
"6c14925f76391db7f136ca9916d222470fa1b576";0
"76b463839410276d61b7fe8fdf52b3cf1a55367d";0
"b87cf597e64270d8078e696b6843f6f717b86f8a";1
"aa4d3bb215d6c3a448835482b72a1fa60c758fde";0
"6de04e6a6a9b57970e0beb1d9de7fab93a50f5f5";0
"e36113dd8285f85a2a64a8ddea191aaac9d0246c";0
"94082a160d9be80bfa3f781c84bf051bf4e4fede";1
"bbb3e903c382155fb03f6d442535965b5a83e1d3";-1
"6274e7cfc33529fc9aaa08fd6c33b1e42e1aabb3";0
"722530f1b956d516870742a809e54cc43c65770f";0
"463c8be59ff2d6b729ec2eb2bc5e40991a06d9fc";0
"c444559b90632f41ed772bdb5a38d56cb74e6abe";1
"acf218ea4eb58b1db572a3f40b78cdd076efa118";1
"e2f098bd6418917f8320f87313dc2d3d7314df74";0
"439d7b38c4528caea51fdca829feb90d84e2c05d";0
"ef9748546c1b08537d7754640cbe3b5acf620f5c";0
"6d31d3a05ff2429c046dc29b006e7000f5a1181a";1
"dcfb329b41f62d8fa962ea231fb0eb306b071e01";1
"302168d865242e255b8f4d478279cce2ec86cba6";0
"7330672414d636db20f9601c9b8f57d546c3d004";1
"247d77b30b3e465289fbcc8d1fac889e5c4fb735";-1
"7bafab044ec6ec8d8e2978593d54e692168d1423";0
"3104e89c9159c15bdd3e077ba31dcbad66059e98";1
"0d390d7817f79108862bb67967eed0bd09564595";0
"7bf032a771ccc0f5f12e2d58456eabe53209e393";-1
"f43963f25862a1d0373be63121749beee9992535";0
"01a02880079e3cf9781558d0abfdb12cc14dd1ce";0
"db029f606ba0457e926ef262dcdb7434a9ace2fc";0
"a56dcd17599a61fc29a0b5de0f7acac2926f2a0e";0
"8186a582eabac1185152f59c832dceda2f9066a8";-1
"36f16f0224aa744fb36ef68f24ccaa686e357d97";-1
"333670bda8354cb4d627e9b893e794de2dd20d37";1
"65d98d074ad11ec42c2708859c43122ee658aecf";-1
"bf814db5871db11c0233f810de038a179d3bbbef";-1
"63e358a21505455d90f2b14d3df09f70d38979b9";0
"557cd6f68bdc43e10c0fdc799dbcd42b58cd9af6";-1
"9a164fea6065fee99c4e6173c3e5b7dfdb7c63de";-1
"fc12f8b3fb08578af363efe771c53f871756a8dc";0
"ac9bcaa3e8e88d87a9d971f315f025112a55b1b8";1
"35f3860ef3bcb6e79c137d2b7a9e4d26a58de638";1
