"Commit";"PureRefactoring"
"544e1b1e48f73ee4b3c38f2752845a949384d0a6";-1
"91afadaa4dfbc790b01738eb99d99db883e9372e";-1
"a741199e96318b51572b2845bc023f241a294ebf";-1
"bdb367d87bee8fbd19afaa2312af74111ae59b0c";-1
"671d78a02e5f594f57c87cff8a3b106f7b7475e6";-1
"f62a350aa336a370c7c418be36d9c47cebacca9d";-1
"f142150c22b2b487501034ef09031d9c5bce46be";-1
"3fd1cc9a364474bb07515447966b55146f3ddd48";-1
"7480a519f74a1f22ad85d4d1ec39059167273feb";-1
"12d797e8c4c269553fbbc20a12aa2135cc6144be";-1
"e901d1ac5c2b99f1928b61fab90e00bca1e7ff09";-1
"6869370617f6f2782a8fbaf65be1b7d2835c1cc4";-1
"f24ec57d20a71c9de4274877a836fa90fbbb3d56";-1
"c5dedb0e8bfa97765ac2b6d9ed0c03e4dd022c69";-1
"bd6879fa3c3004eae8c0f5b85b51a19a997bc186";-1
"c6ac9fde9cb853d5a03b93e997a58026c2130c85";-1
"38d693b7ad627e94b973d466cb1a4a99f904bf74";-1
"c50865817db4aa40d1844e2b63e66e368866cb40";-1
"15bf8c8fb6a693f28919e03e1c73fe6fc279a5d9";-1
"a5a8ebf023570a9ecf15bc25514c944e2368a9eb";-1
"d73ca3752505fe93deb2e621feb2d28411fc89a1";-1
"b9ed7adc2cdc49fd0383a207b94e46dcbd918e2b";-1
"18bbc975a75b177428a0e4fd21080b2c49617cb6";-1
"c63c4d3f1c976b40c20a52727684f19e7329f93b";-1
"dd66664031674b7ec7973ea906770709bdd9f92b";-1
"958d210357eb56f9432c087b2297b489fb83323f";-1
"315635742ca8c5297d75b9b6bb4c11c7728eabd8";-1
"6ab203b50c823370b7074b738a75bab5061fb4f7";-1
"e32f161fc023d1ee153c49df312ae10b06941465";-1
"0a4e90b63ddf231cf08b7d5cfd088ab7b5ce40a3";-1
"96c593c3b10b15cb50edb1458a669bce5fdf78c5";-1
"79fe4b6ecc218be065d7e6f5b6f505ebc86273b8";-1
"1c8c5f1dfe0276bf7102416d8e930b1acf2b42b3";-1
"962bbb3a4486fe6387a7c33bf726175520616b0e";-1
"2faaab5bd37b0798c4d7c2534e00e3dc30e4cc07";-1
"343abace36a389e54f46c43ff0131ae8577763df";-1
"94fa2eb29076f2d20c99711459feec312276e1c7";-1
"bdf6c0563fc5f54b8e1d4c6d3277eadf6f7ebe0d";-1
"fa154f2c3a586ac5d3654a7eac90cc3c08a1514b";-1
"f9fa6b495629cfcd74a0935e1c24d3e525445a8d";-1
"3189bd71ee4e769a76493477fc549bc60bac760f";-1
"1750757ab5ff684c3e54d7a55f6c289eaf38865a";-1
"7b9a3f003a29195afdb636385ffbf58fcbd32366";-1
"56d5d3f60aea2e58ebbe3efa03ec5a75f99a4644";-1
"0f0be14fd331bb2e870875a4fadf67a5ab043832";-1
"5baeb0da96f679cfb7c6d7b8dea192a127f83b35";-1
"2b3908f4c3800e3f8cf976da29736664ff8dcbba";-1
"3b6f6630bb3e71f98aeea88681f93e701cb85376";-1
"9e565304eadf430d26444551584f338339a4dc84";-1
"7ecf07b4c9ce4bca40cbe2e386698ca773174ef2";-1
"8f5fca543661033e4f2184546b230bfb24015c01";-1
"35a32c0a28d83cd63e39d91ad83e2ac7e4beb08a";-1
"38bc503d6dc40e3a5378c1d37f9c092682873f28";-1
"7bd3142c718add7756b4e2a39519d107169aee6f";-1
"07efeeb766e0c0cd9f47bcf08fe826a9b51dfb26";-1
"7ef10d89947fd08eb38a0badd59474cdd571806b";-1
"5f073e3118bfea49cb141950957bb217ab78af81";-1
"0331e17e1a1634b1fdd77abcd80ff76fd064a97c";-1
"5cb0cbc1e28a9ad8d11e8e0b2e6724f7c8624b3d";-1
"8884dae3d3c76fd6d2dc6084b64e14f1a76f5663";-1
"864da6c6ca0df6ec618eb6594bfc780adc23d19a";-1
"0d64c4a608321621c8af0c1b65068d35bb08a3f2";-1
"7fdb5ce51ef146738e76a68a19c44ecaec515fc9";-1
"eb03543e75305ac1c25f88475e02ff40d3c3682b";-1
"f0b2853fb165b95bd5fb4813d392a6775142c2d4";-1
"944b646bcc370af0894149165d6ea3ad2597a9b1";-1
"599fe1101927587e6cfc3c59d352d6f405e4a4b0";-1
"e518c77cb0a41cbd5e26384883cd56b825aca4f5";-1
"d8e3cf9250fe3c0cb255c29bf9a9fc8c566cda72";-1
"35464311659fe56b9ee0b0e9ca478a42cd2aa2cc";-1
"ed955d3f8c1ce4d038610a33d5fc5bb1675c7f9d";-1
"236237e072d5f75cbc99bc404fb2f7e9fd2196f9";-1
"cf0596a00aed07b0df39f2ca5692cd18db0f48bc";-1
