"Commit";"PureRefactoring"
"12b49e9759e6e8bf2b5ea818736d8da4b1964c1b";1
"bf1738b863c90e8c37e9d092cb3aad4648117b77";1
"f5663546db0a69d316b2b13995ee4f103efef00c";1
"420b017bbb36e881cde91bdc7975ac1893c5468e";1
"58dd868d9514659ef2ce4be83bec56a81e7a9763";1
"d5264952c223620273814285a7cd9bc3e229d285";1
"469ba21430d8497b76c7017e1793d38f16e011b2";1
"daf9deb747878f4fe05eefb448b224ead9f8efc7";1
"d75cc3816610c9cd71cc792d32da70ea8497c97b";1
"056f89660739b4bd4b230a7be98de3e21ea14ad4";1
"280683a7e59453f71f0ad16a2b0bcc4d8419de70";1
"a5e6ef210979178212cc363e193582e05dc9c517";1
"61e8e44a98d980902a91320812f34e7ab20b6bd4";1
"3bae974f2104d92d0876ee98b12c4ec9eef46e30";1
"d47c56e7ee80b76a4cffd4770237239cfea0ffd6";1
"751a818ff60a263dd3965a9236ac9c8a6e061934";1
"1972c9b9984d6d9f9faca6edd4f2159013205aea";1
"38877ae3d0043e9ec2fb369de6289e193ac7f588";1
"aa27cbd82795c015e24f22da637638c33110dcb7";1
"a02c1b63bd891111b55f775db55297656c79f681";1
"f2e165fbef374abffdcd2c929372d9546580c199";1
"58e590f83ae52dd67d95ada193c4cd2709cf7f9c";1
"eb9e3347e45319be494db24d285a2aee4396f5d3";1
"32d34cac212980989e18da6ccd2df77e73a02c6c";1
"3cc4a95605d6115d3714b864823bc606d5c03836";1
"1e1de6d2a4e07616e6d3d51a8908c6bab46b86b2";1
"63d4ba770289628477821bb3937ac06802d9e018";1
"af3e161eeb22e43cee66613063868a8a0087f2c5";1
"b2c1803bcb771da9d77a0ff7fcd6f7a3518f1550";1
"94f8ef2a2d50b12c1a15e62af6befab26e4b9d8b";1
"27b2e7af00ad002537ed92e888fa2db1955957b2";1
"51f7b83ec7ae4e2ffc5654b9068eed67c5f17984";1
"3529482ace53563ed5e92ed3f8798aaa4a08dffe";1
