"Commit";"PureRefactoring"
"c3be1aab7f857cd2bc5ad8a8fac1603e87d9f021";-1
"90ad4d6aa7ec0677916525633837dded55576af7";-1
"87a7d7892a0cbf80b639cd33f81009667c2dded6";-1
"309c03055b06525c275b278542c881019424760e";-1
"838302612551ef6a50a8adbdb9708cb1362b0898";-1
"676a7e4a2bdc9771e515e2d545e089f9e2c29e03";-1
"cbc967caf23c6a07d4afe56d44b60c5fed09afa7";-1
"caa3b4fdc8da5880309b317d0045b1280181c452";-1
"c47e1bbcfa227723df28d1c9e0a6df2bcb0fecc1";-1
"9f277c80258b3d2951128ce26a07c30ad0b47af0";-1
"2b8e2078ddc3b73d4634adba339fae22fded4169";-1
"4c963fb0f9ef9e4fc68b8b167729d857ced4b530";-1
"5fda6cb262d1807566ecadd3af9aaafb58ee5544";-1
"6aaaa0a88da15fb814e12a8a4e9af864edfafd6f";-1
"17b18350bdd28154241bc7ae80f423a5976c6de2";-1
"dff9600387b962f16fc78e6477e10e34651fd366";-1
"43873e477dff33e5c53323bf8ceddc014b870a40";-1
"c8d3ef3929e8049a84957002bc7e2071844bfb53";-1
"22164511c43ef19fbff91fb75ef5f7147526769d";-1
"229bf8fe9a751e4f48bb2b7ea57e27ebc43d26ae";-1
"21425a642c44bd1cdb8d3e537a7b6a23c1267bc7";-1
"692817a10283c98c5d57bf3515ba39cf533d7aad";-1
"93505932f782f6de94b7b9a06a5b6dfd884c7d8b";-1
"d77489d3ce912c177fe288a6f399a5c1da6683db";-1
"01b4cb7156f0b378e70020d0abe293bffe35b031";-1
"4036c7720949cb21ccf53c5c7c54ed1daaff2fda";-1
"bc2cd8f139399545f445e2f6d4d24bd2ed1c76ed";-1
"7e49f98391b089505e328c662c176cd2a79a95bc";-1
"d3b5665d21457ad27bda702f567ca2f55b14283b";-1
"d69c32394d06f75e32bdbeafd37e7b1b5b6da351";-1
"b5f5ba2e15dc2f20e14e05141f7de7c6a3d91179";-1
"3035a6fb75ac351382614c9c91862db1dd93fb2d";-1
"684fca15040e1ec8753429909b2d463e99d857e7";-1
"ac1e8ad9f182dc2e8a5254f3e4b7b77c0258353d";-1
