"Commit";"PureRefactoring"
"c8d8409d309ebd43e390cd2d9ad2e02e9aa169e9";-1
"863ba9a053091d45089a6535e12367421bf6950b";-1
"0acd0c76df1c0acd9146004f605dd48b8d9ec4e4";-1
"b84e7b946a45ec2e2b8f926e3a498df5eb69eea0";-1
"8f63d503012b437c7510d828de75b2d53c5459ba";1
"3df15cbaed5362ae3f2fa438b62bdf41535b603a";-1
"87ee1fa6dc8d5631c0554e7b2edc383875653555";-1
"f046543d725d15ea0744286dad9b10440b43922f";-1
"6d9c176450b430fc23bb8da4c73142cafe505ad4";-1
"5a74b65d7393c280dad4f8b1730ec4bdfc4c51cb";-1
"2b1339c633815ec8cbdbaac88244e56fab925d78";-1
"cbdfd80d6e2e315823272b85980fdf9b73493396";-1
"ade87e4b8ec167768e76a7bdce284f978e6be066";1
"b90e175aa3c424d6f669b047953b5223a97fb1b8";-1
"882470b1ce7a51a94f3525beceec91384ccd425f";1
"7f3f4a6dd6bcab353b94ad2f1917996f98b11dbb";-1
"1aab44903b9728a38ddbac24d88ee450a8cdcae1";-1
"c73191ad41dcf88bcd4ec69f81b2cb85530b9c0c";-1
"8f214d54f7b37da3d78c5bb0fb7b4060a1bfc465";-1
"d51431252c7455b089efc1da18251bc594c078ca";1
"635413abd80ea5f19c2491d85cb9aaf89c461c58";-1
"3445a3a3f2491f0d82f375578702c80566659097";-1
"e89063a971eeb8a8d521ff6b5e0b7f5d11d219b8";1
"381b189f41dbf1609fdf1cec70e5aadb0a208184";-1
"29a5b5637cdd8e34e4e7acb37660f9532339b99b";-1
"c23bdc09077ea7e1284c80b2f9c229b204f83de5";1
"7fe9f468ac844e543e0ff4bba6ac9128d949dd31";-1
"f4d331073426d8a42940045f44e24728be7a50d9";1
"27c10df62573490155ae6b39c07f581fe8998a61";-1
"bc8032c595ee8bea820bbce9d3d2a03f7bb73e0d";-1
"0062ea4919c61b282528324c6d7605cb022ad071";-1
"8343ca08c4ee306bcdf57da38a78bd18c86bbb86";-1
"77da0001feade1b4cb1e4dd9f019cc950734c097";-1
"c49078c650f480879965d28be841a401b2c3bd84";-1
"1111fd48c8c73b21043554dfb603c5041d9c4b2b";-1
"19501d678d2e9a09e19d471b4e54b541f91e907e";-1
"29fbe65a77b27b8cc00ee3790dcc88514b639945";-1
"ce2daf6b9a8499b2a66bf8b4dcc73f83ed98d54a";-1
"718500cf59eb5e6ef4d9a58de6c2b0d45b63bc9f";-1
"888cdc34f432c22ea7ab95e94f77bb55ed0286f3";-1
"b4479d515cc892c019b468b633fb42d5d9c2b693";-1
"3b0b090989723c442d7b008ffe044e803b285cfb";-1
"97ed996c05380cc817a4d527ebe7d5f79e9d11ec";-1
"e210b1608a996b26ffcccce23dfb08e3d8fb9819";-1
"e1a6d99c1c99724c55c44f5c764d18cf8052c49b";-1
"ea8017382f4624852311912b2ceaaf04a7fcb201";-1
"b0c38aef685cd14ee6080cb17fcdb89218c32c35";-1
"9df6894d839dbf766610969228469beb130381e3";-1
"10de17ba8a5f75cef508bea6818ac201125123c2";-1
"7042c7aff3deda6969a9198d3ce800cab302b45d";-1
"bd125342e2f35028b0a7d55f17bdc993ecdf43bb";-1
"c2adc8bfd4772555b2c51ed64aa8ae389351bdcc";-1
"512b8dbabdde38097110f58234cd6aa6fb7b86d7";-1
"7a241d7da588cb1b3263d1ab59ec85ea153275f3";-1
"6829a23bce063f51322809ef9907ad5a55b669f0";-1
"d4480d4f3cc7eae77148011beab4120e4ea79b49";-1
"66f3ffcc67ea0cd1fbef680fb6dabdf0f5e8fdc9";-1
"c64c40e81de9415338067cfc9c1e075d210bf024";-1
"404166a5652ec5133ffcf1ed1f31620e10e68a0d";-1
"1633a926033f3ad0dd72b577bd9cec539ff3d959";-1
"e170df70259df343735a5a1abbcaae8342b352f4";-1
"d66a4e2097edb2879047d93151abe7b435500021";-1
"5434b652600ba84c080a6670f2a8523f65178d46";-1
"7c4a43d2c54668de92ce0ef2272841a7c4a81784";-1
"41a56b3c92c621786f278dfadfa44b82121c26d6";-1
"2b75d0f853faa24c03f90c0612fd0f5b04d36d8c";-1
"3165a86e3cb4cd38a9f38f60f52014e0402c7c13";-1
"bea1d70af255099f68b7707d0180587437c530df";-1
"21ae9b572243c93f85cc13736b7e395c80a98be6";-1
"4ea81bca6984f073c420280ff09dcf535dbc460f";-1
"82d691365af973e3a28dd370da0a7972ca83c92b";-1
"ad452e507d0aa02a3f685edba182ecaf02e3a0b5";-1
"969e878ca9b41de28c1eb75b7117e78a8a715d45";-1
"450f6bdd4b6fab2dcc42009d9c0397cca99accbc";-1
"a29eb6e0d2ef52f79699ee04a3faf112ef16a005";-1
"78488b0b1ab0fb312cd0c0ec4c591ed68362f91d";-1
"465b7b34b994044eddc2976324690789e3ce3b36";-1
"c3f84859da102ac51e8c02f76a2dc69548089faa";-1
"b5b5d6601592eb858ad6c0b2e84763b629bfac53";-1
"8b51ecf0217a48750353a8a6e74ed444ad69994d";-1
"23179b0e5cd33a6758d52425751f0350e94ac5d7";-1
"01ab972572c1cc00111e28e512ec746117bded08";-1
"8cee3091cc8cb44898cfe86691a844a40e4327f9";-1
"d3bacf9e70b3eb426140bd01f5168843a186a7d0";-1
"915854c7c8456ad229d1ec9dc0ead7c39aae0c96";1
"99337c1ffb5712eeacc70228c466cbe6b681a197";-1
