"Commit";"PureRefactoring"
"3bdc49bc36b19352802f7c2d765703abcbc2a2c3";-1
"f245937221baeb18c6024ff69b5423240fb80438";1
"69cfd035b0a2255f074056016b7d245b246c0435";1
"59c00d8e0d3f84c94d14e042889b02bebd91cc6e";1
"94e1112492c4927eec7d8f918f3125cf2485b3e4";1
"24567325a5523d1a25386d0da30c1e5af045aba3";1
"416fdee68a06a6264a5863bf1f4faefa2b4c871a";1
"5fd1c01a0a4688c9d409a6c9ac97a3472dacf2c3";1
"51c8a58d942e3d51b9e532cbcd188f2b1031b33f";1
"3852b7cc1f0d0050ed9f9fc8721d29a1c807fb9b";1
"d6f14bc7b42e647d7402f3551a03c38f50fe539d";1
"f2be2b6c15a6a2e033e1d6fbd375402be43bb6cb";1
"36728f7faee478b7ff6cae5dd37e1006da8fe6ef";1
"9b3f81847bf04d63ba0ec1c341f6b727821873c3";1
"91b77f6ebdb22bdfa7b8ed9ada2c386f06f2042f";1
"a9e6ed82b5d4201b0c322373d7b42b9142009652";0
"d327bfbe8b6b18396ef05afed0efa001b302ab1a";-1
"76ec8a160912ce9bea8b986d208787b4a007d1cc";-1
"144da90306f80622a3ed2a684001b9f9b1a8fcf6";0
"2463090f22f206886c7abdc7ecede3f574c49a66";0
"2409d0dbad1e5f9ea88e89c65672d997a89c937f";1
"f0714d708526881de8a7467bca6d3677b4cfee23";1
"e601eb8db2d53e3287be262e0722fb4bc60fdd68";-1
"6110ce9eb0064533e9bbe5749200974a1a4c55c7";-1
"4684fb5be7f207ec906a1eb918fdb9952dc1eb3b";-1
"a60174445be95d37b35a249bd21fc2102f4bac82";-1
"e051df2c02f23d943af0906b38bdda5413268655";1
"b82b13929cde3ce8c1f644d23ca800bf0ec60c73";1
"11efb7ae6289a66b7a34644b2b40e12bb49de40f";0
"cb3a4913fc60dbd3dd805d94f52eae2bd02da682";-1
"1a1d2409c8ca0edf649d52f90499da5f46c62b37";1
"10fd20ce63b1c6c4712f51ca9343783186a96707";1
"bbd62fded97be060fc09177f9fae794cea284554";1
"c24b1bc0d87527a376ea7f354832c94540db0d54";1
"43100963c0bb9f790f6baaec8e37d4e554464457";1
"02a10a96493b0a3918fea28cbc5efd6c3e043b8d";-1
"6bab7af2ef74119c6aaf07558a8789927ff7bd76";-1
"f406153f4cf21b580d45a7ee342188d844db0fa5";-1
"2247498835808daac94ef9f1ad07638e0887bd9d";0
"5cf864f958bf51e5f541a76e31eb7d573bab0746";1
"f3100f9f4cb7e46ea106014225382ec1b8ec2483";1
"83ea5e58c7c0eb8bb2aedb01eac0d10613eb772a";-1
"581d4330b382fee2ecb619fda8741a8606971c26";-1
"16ca3ce0e1d958c6242492f37f9d78049f06962a";1
"8ef1e64e08ea2db561881d661a80a3355c361c9f";1
"24398faa525464a80d5cf1a298db8b46363b9f56";1
"ccdfcb815c779cf776a90da26aac8a667ae4c006";1
"9bef6d511b66412a0e4882bc652f0b58ee17bcc9";1
"b4ff6279bdd6ff4ebfae8b385181868c55468382";-1
"e085c0b3f3b1e8a3b5942d0938218bec40a357f3";-1
"15c0723a7145a1eb0b3511f7d75b12c745381ded";0
"f400ec9fa50f485e842ab282b8a5b0237eeeae4b";1
"a4ebf88f99444ec2a4746bfd440258f880008140";1
"f16fd406d9b069b5184cfe381259d36839105cbe";1
"ab8cdeb77c78d18e792da30850c8f1036df44bdb";-1
"e3e027ee88295b2da9b9484349b8a20f854312f8";1
"78d19a80327b35f2f3fe419b4e4d0f4d2d94b9b6";-1
"17fc23902227baa3dc8710f925d50bc2ca530917";0
"0f7562a6ac9f24c49d8d58b6f9cb5c4e09438156";-1
"5a27ecdccfccaf69d5e1b694ce3d26cc0c0040ad";1
"afe285559640259c47a50cc5fd5ea7fecc896dae";1
"6b2dfecb9c31420b086d439cfefadfccb4890b80";1
"0bf6b14b2982638db5e7002a797f4d1c657e32a4";0
"90a3844cd3f9768cef97d4db491d064cc1e08bfc";1
"ca5fb9e417c7c09cc4ff0a153d5f7ce401e1e6d7";1
"060e20f5dbf26bdb5849b9f2d5dd95e9a1a037a5";1
"942bf2fe3d9bbc7ca77e72f8045f8b6b26ffbdb2";1
"dfd62e2c8fa73f95eceed05b918cb607fdaac813";1
"12a5cbf363b95825137083c9f8b07b9d7bf9a19c";1
"4c47e27a3547f5da3b41925da421c83e1f658259";0
"500dcfd503587834291982fbd1efd874a3e4a08a";0
"ec49032c6c0c46010c2a3f0253ca900daaecd83e";1
"0de10bfd2ba7bd33c7e9980a73ad00b66b7a6898";1
"c1a206c138908df15f03bd9e527491ea3b400013";1
"403cf16f8f43a56d975d1d2e8939e021800e7f1c";0
"9ac59caf819cc30f71ae6c2a24e7e209770cc000";1
"311969a8084a581a92cee2deb8d81899cf5dfdee";1
"6ce90a7f58c67074f57907bf1c7e5b093ca9f62a";1
"c5254cc320626489ca612cca12701da474dff7c0";1
"5b78ad8dc63c06835a621cff49e614bf46a54f1e";0
"e94fe2ff78a7a37a30eb96ad08a6f16c67869a1c";1
"fbef9c88c75356303f2974f8f3e0e8db765c82b6";1
"3a855fbac5cb6bf5ded3db47914ddca8c9afe236";0
"844686c660db44ca684a32121d43045ec5862b63";1
"2a5d91fa09b52e3d3fe81f8cba7dde0b115558b9";1
"2e60c80beb19f46c14d9d3b5cccc084b873e4944";0
"65b4c0c7d90ef2fdca578b0dba7b6457e8bd3aa4";1
"4717ced7b282d9ce67ca6a845f31d2766c1ba09a";0
"0d86c2e5645d25ae2a060133c9cb6091fd1caf3e";1
"2de5b465181a2c1af73edeb911155871e43036b1";1
"61f3b1af0b6116d1ac57aed8166797756cbff26a";1
"29dc23ad9b88f3f23bc430d6b18cca8837a02a0d";1
"88806c24c77ce9dde2d99ad3ffd4f4e190f06252";1
"80940d9641e62a218c55cf983b771404ace1d5cc";1
"f70c6953e418933216979be7fb045bf2bb2101f8";1
"86840163f345ba1926e147f15fef8d122b791098";1
"1e7ea80c741c899577f10ec9122b528665283797";1
"655fa18a4eefb2f85b5f9fbf207099fe89fdf714";1
"f10b3084bf1f98cc1f85271c141f659004fadd77";1
"52c538d969d4aec07553c65b3443f7aef63ad158";1
"5935f5bd94969d236ae263e1c20453098373394b";1
"bf2b6872c9d422a5bd0cd95a32f0e55f2fa1d4a3";1
"1d0d3077d083de0241db47df0dee9de855e75063";1
"d69d1114fecd688e3dc4057fc75e6b716052391b";1
"3d9e2e0d63d2433f9aeecb9cf49cbfc9cc5275c1";1
"fec446b83e780d4bce76f0279a2e70d03c6ad88b";1
"7bd6ad5fb195ad7263e485f17d288a85dc418d3b";1
"6b4e080226a5927e115349bb302726d1df330b76";1
"cd37193a99a38a529fb2da33c0e3f1405fe36605";-1
"0ebce65424195d6ee29df1262fa586987e50f919";-1
"6fff29396149d9d10e8c26b6fdf7ba35b806c868";-1
"00866ceb1a49dfed42e3a8b51ed3e6bc0b9dbff9";-1
"6fa2557f1b581c438352a9e1b94ee5011a8d70ca";-1
"83705c23a4c58d5755428e2b095adb739b6b76e2";-1
"c46f5848fa015df703ae8334b146557834877142";-1
"ade87786c27f06c5ff34925f92667beafcc207e8";-1
"d362bd7ec44f45b54fa0b2b50ab699eb5011e938";-1
"3bb32b47f4e84e4cb6504d3d70cdef69d6e172da";-1
"40855ec1d97fdeb60baecd5c9ebcccab0ba3bc05";-1
"e62a30d560c62f0f22484714e6b7698bb7bc5304";-1
"51a15fe98f8d5c17e2e39147f13aa3bc9b51f603";-1
"1e059f0ffb42435eb4dc51aec6eb52047a3a070f";1
"677584276846f4ba6bd56791fc6a5cb16d087cac";1
"0cf5004716a052c94b7d629c55f729a28c83198b";1
"e7b678937239072d9399bdef1d76fa7963d5e2b3";1
"deda28ec18ac0e41c0fdd47cfceafcce438619d7";-1
"e7aefc0f3f47976b747a3aec79a9a5f9fdfd6752";-1
"ccd39830e4ba3607a2fa31248e40dc06623cc350";1
"9950fb694ad679f97c72edc1e0800ab9cc69964f";-1
"c0f1ea3d858b5afbb7ac5136448a60cf0ad4303e";-1
"98ce7ff394c10090972427a7686678e7d5e291a0";1
"5c26de551226ccab26fbbf4459139a7ed1b36a36";1
"49fbd7a4b1dd679a46710c9c11cec20875b2a127";1
"b609cd8065664ac2802ef82d2b7a182876c80a0c";1
"96d597083c2dda4ea03d4a20befac5c64c6d2d0d";1
"4580d6a693313b46e4eb597eac64f3514cc0ced8";1
"614ac0ce0aebd7ee1558f78af1f5ff284e23ff03";1
"76bedb04743de101b10351d21bf3162686211b10";1
"60ca0e27eade5d7a67a1382b984962d5be2a90d5";1
"cf89815e10826cc40c24d2b49ba2bc28848ad862";1
"a82f990f67550df1e7d3a6d3da4acabf81d652b5";1
"50fbf0e3e1cf8bdd113956a67968c9fb52b3cfd7";1
"6d53cbc17f151bea6d1221b4f5c35ee8034efce9";1
"2a21fadd1e32d2551de866712599b85db9141576";1
"75d3cd6ccbe83c2ed68d1ccbd72d71d7c687ffb7";1
"a406729dce0f97f6d54fb3187b16c093b8ca2171";1
"d64ab7bf978907f8393fc6d3a5fafd4169a9b457";-1
"965ac3ec3452bb9059eb67cc764f31f3458e2000";-1
"3fbb2123f856eef482ed9ea2a4a8af7af640bd14";-1
"5fe851a0a8ac33e6af56e7365e5ad87d5f25a96f";-1
"6643269d0dd30779479a5053bc60f00c18e98583";-1
"46d820b8844ec203f06e5febd284c4a2b642b4f5";-1
"f053268cefdfc84b67e1f2492e889983c992b632";-1
"9665bbc8b025c9b8d0831b30cfa8c33ff5afc5a7";-1
"6e379737a1f3aca0961328ef5185c96c67f5cf45";-1
"d456694997d2d2b7f2dd4132e214f337392162bf";-1
"98ea75e1a893208e0ce91454b17a73e24f18bc89";-1
"fc5f25e03073be6912d647af414eea0b368556fc";-1
"0366cddf778c7f26e072398fb8bcddf379f7869b";-1
"5cb042825290495da18b3212d6cae1ee743b6ab0";-1
"011947d8773fe87639021f28151b7740a34017b0";0
"01e2182d23a954ee8fd4dbad636dec7af661f554";-1
"23d53c26e66ec137f527ad6a5de336e19e7c6998";-1
"7adbe14efded8845f5869f2b54821fc6ba4fb7a4";-1
"0738d1ddfc8e293656e153ea676cc40a9ab199b2";-1
"e8ad9693e0dcdc866b0bf24bf12ddde333543101";-1
"8cd427ede35f1e74c528c398eafd7969531c98c3";-1
"805e6ec308d8f04a4f7bc0adb9c408d228c3ae3f";-1
"f39dc86c57cd85a5533d410f951e4eed935812ff";-1
"3773234989ce37bc26c60afc734b0f826f39c31d";-1
"6acce034365a990670dbced831325b505e454abe";-1
"6fd805edca44d9023a32508c09a8574009d16d5f";-1
"68b29eab46ae040d5b38adf62bc98df819a0c4f1";-1
"8cf36b0aced1a830737d7c217cee430a8a526842";-1
"34192c2c9cb4329bf012fc6e10b8fcfaa78e02f9";1
"edb46d4c705627f752adf3dc8e4cf5c07e6f4903";-1
"3587214902b4bf2eeb9788d68ed6be3a9bfc8934";-1
"f4449e76187d5c2257dba4ab8144209e20f4da10";1
"512752a9f93eb69b0cd08650ea8826626ec74de7";-1
"64179c852e7a1492365ba7ea56ec3e9d087452bf";-1
"5061a4ae4ea2f344231b068e02f663cc275d7697";-1
"29c20c3aa886d49f4535291d9dd41360c6605b1c";-1
"e0898f65354dbe9e0e276f6051cdc86423940d12";-1
"3d398da84d9571341799f7c486a4bb0ef67d74b3";-1
"6f86426913bf4eaab877a70207a6f26b44f1afb9";-1
"562e6032d602fe390ea6e1490ff8d5a2b2eb5fad";-1
"5f204e93a86b833305c21d26a378f639ce079de1";-1
"4b785329665ce4f29d58356e8ffdcd992142b46d";-1
"059908738f6d7946453ce4957dec10dffd9bc96a";-1
