"Commit";"PureRefactoring"
"6fdb71e6b99c6b9fcad7d1853a64dfa6384a7609";-1
"df13dc10ea4d8b0228aad391fbca1fc9ebfd1996";-1
"921d04dc6f945af310c2f7174cee0c07b594d06c";-1
"c463959b9e316a9ca6b2a3f73767703f889033cf";-1
"e81b1258b97bf5307c12d2f38892dcef473d7543";-1
"a88950653eddf45d2645d21d1cfa3b533af97582";-1
"6762727721a8a40679cd98992a3d4c756815d4ed";-1
"cf925a7a384a2053e88fdefde40973ceb14e79d9";-1
"cf2fbf333800b026442cd92df2e0f5e7117af223";-1
"2d7b921dc27afc45e1c7f6e0fe3149aa4c1ef615";-1
"8a6d5fcedccb8e03412380b6089cd3cdb6b3990d";-1
"aada4c64b6e8fae20bf972aa40fec330d5686137";-1
"d5fd35dd3330bb87174b149ba2a9d54b36b7bb2b";-1
"ac21a44af0f0814269ff1be5ab3c29d193fe467f";-1
"82359e950e097c927166ba391497ec94ceefe8d3";1
"ec7f57e4c6bbce84be1ea56acde7823e945f49ed";1
"1e69090e305d22b4355266307b13f96f0397d754";1
"90a0457094241b2d09af9dcaa5796d2ddf9a6b0a";1
"9c844a9ad460f10ab5de52eee3123d1ace3a8dfa";1
"08a4129c688271032af20536e8e57427379a1358";1
"3dc4ca1035b637f55cd5215a9ff570461830f519";1
"238f08d7ae0ef54ed9962d58357607b3a597c056";1
"90913889c53c56817d6bcfd39703fdfa57b44c1d";1
"937775c16f14a534d342fa893b9fa5c9087478a2";1
"b7ab6e9a3fd983479dad2d90a8d687429d47be10";1
"6c9722ade4d0f78c5751801a185b9b6b25110544";1
"51157daf4256d60ea8a8a776b6d9c60faef852c7";1
"ad4ae5d97beef70761f224049c63d82f825aa522";1
"f9f33621d606b2a61a7fafbba1bf7a0f06827133";1
"6e5d70e15f7920f39718c82c395a29d42c38fe8a";1
"2dfe93c389142fcaa0acfa478f4a5bb0021079f7";1
"82972056106d97acb912e416848f8a07ec5fb089";1
"4213a2257429b6a0803ab1b52c39a6a35fbde889";1
"021a06d7db23a50043f30701c486c58310acef89";1
"e759aa7c278709bf5a00cef6e10a399850ea857d";1
"3f0b9dfe575d4087d4a0385511ef76b3cea28f61";1
"9b93ec2838e4ab4ba30af4870d00207d2d0ac76a";1
"5869d0048af1c0f406954e0e1a58c6d918dc747d";1
"4955d393878201814e0bb8f5a2976ce37f580609";1
"003bea90a4e67c15fca557c96fcd2665c23f90cc";1
"1aefec0aba374f826530db758e2c8438f1f152db";1
"de295c3a7da9dfde04a175af5b65904fb4d638be";1
"c5509fd4d1c203fd38ecdf35e0bfafe679a5bb0f";1
"b0d784c4f005365fcc637c94826c9ca7c735eef3";1
"0559ec1b3d8fa9138b072831be96e7e111be9368";1
"7ee1cf446e07af04aec988163d0efd9605d765cf";1
"faf0800eae2506bb62507a370b6310f616af1c12";1
"d4eb29ed92c9e8c52015eac515f0dc02ae64aac6";1
"3b332491b5158c57974d67a2041125a0d15a95e8";1
"f17c81e983d52a5342340385629e0612e74251ab";1
"9afd46882d9cf020470f6f00a9961a3abfa91e29";1
"fee01fc2f7793fb73c3f26cf17f71f2ba48b6201";1
