"Commit";"PureRefactoring"
"350ac63af06eaa2804978301d774927e4f85dbc8";1
"202daacf34a766ab0921e95d1c1ef80709affc6d";1
"227f1ac085cee36bca7361d777c7d527dfe46f33";1
"543cdae627bd98be78994d225ed48732324e2288";1
"315e8036a7e6b3020ac51604a04df166cd12229b";1
"9b567dd7c695368a6706e1982ea917477e22bcbc";1
"73140464cc8fcc32dc6e8f352b3f0fe887fb7b75";1
"4d56303dd0c809f0ae965a53ff45a5e71d1f9e84";1
"4e2bac5fdd89a8347084c0e25f7c1e2250efcce0";1
"38c3ee080915d2581d91b9fbdda246797543fd54";1
"67646e72ac6c2a686b105666f16dd3ee34c39ce9";1
"7c8a51b1469345a23a579a12e9db14674cd8475d";1
"e95fdaaf50d0b8156241fac57aad4d5827008103";0
"e547da8824ff6ae02e61eba716f4babeac57dfce";1
"43df55ed9f54ca63e2d427c79b26421a0c2de75b";1
"cd186f7455976b57e98099cdc15719b5f91ed350";1
"f9951e01533808f66cb9f82e4bac14281424b104";1
"2768b4d0d4f6d36f2f8864a1539200088e06fe3d";1
"882dac3bd62503c526dd6f29ced38eb25ab7e835";1
"3269bf08836bff749a4ef535f3fccf125b545dde";1
"8420cb6ca48f1399855fe6b20955991c3e8b9a46";1
"e747c70311c3fa8c601ae38d059da833bee2b539";0
"05c07101c30925c0f3171aa228de4fcb471b1a4a";1
"0a66daca8ad6b9cc8b202bbac8d83522a4de3626";0
"a374d46f72bb8ca1d40ecbf2385406a61a18ad32";0
"74402524f188391b908ab7e6db63b4e5ecdacf2b";1
"ac82d5aa48ad3686ddf6bd508f7ff0e30e95ba9e";1
"4e08502e09a4d50abf7d8dbfc5f94b616c7cde95";1
"988138794a8d646ea31e2641e8f0bca0fee46902";1
"f4b1c8c813851a617e78f01bbbefc6e0780b559c";0
"b04decb90407924be10ae1e71edb579a1f901f28";-1
"e437b976811a6e0e4a3c32fd2372f30a9acba32e";-1
"e2a1a8f7fc39af8b2d2b74f77c24d5794474bdd6";-1
"b79a977ec61e3f19eab0c92b9eadac170b91b981";-1
"93ddbd5118b6ce036feb80b8131a14081343e074";-1
"0b36b109a0da0105400cf94a44c156beb7c67683";-1
"b1490ab418721592e0b87916ae76eedadb849205";-1
"02ed67a47a05d7631ea44dbd1cb606f058d93639";-1
"d1c0c4b55b471febe401e1502207b0b6441b26e8";-1
"b6e93c70e813bf4897223aa5cc645a705cc27f65";0
"bca8598a0d3283502ccbc18ff963478dcc8c52e6";-1
"44370a6d797f369cb94f637b95573789c914b5a3";-1
"ed1908ec4ab756a112f1713a4df3f5204dee01b6";-1
"dfaef8385387c62773b6e76127fb0204f462fd1e";-1
"dd851941d2af70daf5cf14bbc6e4cdd378b0576c";1
"73083c2c27c09f72304da292116de61e4f62f933";0
"cc71653165bb92ee83240bd44e3fd4327922aa9d";1
"f2b97cbffac6350b657c268f9b6de8f0adf5f40a";1
"c397dff9c515b0186c0d70126556486fde915a59";1
"d59a77c01ed9c1ab05accd1b54cbf8cf8924bdd3";1
"008718841fec8db44dd0716fad56d53ffacd18ac";1
"cec41abe07def653e76766522060f2a7d5e69391";1
"4190eaf338088c2f703170614d1adbca94840142";0
"2ba6ce6f8e8e98f9431748aa311bd23c199d01ad";1
"50e92273bd490682c9a1a6c457ced0fc15e60263";1
"34950a09cf873e8631e022250c531d9c163aafa9";1
"c8540cfb9f3c727304167519c8958280aec66abd";0
"c950de240c834f15b6d8c9b35b918b99258081f2";0
"2161e769179513f1812b9d02cf492b5f6c1ddc42";-1
"0a410723abb83947f794376c4b2746914d13db89";-1
"37e70145ee2bfde9a655ba038306a821da6a4cb5";0
"8253e6d88d7ba3e427a4ed5887e715a49ca6b2e2";1
"4d4a11f1f1e397d4ae7f95e8ea1da73d46f407fe";0
"dff506af7b82ad47971160dfb71733d39dcd9e4b";0
"225c92cded23e2be8c28dfb389d0f39d01ce412e";1
"fb3d29cada3d4fc70eb678abb4bb844f41e7aaa5";1
"f6bb59c9b94507afc9fb37d10d87a5c53eab383b";1
"309c91293c6249af980c114561f700e7101547c1";1
"48ce572b467a97bd2cdc5e3a2d5289f3e33af2ec";0
"1c0236b384f4d9c1bc7d3cb5c0b35ae0cf2964a4";0
"b05141c308995686fed45296954de846456585b7";1
"49c96c4fce794f3ab71fcc2268854c4ad3f6b943";0
"10e9277584f16ad216a290f62d1a0237a7fe803f";0
"c8622dbf57df60bb221e13fbefe79444779a13b6";0
"ca684656a18feca6e24919dc707d4cd22c61a950";1
"22fcbdf812c448dda94dd43a747f1956554145d4";1
"c83f76a459a44c487511303ea326ac5f9b61af31";1
"bf46103c9518a4b8ca58611846a9d14826d7edc9";0
"d9bc6585b919641562dd40cc57ad2bd09ea54f5d";1
"ab3fe3662d157a4849c1ab9e083b0b3c96dc3648";1
"d7b7179fdb2a6dd5dc13a078a4daf49f0749d401";0
"4c5bca20aac760456d0e340be8a25ade0407e1c7";-1
"b64e42cbdb0ca2591a2b3628db49f9ab0a5f2eba";-1
"fa86c95638b2505d66027dd489b5f588994bda29";-1
"407435f35eabd75299c1c87330b8519264e6bc80";-1
"8a8a15da4e562864cc745da9243bf5d72494f806";0
"9da69bb721d37042b9df2452cffdad2275f226c6";0
"f9b9c8da1d341c449b3dfdf1b488785bf6f8db25";0
"bca52c072a94577fcc321b23c682a2a2d33dadc3";1
"5ea9fa7b284cfb46d110ffb1119a8bee5e687224";0
"7bd1091083e7440831d1eab75be76d1b41acf7a6";0
"bab8b5553c0553138b922da00a53b58eda28313d";0
"193e83777a1255eb363da1f21a7b9171dcc43b2e";0
"057a51b1a30970ab126e1cd294f2029f5f4f215b";0
"fd7d15730ad9a962a80b7e5c8676d6f6f7cf3d0a";0
"ab31bc87d8e9428e8243c09f28ae7afd3195ceee";0
"39ed46f02f3d6614c8181527ab5bdd67eb717d08";0
"9514cbfb79183e806b581af0e61ae5b1c75fd6ee";0
"89c83c123a68bbfaaa1bc1eefdb375a34294ed6c";-1
"233a0002b981e1829313a1d7558b509ed8256401";1
"ddb994d9fb9215b78c1f03c6faaeed68982c6982";0
"31c98d68432dc90a1b422bf1aea32a4581646210";0
