"Commit";"PureRefactoring"
"3023b26ee0d84a0617c34a0361b00c4d63dcf1e0";1
"744c029ea08c536b3c2fd7f86bcf4ad04b5d311b";0
"c5715acdd65c9be3cc4313579f027e2b55b37cd6";1
"b15ad227f315aa2bc327f39a0fc7778192811ebe";1
"5bc924c11dd339fb288c69128d7d2faba58e3d07";1
"005915b42e2486f5095893a4429db32fcc5341ec";1
"4a4b355a7f6a1a88deae429f66cc4995fa7dbe3e";1
"40e41d11d7847d660bba6691859b0506514bd0ac";1
"cebe1bab8d637c3b62c8414f7555ff8eea046abc";0
"1ab19f84c9946a898115d96e222b56f2ae1d8192";1
"5c56360bf85b6eb0894fbe552a814b22dee1640c";1
"ed901a85016dad266d9c90b2bf83dad74974efc0";0
"7c0c0b6f825d98793525595a7be5ed43f6b99e43";0
"4034024e30c5033878ae9905495fa8dce28a9732";0
"54f7bd72b90ff7608c97b8ba4708ca95bc4de573";0
"a48811455c057e7e0568f758ef8b831ac7b9f528";0
"d6aa291b8662849033a1d8ec0772babd6e3ef166";0
"1ecf5ebef807c0c3d0194a8630369b1f824a994b";0
"6100c657187dd654474fe2db2badab7876f919b7";0
"55d9ad8daf204d3b6fb8ed0761c3d5ef2f3d83d9";0
"0a7ed2e651b04756ff210eacb68671d5cd0c2f2b";1
"7c08bd02993694b115474f63ba0b3f91f0beeaab";0
"17b1fee1b6b44612588e711aa0279c511c9d8d3a";0
"12a3e778e99564b1c7031516a26786a9a96362db";-1
"e7a76287cb4e9019a2f977240b6d7aa16fea8fe9";1
"eb50dbc96ec8f82cfdddd1a17f4106b62cbc3c53";0
"32bed9afccc4701a8c97b650383ac432c9c476d1";1
"39ab0d61efad48fa65646a4aa829e70ed7e5b2f7";1
"687fbb72ed2f716332e4ff08229b8566e31d4f91";1
"95c5d8e535d0dc0c36438defd45f9917f124f713";1
"21385b605ed17f0de1b9e2c845b6128ceeae81ca";1
"89f44544bd9d68c94c5fc84dcef167cb33b25df5";-1
"989ed67285d81de444ebc40630c5ccb78125c7ed";1
"b3fa0642173516c5d7add7d929ab6351735ff46b";1
"9ce3ceb6f4f13ff016ee6c7e24ca6a38eb1c189f";1
"6aadcbe036b535732ef54f49cebc6498eb3f2d62";0
