"Commit";"PureRefactoring"
"d874657795e23a2b29785fe5bdcca027e2bd67d9";1
"622732f6183eb9145e1f7d1274d5e9174a4614b2";1
"010c2dfd8d09911dbfa0e5764577148bdb9b16da";1
"4384903a1f170a6be83e571afa6a203ad9a83218";1
"e5e1d7ffd84e09249972e34175e65cfd1036778d";1
"3dd7a332bc882708c53fe0683f19696a01954bf4";1
"76af2248d79b731448ecef559cae66a3a5e03bf3";1
"060cab86807b5fee6a76ca50a1ef42f5f7ab9c4a";1
"1bacf4d645803f6241aeb0a9365dc44d2c43f2cf";1
"6b4df2d097a77a78cf024516ec8f2172e516a850";1
"e6b715097ce247ffeed4d08048f6b1604e1e20f7";1
"d3bde01b285ba1591f0d6a436a63f3de54ddec33";1
"b11c7a889c0c27e691ab0b11425decaa6a6ee2dd";1
"67821418dcf4941f340f2b068cee1bfaff3ac3ff";1
"ce4f22375bd7b45fd400d77de5555fdaeb75bdbd";1
"a0aef506a73940174978289ab2cedfe30e2d6f26";1
"373d5b1c6c9d14b5c2ee590f2b3cefaac877549f";1
"6b2e0ca759f5511454f809f3add1f28aa66a318e";1
"fb9d0496845e9270ee03e380caa4317b809aee88";1
"f13c54868d90ca6cb5a090779009efd98a8ace7d";1
"237c3cd2f3b7be611cb4aba5ebe71b49e83162fa";1
"4476524618402e675e50ce285a7f6067ca7cc961";1
"e2238aae4d68d7bb022d648862b467686fe8b849";1
"b01f7cd09c1fa8519cef82b0f6742dd2397ba79a";1
"ccc61e325dc1ce3a0b677900a0916bfd4f6431ee";1
"9e47bcaf626a4c317248ef3a40e4d60b46d636db";1
"4f96bb201230e139acf422b9a0135ad0fd6d83f8";1
"7976644a1fbcf5196dff1c57bff6334bea8f1453";1
"0ccce2c0d6551b4c6ec58923dc8855754a268afa";1
"0eff7b9cc24cde02277d04e639af670019642c53";1
"a8790b4df2bfcf6956c4de6193f460b44f5f7040";1
"267077d3406b2871ce2257c0211d0804eccccd01";1
"a694c86103116768b7099845b88add908e6138d8";1
"eed57bb6a22d02c8330cbf79b2db36b7ce694b3c";0
"d96ca1ae6b9cfac793abbfe79fc9ae52d1d7a1a5";1
"8ec4235cbda58adb4e7539b7100300a304fadfc7";1
"4dde60290b9cc326b619909b7592c464c3cd1008";1
"7d50b61ae019fce4bc66c8db9e98e0f2016d55c4";-1
"afcf7fd6a12a0f13364107065785445aa7e56e69";1
"03a67d96a541cab131f2ab714dcf77b10a723fb7";1
"d6c5095b3145e2ee7cfd67067110bda25d663d5e";0
"c9e9a899c429d8c8fb88778bc2f91853a821f81b";0
"c8395c975d9f41a74322c2df98bd2bf43ce0ba08";0
"140c5a99b9ec9f1b3bc8c02a8dbcf0e322e663f3";1
"1c36a4dc71e7bc965362fcb7652104f6d846fa69";0
"25244eeda64c6dcdf59889a6584851a91039d8e3";0
"976b15cd8ecd46696393a03add09d7c4e1b879dd";0
"97c45f0e11174192bdebf583fcecd0aa95154026";1
"9b1870eda3ac9e70cb946ee09ca5f250a4b57c62";1
"786ab757cb7e0f04e7be70a3d76fe7c43bef0c8e";0
"a771907b570bca88e770337a866233f7d7b8d9be";0
"bb8efde9d8aeb33477c0682944ac9ccff4aa2435";0
"0f24a95b24d2abd4ea03ef77dc0e7082a15dbf80";0
"60b3c69ed4eff275a45b0908c2e31a107f37b80b";0
"c9ebdada81799f9791c3e9cb3af933a670332f3e";0
"898b9f9458362bafe0cc77fb5ab168f17b4065a2";1
"fd12a1b89d8a8b8603417a760363d0460f2790b2";1
"e7cbc662aa7854336384ecbc8e129ee81a629234";1
"2b2e09aa0587eb48227095d123a1e232ddc9a02a";0
"261c25873e71983afece65ffff439f6256250781";0
"9caa4dd11b6d51b67ff02567939dc6a8110d2472";0
"f74d52a938211f64b7afedfcdd5a070c9c1e1e39";0
"2d9186419d2c3b8d7b981ac559e886eebb4872c0";0
"7680221b8c651a336f824c102161afe79e2f5787";0
"eb40138a662754e1d968e9e3d24270d0926acdad";1
"934dbc95c605299999ad68bd63afa61d0c17f22f";1
"a16f010e83e1cd515b980ff9252f037640417973";0
"c72830f27eabe00bfddea82d2c520e12fc8b1ec5";0
"7a6449f2cb7a854759d25df7ff7b3f78c5596664";0
"faf62f72244b098e10c4a353ff84f743b0895eea";0
"770a190648939f8a6b3b111863443f498a243ff3";1
"e62015d8f6b3714a66db47ee08e47a94b0c3ca21";0
"64263bc476a3d5d6e03df66584f3869284445267";0
"09890c1da9abd8638120af9ffb34846b1e7f5c5a";1
"1f8b7668955909fd541ef66436afa69e637821ea";0
"90396fcd25486ab58315a12863e3e6a29e4fe6c6";1
"ff82270ff5bd71ace86af01ce77659018c600a71";1
"dd7950bc26e7dd90c92e7d1a301b876e5c7daa92";1
"b8c39f5e901774bbdd21bc109b507bf0c502b72d";1
"ba89405480b120e6c908288fe406f85a46245176";0
"70f5ccfd730e0d0110006b549674fb727ee7971d";0
"ca2d01e00a4a693e89b6aa849db2340a057e7028";1
"564d20cf1751666577722031bcfd0bbc4033c8de";0
"d5d54ac07eac19f775fc78a8e3290849abc00534";0
"7fae1591ca4010e32e48e0fc85c06b0e20f749ba";1
"708300751905fe101624755399047f2fccae16e6";0
"c12995a6593c2e4d8afad2c65a60c1f78d89024b";1
"1c1c139104ac4dc9a5dd5774296a5431aa5bf993";1
"8165c251326383696a103f1aa2fc26a5458bf42b";1
"8d66c2da50ed17aeb12fafd0f4daa4575e8057f6";0
"56bbfe3ff1fd9c5a4896e4f0626eb2165d993c4e";1
"6c7b8ed0a375dfa77e9df318685aaf6227d4c30f";1
"2d4c3eb8f8b4785f1cf2719f465008ffcf4049f6";1
"6d26d34fe03c86c03a7883f7ffffac7c212a7cf8";1
"1cf1405faf89a6d4139bfe4d0cfb56d46966b652";1
"d8e6bedd6c9454a2df70bfa07ba8d2d18a37725c";1
"57c5d3a6cb2325d72c6fbdb9234631c3a735a89e";0
"1e8b645d53b40e2d30e4944aa64109fe045c65c0";1
"599c66c4cadfff36f434d191b87de48efe80c0ce";1
"1a5b5b126e176ceb350a49350cfecc3d847228fd";1
"c0e7616c7d2e812f4fc0e98a23a190ec074f14fe";1
"4b6da2f63e73dcf71557fe08e882bdb6184d3814";1
"ea4afab011ec09431bdca51184d00953502a1927";0
"a14eb6c33769953804fc5a94c801e5a8c28ff7c2";1
"fb4853a7b16b5bc791dc542656ef0480ae8ba8a2";1
"1cd3689fbe5cd2b4ea47e1a2492824b3b093e110";1
