"Commit";"PureRefactoring"
"6c3b06a183f25d8edad1d11c01d97b32b1ddd228";-1
"2734f9107a16c9b6e0134a4aa43b3dd407916cd3";1
"773946b16ae9267bdaec4e60b3ddc8dbeb74e178";-1
"115c5c3fd5c284e233b12d70827d28a917801f55";-1
"40707308bd843b861b21e4daa9b5581b20496b0e";1
"03ae01fb53204ed9f4171bb536561226fc2b158d";0
"d801f7d661dc885402edeadd7d8f95ba891f8e1d";0
"8714fbe070ed429a75d2753b109a8c2a2204fbb6";0
"a821001599362d5f96da16d89d06d4617c2ff921";-1
"ad470f21d7fc7b80c3521e1d7a50b9e8ac006122";-1
"6eb4a4f56d4ab5813f741a3840a2543b49d0c612";-1
"ab48bd3108d38aedaac3efaeaca923cba3841f8a";-1
"042a03f1fbadf3f7da416d6b84344322f6bb9a6a";-1
"0e302926732d1e449e1f0d0c412c783c2b07cb73";-1
"14518b191121f24db6bc36fb81805d4839728d89";-1
"88f4a83a649751df8f8fa79a9a462c5435a1c2e2";-1
"d25768cdf21f876743b11c0736f89f1bb04c9510";-1
"d299e1b5f61097f0af2fb8d2ccb734cc54257c82";-1
"f05c58c43766e871fa8679b46d957774fc8a17ae";0
"2d8d890c9c58af92480f1eb10e45d03b44d39a96";0
"4708638c363982643dd213b0f70422b9499c9185";-1
"d33212d0e3cb4aee222ed0ed5d255e45d72d15ad";-1
"3513dc248a3a7661094680fcd7d4580e3c6fab12";-1
"a582421e726c02f8648f46b3f0de70113c6ed647";0
"350fed4830bcd0ea3067a2d27063d45f2d2cc6f9";-1
"41851b40b47771cfbf303b012c039ea669672952";1
"86dedd92e74e74f3795b737eef0f8a4ec8ab5282";1
"6456d093d5b8ac04825c8f88d638e6c96aad9c08";0
"2684091059dd57679ba417f76352005fd611ba37";-1
"6c14135e3b538a9a7808595536b900a79b68b27a";-1
"8783d27386f929788658e4d02f8ace09891c07fc";-1
"32036bed57a3a3c2a45191157b7513f17518e7ba";0
"d4601cbca661208a8ae993db4e78f65889d3c767";0
"95d2b049ed126019192d712f41324e325ed2c831";1
"e36bc3554320f73c51be48e8752c557e6ca02cbf";0
