"Commit";"PureRefactoring"
"10f8839f2983357a9b8378201bc0bad8708f8d6f";0
"8ea5a5d1c89bb623fc4c4a86b193b40dddb765ad";1
"af51a3f2b8f848c940bef9f7c8f840260bc2c7f6";-1
"cc29a54eaacdd8fdacc40bf051c3acbc2b08e2e6";1
"c3655e5ef41d46b1c91181e32ed5d5e68026361c";-1
"d5b930618c1db98f71ff8bb5f81feb1e0dd067c7";0
"3fd1015f209744fea86a2b8567e5feb7121269f5";1
"dd13ac99e25f148bf24332ee1b9da096e0f9f067";1
"3e2087752ea7db2771acbacdbc2e7521d10fee98";1
"042cfcb7cb15764cb24ff53ddbf6b5488d607d2b";0
"a42a20ba112d908409777e3eed177f36007e5028";1
"03ebf8f96c8487646806dc68c5b0cf7ae8f16a7f";1
"ac5365a098f467b04eacce35c458dd3a5a382367";0
"6a0537cf1b348046fb68bdf7721cba855ca29237";0
"a99682f240dc09efb339f427800edbddc4b74a9d";0
"ac79efe2af852cef8eb7679dd8f44e8d74813bf2";0
"5588748cde615959d944cc5b195e84b0225a2c33";1
"eb86e27fabfca4e0922802e53ced3a7ab8aeb767";1
"38238cfe694421cde5318fb8443d0469b63e278c";1
"387ed744b8bb49a49f9cd41adfd500c4592d2027";1
"a481259aa5c83d37e3e54c3e6d2fee1b99f27bb1";1
"707b419d97c20e0d86df8712ba05ed19edf628b3";1
"07131b883a346e036f0fb6087b8e1fa93affec84";1
"849da63bb9e9773e39d76a9a90fec605b2b2dc65";1
"3152a4662861f7018270113220d3148dc63492b2";1
"1b54139f3add10e0a827d46d16235402cd3e9abd";1
"e234d6ca7742bf5a508c6189b24b2e4fe47fd98d";1
"7ead223c93198f4cb0dd93c969631d25fd444eae";1
"0a2ea3893946132ff32cbb681c7218e890ee6915";1
"2805785d848d949648a97dcd090c510773750ba5";1
"626f5785f68b484dcf88db91505911d7043de2a7";1
"c9dacc40074cddb2aa5f16808e4ae261b07e8b2a";1
"fc6ac4bba293155a9908f4a2c3045e69acef8ce4";1
"7c668a06224f3f06ad8595acd0990a33eadc8c9f";1
"5e80baef84552d0fa5ef01218def55281905970e";1
"90ac96afc494709af1bf5cfadbaac7588f07261b";1
"3e1d5a6a60a08acbafa08e55c7df63868c6d2c68";1
"06c726b5d672b4a166815b91cc0e9939b843fe47";1
"09b2724c44567035c8806bfe4a79bdf355c816b8";1
"b4cc6f994149a5072a18ed94b65a7a99ec4fe76a";1
"b9d9f87043677aa1524f211e42dbdd704d740ef3";1
"ecd78802b21fa12ec7ca6ad6f127df2e6dbde558";1
"e7bc7904ed4c4e17d8bd28c551ab4dd39eaccef9";1
"2b8ec9520cf6ef7b952c7192fbf37c30e72c226e";1
"a5c26a13dca405b56138e6da4f4a0c36d8223346";1
"4c8f966713b38a76bbbc7f21713c472bdd273678";1
"044ebebbf2a5992a1e8aa8b9e799ed31696fd673";1
"84f5629143586cfe9ec325916fb5f07e3512c2bb";1
"2d85018431f4e5ecd318d42dabd184c5a8ef10b0";1
"b2a1f6b89d2e02b92d803b483df365c3dba90f1b";1
"901b4911069f3f6d4eb785eccf5e7833746a1321";1
"8ffedea17342ae5062362033f85b8b55eb1b17a4";1
"3e72d1fe7156125d7343c1b28304ebb09e440c7e";1
"a41d7dbff701980ae8647310a9dacd99cc14a79b";1
"6043b1f7c1663f59234c070f5e7c5456efa21c78";1
"f6facf08a868739db2291cc4b31c0f36262a05df";1
"41840e6619abac54b2ed082909b7b091fd957595";1
"ecbc0b751dd4b62ce87024459cf2eff1092c6db4";1
"98aa72d0465813c90c93af4dc960800d3731c7b3";1
"da3c5df4b906ab6893e62952f6e2891543e6de26";1
"a02d509573b53ad661fe574daa349fa45308babf";1
"5152c66e290ab1de09f00b8b53e5e8f467f8f567";1
"f24955846b6dfef25e835d57a81468749ccc2abc";1
"cd4a848a42dc78f51d4e57427f27e2e280e073bc";1
"0994aee746a2397f97a262cd6ff7cf2e6223254e";1
"b27acc8e3d7c0ce721de548ecfd7c4827c98a148";1
"01012972bfccb29a442a8d4f8bc4c4a06df8b244";1
"18d71a0e2f36a87c94b881698dbaaf8a5d819c83";1
"b0150c14fee40b284c35c9f7cc247b027ef7da53";1
"631f455e6b65040cedb9a99875098d14021a3f75";1
"4c80f29b2a6b93be05d152d45d757b220d5c4950";1
"c3ef66b23d69f543ca27b91f0eb14468358977da";1
"369e30640cc05d9a33a992bbab0fc77db6c7f012";1
"2da21fb4d8545e513de682795042d4303e73deb6";1
"3a5fdaa66ffaffbac7f203851e445239572ff82f";1
"952bbb708e3fa8b6a099499b0ddfcccaf148d3bc";1
"012d2e7fbb69ae5a70fe48b2653a96849330381e";1
"8cad23cdcec19aff04725659cc0af9239053af6b";1
"a6fbdf5cb45dbe744902729c3f5f7ad671248df9";1
"dac88df5e2689d64c070512d9ac21371985006ac";1
"803fc814e88ec99e4726e0fa100534271927742a";1
"51fc7ad6c0b905625655876e513a56a4e8796adb";1
"adf072ec906a91de6f09ab618a40beab6589e617";1
"f50aa24fff45fed39232bfd450bafe482a50c858";1
"96e7baad8406ff684b744f8881169541a31ddadf";1
"ffac9cb35d798d9f69c82dd94026cc8ec3dac18b";1
"2825b5b63ed36ebf940253150d5bead963f599ee";1
"7453033a32d1026e8acaf5493506b1eb3b097ec3";1
"91a03ecd90c5e8efa6246b241b99b9a28cff747e";1
"bac2e9becd4fcb121b9c318a7e11d02f1cc5ec49";1
"242c73897fef9f1d57982ce5ae14b317e71f0bb5";1
"d4e8e9ec7f23f46e6bf37324e4573c3f96d3de8b";1
"bdf473a8b8be4cebb85e3b3542a3ec02027630d7";1
"4254e485feceb684fc8eaf408f792672ee5ff709";1
"5a42e05dfb250376629ddf334fa7f9693120d0fa";1
"5d83a86d33237e6c385b9705367dd7ea1d7f879e";1
"933bf1525a068c5a829e70bf52ca65138304fdeb";1
"4071413b42843d45dfd24a93368f120c3208bb89";1
"df6c693b1a00d3184728720b3fe39308be94f987";1
"1caaee7ddd2d5cb32c05fe503cee86a350f09e88";0
"ccda1ee99e2c3d3a048947aba32a11d22236f75a";1
"234ecacfafefc2cbad7c4b6b5b7fa17d7cce2e4a";0
"9b5b7f5ac42b68259bebffc0af784f513148acc7";1
"204a59472552b5327bfeddb45152391527c3eff4";1
"da960060b02dfd39d175452b2c80a8dc403f4e7a";1
"07ae51add516aed88d193a8c986e17f0531fc82b";1
"0f4d3fe04d461c6f557447d84e6801b0361d5af2";1
"61eda2b8dc3ef58376f4f1b49500a33a70e70c34";1
"53f98a3e7044266e0f13a178df312fe5cb6eef6a";1
"7142307d0f2737fcaf6056b3970250d3d107c3c6";1
"642a605b0ab33d3d3dd12bd3901a2423acc0970e";1
"a2ba9c0681632996fd73d959c68f39f6f7a10ec1";0
"f92cd4a03ed1d14b85f9c8550d6cb0f4b84a9b94";1
"dffda7e41171904c7090849dfc783538603f3c60";1
"5cb8ab442c1234f199e90853a6ab11575cd6423a";1
"9d1fd5d610501d1bdb57d6d7bd2405b9870aceeb";-1
"1f1f0b7bc2e0c9acf193d6d5b281b1959287d360";1
"d45af58259be846bc46b7ffee281caf3456fbe86";1
"a913ca9d72776b9d4345e9c90859d9c6b0140f32";1
"1319607059694e22539c95bdbe517def297b389e";0
"c45ab70c5691862294098bc42b314a3685b1942d";1
"72c9afe2a771db0ce67cfbd359d1e218e87c7492";1
"1611bf1f8a62a964565c3b60db89c62c91d34bff";1
"f2006e604f8b11507790d445af883e665c37add9";1
"2b8d524b142063b40e022e2ee4b1a6cfe7708c42";1
"7d66a9066ce3bd2d8628c536d089a6d36879e3b4";1
"ca1a320dca86c43e6db370a6821c029c7b6077c5";-1
"1173c9590c95dbb7b171d1e1cd214ca4ba93e4c2";1
"e5e3ec18ea593f0a3c00be61fa8386a3154cbef4";1
"108641a23ddf4efad9c2a5ba7daea313f092e2eb";1
"c6bb27b95ac53f19dfad41fe34a669fd6db9fbcb";1
"8f0c91fdbbe38c4b874573a4c38680a16ab01b74";1
"1819d3dd19a599a833b2e8073ae52a7d517cba79";-1
"4a7dd138259ee0776323fa1110155d45b7cb5daf";1
"7eaf465f577e5fb38a964f0dff9bf89ff1f29384";1
"ccaebb29fbb2ebffd7d008b3edfa79d9db95085b";1
"bec6ee4d4dd1b805220965c67847180254d5a908";1
"11602d914fbff136d1c37bdd16b7c5c35ea9d34e";1
"951c8dd016ad761d6bf635458f13f8a5c9ab270e";1
"8280b417a93235baf6642ac4016b159c64ec75c6";1
"418bf5acce644200b8fbc1278269928559d875fe";1
"0e5e4014f765ad88c3e0d27ef4d89abcc227bff9";1
"564258db791f1308b12b861aab415b3f0a472282";1
"d00a1a7ae853dada9c4a5d165e38c63780020819";0
"2f797e2c1f09c1d16d48712315b2b6558443191d";1
"30c38ab4a354f362f60eded4b566b2ceed3accbd";1
"83d2a407c1b50252d97dd30ef53b5ed9f6e3aee9";1
"e258d827962f3d83fc23e4cb317fb286c7fb0978";1
"f67d21fe247ba96b68b47727bbe235ec01ef8534";1
"999428ebb9bf66b92e71123da3fdda1079616e4e";-1
"cbe9ae6c0f72bdc6bdbe79440b1699c26a04ff5d";1
"f8d9d514a3c0265c7e55a0504f1dd4e3ea55d7b2";-1
"03ae325c75b2d897d32aafa90f182093bc20d970";-1
"4b66fe815d9b3653595744246ae458b0e50580d3";1
"c3c190e646bb341f1b445989650e468852e829a2";1
"af0025d4d594e06d4b2061f80710f36ce7ee947d";1
"93b73e8c86ce3d8159e2ed9c617087ca3cf62cff";1
"8f8060937bc63f4e149bdb9bdf85f9c77bcde71b";1
"d6a397593dbf5cfed9b14d1641afd759eee2639f";1
"7646d0b1a35d6a6a9897c766d8d6736244515593";1
"64615845e85b5aa1d594cf7493b9fdb580cab2a0";1
"4320879f3a811db9b6e7aaef3623ba9f968e64f9";1
"f72d50dd87fa5344d0e99b82d132e7ad36c0c03c";-1
"8fd41252b9f2bdfd47d49a65fc278706c4c2b9ad";-1
"db4fba6533eb4dc6f7bba6572e5675f3bf959501";-1
"fe3f3dfb0f2daa84774f865ebc5b7ae1c599c558";-1
"bf18cddf5a3303b21faf6790fae1cba9f6fabb45";1
"bb9a016d5b161da8caab9c7be14b30024ff60eaf";1
"69f90ff8f3a5af0252898a8436c9602d59a5b961";-1
"4fcd54ec8cc7457434d0eb50de52274658625f3c";-1
"42b3c1eaaf9d733690cbd2bb2d122eeaad2b300e";-1
"f8dfdb715490e3b8a3bc44a412e8df95538cc041";-1
"31232a72601e678277d0022fd20dbc10534bb0c9";-1
"a4e138a8e706c378cb159988ba94d539d2bae9f2";-1
"7bdeededfef680a5eea73bbbd4bb857e5c17a1c1";-1
"2c6d8686488bd392e3466ad8838d88b1df5f6082";-1
"747647b5540aee20e795dfe422a967ce32fdcfbd";-1
"9a01cec004b8f482ad51ac5b48826b3ffc609725";-1
"16c5df230f79a4f018d060933d0630a04698f601";-1
"904d58d8e94814c5271ef74dac9e7a1bc925557a";-1
"0d59eaea3c15d1ecdf1f23ea8a75f4d755c300b6";-1
"4f8663f21ac0a3c2fa87280bdc5c914f6c6ee3f9";-1
"abca09e5b7a5f71cb0618deb9fe3598bee870699";-1
"5274e762b59811997147b3b42a11fb20418c1306";-1
"818a3055674655083b3d965eecf1fba7cc7efcd5";-1
"d854ce0f3a0d13e16e84a6cdc0d3c0215b40c251";-1
"901be4439e6d9643d25d99648c7c637a92fba625";-1
"a60d3f491e4c8d5d4d74db05278024f540af983f";-1
"1a2ea4db43f5e7d3075aa02621894c940f5a8a6a";-1
"4f138fde01a9c9dcd2c341dcfff80c567a7bf970";-1
"bb7a14c4ba91666c31f50db76c6752e9b5a4a715";-1
"36487763c040f4581a3c3e4596ecf8732e9d57df";1
"5e2cbe6a2fbccf1f1b918d49168347d8ced699c6";-1
"7fc81160668fd2165b49a0bb35c4ad5ab487e4d4";-1
"9c33b274f98d358e5be81417dddf5e65ec310678";-1
"950308956a3b135c718ff4842659e4087e1178a5";-1
"dbfa76a3be6a8d7e23931fdc8847b76bd2fa9123";-1
"9c67999d1ac2fb1ebf4aceb0903b8356d20621f4";-1
"ca0e53becee091adb0c3c957f1e856dc0109298a";-1
"4ed56f86c321ed8b25a4fda93b0c562021797213";-1
"f843275b7f733978d75564ed062ee4699f39488a";-1
"4e8450361a3979f3f5268bc7fe3adcfffa08040d";-1
"b728aff3d739dade1d296ab571cab9221ba4b583";-1
"b23b6adc038ababc7b454d589d08fd85e4906132";1
"e95b6d6a808270256fdbce24ed436c564249525e";-1
"897f4cc524c922ef4992a35381986b45d22d0d9e";-1
