"Commit";"PureRefactoring"
"8b253068479f038f7e8f45738df929c50ac9c426";1
"e7d3cc627a5a8fe470bca88a398c4bc2130e7dc7";-1
"06456931b097a18a4e172b88828d9f5d51197ec4";1
"dd00a55bab6aa4f42ea6e20d9cc1bbfee52f841a";1
"867b3b66ff920d8f57f5094d5504ff59a060e167";1
"b9f02919604a94e28f19d5ac30204912f0e133c1";1
"be818bf6cd467394e161bd409a9c42cfbd011f25";0
"5969997fae464d84616d60219d1d8d459bab2421";0
"2be5243af1bd9b52b58bf18c4f9a4a524ecdae14";1
"23cd6be01b78fac9d3343ea078eb22c1a9b65969";0
"69c325b079080aab82ff56ccd3773883f7df7c68";1
"015bc7af59ef4048dc4d645aa405373d43f9b2b7";1
"34b6d91e9ba17a6435c686aaad582416be0f36e4";-1
"4e33399a2ed34a49de72bd280b19bf27d75e03df";-1
"ad592e71277da74ed0a36b79fb5b6110e46c7e83";-1
"d950f8a668e5c1ebf5ccff97f9b8138ed716f010";1
"fb02a91a094f02e968ab4d228c0a3891b4cfd4a4";1
"298441ec87bba183c3d5d6bfeda252dcc42f0d3d";1
"12996f3e93ce0b06496ab01b5ab6447677581ffb";-1
"6fc8eee769c99a4bf9854eb9e1681fc437876fc8";1
"85e2164addf2a0b16d2c122dada894e4e2223e0b";1
"9313d27f3ef6e747f3f990f7861c3b031a79311c";0
"49a5f20c6755e2f939ed142d087d74e6cc082de4";-1
"bd3899a316d5d8dbd02ff32cfeb356b4271ccb39";1
"ad1dd6043a35d7a17879b70594386fb3b0f94c3b";-1
"5844e8a02beb8fb446958f48f2157fa0d72d302f";-1
"7c863afbb3728e63dffad4d78266ec4b076fd0c4";-1
"7fff35b7a98bf518bb69eb98db95ae92c32f84a9";-1
"378f2fad7eefb2ec6c8d9acd962e7dbeba95a3ba";-1
"a00deb3a249519af30852c1d5b7d3f61ad0e9a91";-1
"d6e17cd3821fd203c14545ea27565df415f5024e";0
"f2340770e3cd12c6afb04d77831571dca319d9ea";1
"198de2f6ac3b89128259e1abcf6349e65f374e5d";1
"4b3870cb31888f5b8c3699778be4f7510f31cfca";1
"4615ae86f09cf1689d384f537c71478f3a66cc79";1
"83d4db03f71901585bc30d44bc4d445daf08bf45";1
"17739b365e809d657be86c68b14ce4b17cb1f7fc";1
"f4f93660499d6792a38799f8bcb30000f666cb90";1
"e308acfe76249708a394674320f163b2d834627c";1
"3f606b941764a5dd7b2cde6a34c500fc7715bf0c";1
"3da723b153cdc396b2af934822491c09817ac318";1
"ddc69ca90971a5fc62127406df5137fe5d7d64f1";-1
"6947731e0ef43613ea87547d335a6033dfa4236a";1
"91f06cbc9637fe4dce66f80d9518827f83e9c707";-1
"42c7979930cef73764aca1d654e43906d99a86c6";-1
"b754620407ea264937b73032629a6a784bb29c6e";1
"75973778853ca2e4e2f1d123a9c820efd6e8f546";1
"844a20a34386a2564c525af38c8375fc5b670486";1
"fe05bf9ae95c714bc15d855b269c9eb88c3eb19c";1
"6fe8050feb1628e4216ca80c0d50695365fb68c7";0
"0771486a2e4830da77cb597d1a06303ccb72e8f7";1
"876c5dcfff9c845248c0a57bf24eee1fefa3d91f";1
"91734c903198bc5b5785f9713ce4e64da81c92d2";1
"5e66862c181cf63d02aadbca62db9eb1dfa647f7";1
"72c15b0df82d30c236fd999caec21c9021b68ece";1
"390215bd004e8ecbef342fdfa82f17e2ffc5757c";1
"6411834ad0b7dc1ea745d6629b033a6edf94cc20";0
"7a1862c2f88a419d29d0aa62fa15731bb59f8c76";1
"5542fe5c6dedd145d00e52437e18207229856381";-1
"6c6faaa01d578bad0395c908627bab645baf9919";0
"9134f704a29683eb12179ea1aa61305d0ab81020";1
"63268c28e60765a1460430a44539af2e9cd518b1";-1
"bffda4c93993a40150c1919fde57130d8e62d773";1
"b9214b2098f087becb85299b74366c2a49fffc1f";1
"102f9cd7711e5407f6bdc54422a1dfc2accd7aee";-1
"6b40e83b43618328e707996bdf422bd9a3530610";1
"a958d64a65a98045cc01dc2e1f3c54e0680bd732";1
"02ad0371e22a5350a96f1643a85a8f4d126f9f54";-1
"042935d78b16a2683eb2f0ed484e0d264b532ad3";1
"1d634651fea34c5c5243c273d1e8dcd3fb69e985";0
"53b8a3b9fb3832260aedeb93c8cd4a446b1ab772";1
"905e8112c867e2a008a8ed82c39fc1c27ccae738";1
"845a508ff12984f39c6501e92609442e4fb9d902";0
"9c18635bf0fff45c023799a6836c2c48e11398ed";0
"df385a86ab04cf35c2a89cd5c8b7abb09b17cc2e";-1
"d956df3d2b030f14949a639d11a30abbb5b4b9aa";1
"cbd7c55ab90b703baf5a33db09286886f1d19806";0
"c6ded9af2a9d4a637a6045b8d2e42ee8db36bbae";1
"31c577d6049c1a5bebff9a195e53a924b463723c";-1
"6de983962d5d57f807d0bca699dd8ea9eb9f5d5f";-1
"6f6b4207a19d41678217c03f91576b27e9c3a167";-1
"8d57e4d66bc36e3f90c4f3fc7804b7430c2ff782";0
"7e0ddb871e2c3d2e298c882c4651d5f8c9a953cb";1
"a48779965a7232fe2d79b8324b771a987e730c48";-1
"cd662e4db593632427265a806ab83d65ebd3bfb8";-1
"a1aae05580cee4a65448eb48778467ba96d74184";1
"ac02820a236c5a78147b39de9e7898b2860f547f";0
"228fa17553b2a7a86f35861019ec3b698c075698";1
"a665964ee9b8883b6329c2c0dcd4f253bd908c0a";1
"e162ee8731a4e647a33556b25313ca5ca132baf3";1
"2c9c014fc23062d1f0e150851e6ce2829bd83312";1
"fd74791865922b6d1e4a152a34f2162cf31b1d2e";1
"f6f014bde8265aead326bc1de45011eb8ac4276a";1
"8f8cd7befea215bbbc862adb2da8269234d12599";1
"74b576054a347e158cb23cf11ef4b478afb6a1c5";0
"9456e3b0038513affff74ba9120ed9b43dbb1b09";0
"e7bc500ce6abd39578d2b168a0d57c3ae1067651";0
"1c2c3f3dcb5da02f98c68e8af1e2f60278b499c6";1
"08c594d4541c6abf6d486356bd42b0a79b10f3f3";0
"257490db4d07833f3f616731e2c5fc4c438e9c30";1
"01cb59e2674bc4291934bc77230a73420347dd18";1
"99d42f70fed0034fedf79d553f1f1f52aad5c00d";0
"468596530779eab77e1eedd4bb81e90ea8e27d7e";0
"d9ef38be31f15533e2d2124202561173c4964c85";1
"24b756b86ce06c229eeb4902331551ec88516c7a";1
"706dd2573af9af2a6abebfd1aa8c6f17daa27969";1
"ffe37022e76fba3c951959df87e99e0584a960ee";1
"7f7a0f2e9abbc0b3dc25a28ad96c602c730c969e";1
"fb9df71a950b68e758446375003a455bad906798";1
"897c0b45798978248f2e10404ff823bafa3a1ba6";1
"032def47d66ba61c835e2fe07af0a5845d272aab";1
"1c879839c107447b9e7ec2f6c7dfac86a92c5295";1
"44f5282d0f16aca4532f1999255b43a852e17fd3";1
"abe07c5eed89dc1d95fd6e5c865461202cd1ab85";-1
"55bb73124ead423792b957640473ee11447c6b8a";1
"33238f2f062ad66620e3d814a5b8491cdf4bc83f";-1
"9dda539d625d52beb02495a58e791d51cad42ad4";0
"139c17e3298ae6b966132a73ad7c27e976417c8e";-1
"62e5e4f1f988d9ab190543fa9998a940267c84fd";1
"722154ea8fdbab32e1b4c3e303fa877e12c6428a";1
"c68ae8e3d7075d77e26d38b9a73b739d330e13de";-1
"fd878ac86e0455cd421384d50336845c90de13de";0
"bbc54b95d7d831d65d5fe9970b950ffb19e7a8f2";-1
"6438a8dbdb168886edda842812a30c6b8ed31c3f";1
"8255c718c3fea2f10723e26769902c5f27ff1a03";-1
"04b88a6caf743a575fd0ce39cc11158e67da5034";-1
"c18d104b88b2a3869428412a8e14b2a14e09bfaf";-1
"43d281dacf59e364fffd6034c5098c6c6e804f92";0
"16514911155397252e5a86710cc7e256dbdf2fca";-1
"544f3b9c2f007d64b04ef4d1f035d83b7c8fff5e";-1
"b8e1d9518575b179772560749ab687696dbbaf96";-1
"6406cb4bd56b345087f61a09c160a0e323dcee0d";0
"f1b1e873831d2544f01eca572a036641830c7ad4";1
"28d496d324b9bb1f8a2f6e9c2c85bdcfb1ec7504";-1
"13316f7f6dc3f8e573028bf1dea5ff5a6ab100b4";1
"6315d8975fd38a3c3add3f4e8e07def7605406a6";1
"c14e7d785efe0bf3539c65c68269db886de1d34f";0
"2c3cd50178841c6b31fce5d9f82c54d80a2b9ced";1
"983e5da2a899f1cc3e0fb0270caee423eee48b18";0
"61eaa1b136a46995b2820b733b2bf9ae99d9b7ef";1
"3af15745e75a88f29e90a6fb419c0777749ede02";-1
"aa7bc996ee1c88c85dfb0ca456094ccd90adb49c";-1
"9cd4f8cb88ce070c7b78f51552a5cce67ee29c09";-1
"378ba37750a9cb1b19a6db434dfa59308f721ea6";1
"aed371dac5e1248880e869930c636994c3d0f8dc";1
"a709570a88f97b9c258acbe34de7a80a1ecba47d";1
"5089fd51644dba5f5f0d6c9f15f78d79db393f58";0
"da724a562b6d1abeafdee98b54864eb0a10c097e";1
"50a928963eb1871888fa4da9da1bb5641016d13c";-1
"de87bce6f6cefa9f9d084a8b0935a7fef8d44086";-1
"eb22dbe7f59cf5fe770d147186c34043496af769";-1
"1c16c6efb6c1e3e6e639a0f57deaaac43ae96d7d";-1
"8f8aed7fb82d9e5662e7abec9fd3c878936904ea";-1
"afaf22511bef326af62970ae2c15cd14a66fa4f6";-1
"3100c37bf95baa9f28390555f12a8695d59dce5d";-1
"bb8af2f816b42ef792e528248b2248ef3a03ffa5";-1
"d254402ae621a080ae0eaf83c046f270f96ded38";-1
"6fdcde7255586918a65d228a04f9e0e2de5aa860";-1
"49335fd10fca801ad6a9a70669cddb1ea0514223";-1
"0861fc002a0a004142579a982ada4ce29cf93a69";-1
"15418e4bfc92c5d01398f5392614ae16e8b39e7e";-1
"2ee89d0f2f04565ecbfce270c510f6eb0720f298";-1
"233529dd957b4f99bfc1d83dd4f7f8095f261790";-1
"1ca691e63f5a807256c0e19337b33c53a474719d";-1
"1bd08f104eda4a570adea929efafd30e051b126a";-1
"b16c81959c6886ce98bf33b146c6ca1048c3825f";-1
"6e90b079eeaf29611bd459eec3ffc6b66f34d779";-1
"40f7c7237bbf44b8ccedd009ddbb4342cc5533ec";-1
"f6869ca309713bd5e9ea66bedcfeb74c550c7d8f";1
"fe3304937549f7592d5de2a842acb4e8c3f982c1";1
"dcaba55ecfb4fc26202c1c1e168776e3a1c7b4d6";0
"61c919c68421f10adaaf1841f4eacf216210f668";0
"0d29833700631380b4680aeaef9032328369d147";1
"647f4a884450e57e28d44a2066b799dadafdbdef";1
"3a6759f278fc55e70f0677e3624ab6890caa9ff6";1
"f1c8a319079da016a9ca15afcd6ff4fba14b85db";1
"7bed349c99bf630ccf60e24284f1f6d49845eaa8";1
"33fee0cd978d6534d000539611e7e5d464aa13c6";1
"db3f1d061e8c9d2f792d6f3aa3579160a98fc390";-1
"e593b8599a7417177cb338e9a85ced0593c85cb3";-1
"6b4c73598165405ab6c05ae37a9a74e5bbaea2ba";-1
"005c49a451edfa62396543eb380f68564ad36e9c";-1
