"Commit";"ChangeType";"ChangedEntity";"EntityType";"InsideRefactoring";"rootEntity"
"fbed6ab3c94f07111b7e98a220e916709a3d00cf";"STATEMENT_INSERT";NA;"TRY_STATEMENT";"true";"org.broadleafcommerce.core.search.domain.SearchFacetResultDTO.getValueKey()"
"fbed6ab3c94f07111b7e98a220e916709a3d00cf";"STATEMENT_INSERT";NA;"RETURN_STATEMENT";"true";"org.broadleafcommerce.core.search.domain.SearchFacetResultDTO.getValueKey()"
"fbed6ab3c94f07111b7e98a220e916709a3d00cf";"STATEMENT_INSERT";NA;"CATCH_CLAUSE";"true";"org.broadleafcommerce.core.search.domain.SearchFacetResultDTO.getValueKey()"
"fbed6ab3c94f07111b7e98a220e916709a3d00cf";"STATEMENT_PARENT_CHANGE";NA;"RETURN_STATEMENT";"true";"org.broadleafcommerce.core.search.domain.SearchFacetResultDTO.getValueKey()"
"66555f86e995afd3fa3fdd87fbe767a9ec6f5bc3";"ADDITIONAL_CLASS";NA;"CLASS";"false";NA
"66555f86e995afd3fa3fdd87fbe767a9ec6f5bc3";"ADDITIONAL_CLASS";NA;"CLASS";"false";NA
"66555f86e995afd3fa3fdd87fbe767a9ec6f5bc3";"ADDITIONAL_CLASS";NA;"CLASS";"false";NA
"66555f86e995afd3fa3fdd87fbe767a9ec6f5bc3";"ADDITIONAL_CLASS";NA;"CLASS";"false";NA
"66555f86e995afd3fa3fdd87fbe767a9ec6f5bc3";"ADDITIONAL_CLASS";NA;"CLASS";"false";NA
"0e24336c3b6015fe9edd8046b17b4cf3481bdcda";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"org.broadleafcommerce.common.config.service.SystemPropertiesServiceImpl"
"0e24336c3b6015fe9edd8046b17b4cf3481bdcda";"INCREASING_ACCESSIBILITY_CHANGE";NA;"MODIFIER";"false";"org.broadleafcommerce.common.config.service.SystemPropertiesServiceImpl.originatedFromEnvironment : ThreadLocal<Boolean>"
"0e24336c3b6015fe9edd8046b17b4cf3481bdcda";"ADDITIONAL_CLASS";NA;"CLASS";"false";NA
"3273f6c42f902bbf13d2e901fc8199725d52b0f6";"STATEMENT_INSERT";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"org.broadleafcommerce.core.order.service.OrderServiceImpl.getTotalChildOrderItems(OrderItemRequestDTO)"
"3273f6c42f902bbf13d2e901fc8199725d52b0f6";"STATEMENT_INSERT";NA;"ASSIGNMENT";"true";"org.broadleafcommerce.core.order.service.OrderServiceImpl.getTotalChildOrderItems(OrderItemRequestDTO)"
"3273f6c42f902bbf13d2e901fc8199725d52b0f6";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"true";"org.broadleafcommerce.core.order.service.OrderServiceImpl.addItemWithPriceOverrides(Long,OrderItemRequestDTO,boolean)"
"3273f6c42f902bbf13d2e901fc8199725d52b0f6";"STATEMENT_DELETE";NA;"METHOD_INVOCATION";"true";"org.broadleafcommerce.core.order.service.OrderServiceImpl.addItemWithPriceOverrides(Long,OrderItemRequestDTO,boolean)"
"3273f6c42f902bbf13d2e901fc8199725d52b0f6";"STATEMENT_DELETE";NA;"POSTFIX_EXPRESSION";"true";"org.broadleafcommerce.core.order.service.OrderServiceImpl.addItemWithPriceOverrides(Long,OrderItemRequestDTO,boolean)"
"3273f6c42f902bbf13d2e901fc8199725d52b0f6";"STATEMENT_DELETE";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"org.broadleafcommerce.core.order.service.OrderServiceImpl.addItemWithPriceOverrides(Long,OrderItemRequestDTO,boolean)"
