"Commit";"ChangeType";"ChangedEntity";"EntityType";"InsideRefactoring";"rootEntity"
"5dc13a614611002a150a472805f583d86b24fb12";"CONDITION_EXPRESSION_CHANGE";NA;"FOREACH_STATEMENT";"false";"org.lealone.orm.ModelSerializer.serialize(T,JsonGenerator,SerializerProvider)"
"5dc13a614611002a150a472805f583d86b24fb12";"PARAMETER_TYPE_CHANGE";NA;"PARAMETERIZED_TYPE";"false";"org.lealone.orm.ExpressionBuilder.eq(String,ModelProperty<?>)"
"657119079d057325aec826758185f91fb91da7a3";"STATEMENT_DELETE";NA;"IF_STATEMENT";"false";"org.lealone.orm.property.PObject.set(Object)"
"657119079d057325aec826758185f91fb91da7a3";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"org.lealone.orm.property.TQProperty"
"657119079d057325aec826758185f91fb91da7a3";"RETURN_TYPE_CHANGE";NA;"PARAMETERIZED_TYPE";"false";"org.lealone.orm.property.TQProperty.expr()"
"657119079d057325aec826758185f91fb91da7a3";"STATEMENT_PARENT_CHANGE";NA;"METHOD_INVOCATION";"false";"org.lealone.orm.property.PObject.set(Object)"
"657119079d057325aec826758185f91fb91da7a3";"DOC_UPDATE";NA;"JAVADOC";"false";"org.lealone.orm.property.TQProperty.expr()"
"657119079d057325aec826758185f91fb91da7a3";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"false";"org.lealone.db.result.SelectOrderBy.getSQL()"
"657119079d057325aec826758185f91fb91da7a3";"REMOVED_CLASS";NA;"CLASS";"false";NA
"b7772863af780ab0bcf705163f8e1757a9fe4a0e";"STATEMENT_DELETE";NA;"IF_STATEMENT";"false";"org.lealone.orm.DefaultExpressionList.DefaultExpressionList(Model<?>,ModelTable)"
"b7772863af780ab0bcf705163f8e1757a9fe4a0e";"REMOVED_OBJECT_STATE";NA;"FIELD";"false";"org.lealone.orm.DefaultExpressionList"
