"Commit";"ChangeType";"ChangedEntity";"EntityType";"InsideRefactoring";"rootEntity"
"bd2b1a56c298ad57759e73c66486e40b6bc308a1";"ADDITIONAL_OBJECT_STATE";NA;"FIELD";"false";"org.asynchttpclient.netty.handler.Processor"
"bd2b1a56c298ad57759e73c66486e40b6bc308a1";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"org.asynchttpclient.AsyncHttpClient"
"bd2b1a56c298ad57759e73c66486e40b6bc308a1";"STATEMENT_UPDATE";NA;"ASSIGNMENT";"false";"org.asynchttpclient.netty.handler.Processor.Processor(AsyncHttpClientConfig,AdvancedConfig,ChannelManager,NettyRequestSender,Protocol)"
"bd2b1a56c298ad57759e73c66486e40b6bc308a1";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"org.asynchttpclient.extras.registry.AsyncHttpClientFactory"
"bd2b1a56c298ad57759e73c66486e40b6bc308a1";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"org.asynchttpclient.AsyncHttpClient"
"bd2b1a56c298ad57759e73c66486e40b6bc308a1";"PARAMETER_INSERT";NA;"PARAMETER";"false";"org.asynchttpclient.netty.handler.WebSocketProtocol.WebSocketProtocol(ChannelManager,AsyncHttpClientConfig,AdvancedConfig,NettyRequestSender)"
"bd2b1a56c298ad57759e73c66486e40b6bc308a1";"DOC_UPDATE";NA;"JAVADOC";"false";"org.asynchttpclient.filter.RequestFilter.filter(FilterContext<T>)"
"bd2b1a56c298ad57759e73c66486e40b6bc308a1";"DOC_UPDATE";NA;"JAVADOC";"false";"org.asynchttpclient.filter.ResponseFilter.filter(FilterContext<T>)"
"bd2b1a56c298ad57759e73c66486e40b6bc308a1";"DOC_UPDATE";NA;"JAVADOC";"false";"org.asynchttpclient.filter.IOExceptionFilter.filter(FilterContext<T>)"
"bd2b1a56c298ad57759e73c66486e40b6bc308a1";"PARAMETER_DELETE";NA;"PARAMETER";"false";"org.asynchttpclient.netty.handler.Processor.Processor(AsyncHttpClientConfig,AdvancedConfig,ChannelManager,NettyRequestSender,Protocol)"
"bd2b1a56c298ad57759e73c66486e40b6bc308a1";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"org.asynchttpclient.AsyncHttpClient"
"bd2b1a56c298ad57759e73c66486e40b6bc308a1";"DOC_UPDATE";NA;"JAVADOC";"false";"org.asynchttpclient.ws.UpgradeHandler.onSuccess(T)"
"bd2b1a56c298ad57759e73c66486e40b6bc308a1";"STATEMENT_UPDATE";NA;"ASSIGNMENT";"false";"org.asynchttpclient.netty.handler.HttpProtocol.HttpProtocol(ChannelManager,AsyncHttpClientConfig,AdvancedConfig,NettyRequestSender)"
"bd2b1a56c298ad57759e73c66486e40b6bc308a1";"PARAMETER_INSERT";NA;"PARAMETER";"false";"org.asynchttpclient.netty.handler.Processor.Processor(AsyncHttpClientConfig,AdvancedConfig,ChannelManager,NettyRequestSender,Protocol)"
"bd2b1a56c298ad57759e73c66486e40b6bc308a1";"PARAMETER_INSERT";NA;"PARAMETER";"false";"org.asynchttpclient.netty.handler.HttpProtocol.HttpProtocol(ChannelManager,AsyncHttpClientConfig,AdvancedConfig,NettyRequestSender)"
