"Commit";"ChangeType";"ChangedEntity";"EntityType";"InsideRefactoring";"rootEntity"
"9e24fabf1232f129e5aac45802cce6dfd5e300ce";"STATEMENT_DELETE";NA;"METHOD_INVOCATION";"false";"clojure.lang.RT.init()"
"9e24fabf1232f129e5aac45802cce6dfd5e300ce";"STATEMENT_DELETE";NA;"METHOD_INVOCATION";"false";"clojure.lang.Script.main(String[])"
"9e24fabf1232f129e5aac45802cce6dfd5e300ce";"RETURN_TYPE_CHANGE";NA;"SINGLE_TYPE";"true";"clojure.lang.Util.hash(Object)"
"9e24fabf1232f129e5aac45802cce6dfd5e300ce";"STATEMENT_DELETE";NA;"METHOD_INVOCATION";"false";"clojure.lang.Repl.main(String[])"
"9e24fabf1232f129e5aac45802cce6dfd5e300ce";"RETURN_TYPE_CHANGE";NA;"SINGLE_TYPE";"true";"clojure.lang.Util.equal(Object,Object)"
"9e24fabf1232f129e5aac45802cce6dfd5e300ce";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"clojure.lang.RT"
"9e24fabf1232f129e5aac45802cce6dfd5e300ce";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"clojure.lang.RT.init()"
"9e24fabf1232f129e5aac45802cce6dfd5e300ce";"STATEMENT_DELETE";NA;"METHOD_INVOCATION";"false";"clojure.lang.RT.init()"
"9e24fabf1232f129e5aac45802cce6dfd5e300ce";"RETURN_TYPE_CHANGE";NA;"SINGLE_TYPE";"true";"clojure.lang.Util.hashCombine(int,int)"
"9e24fabf1232f129e5aac45802cce6dfd5e300ce";"STATEMENT_DELETE";NA;"METHOD_INVOCATION";"false";"clojure.lang.RT.init()"
"9e24fabf1232f129e5aac45802cce6dfd5e300ce";"COMMENT_DELETE";NA;"LINE_COMMENT";"false";"clojure.lang.Repl.main(String[])"
"9e24fabf1232f129e5aac45802cce6dfd5e300ce";"STATEMENT_DELETE";NA;"METHOD_INVOCATION";"false";"clojure.lang.RT.init()"
"9e24fabf1232f129e5aac45802cce6dfd5e300ce";"STATEMENT_DELETE";NA;"METHOD_INVOCATION";"false";"clojure.lang.RT.init()"
"9e24fabf1232f129e5aac45802cce6dfd5e300ce";"ADDITIONAL_CLASS";NA;"CLASS";"false";NA
"e9b69139a0b501c802707363275c19686399a428";"STATEMENT_INSERT";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"clojure.lang.Compiler.getAndIncLocalNum()"
"e9b69139a0b501c802707363275c19686399a428";"STATEMENT_INSERT";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"clojure.lang.Compiler.FnMethod.emitClearLocals(GeneratorAdapter)"
"e9b69139a0b501c802707363275c19686399a428";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"clojure.lang.Compiler.FnMethod.emitClearLocals(GeneratorAdapter)"
"e9b69139a0b501c802707363275c19686399a428";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"clojure.lang.Compiler.FnMethod.emitClearLocals(GeneratorAdapter)"
"e9b69139a0b501c802707363275c19686399a428";"STATEMENT_INSERT";NA;"POSTFIX_EXPRESSION";"false";"clojure.lang.Compiler.FnMethod.emitClearLocals(GeneratorAdapter)"
"e9b69139a0b501c802707363275c19686399a428";"ADDITIONAL_OBJECT_STATE";NA;"FIELD";"false";"clojure.lang.Compiler.FnMethod"
"e9b69139a0b501c802707363275c19686399a428";"STATEMENT_INSERT";NA;"IF_STATEMENT";"false";"clojure.lang.Compiler.getAndIncLocalNum()"
"e9b69139a0b501c802707363275c19686399a428";"STATEMENT_INSERT";NA;"ASSIGNMENT";"false";"clojure.lang.Compiler.getAndIncLocalNum()"
"e9b69139a0b501c802707363275c19686399a428";"STATEMENT_INSERT";NA;"FOR_STATEMENT";"false";"clojure.lang.Compiler.FnMethod.emitClearLocals(GeneratorAdapter)"
"19449a772787d94dee4bb31f9b5081e934e79d90";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"true";"clojure.lang.RT.loadResourceScript(String)"
"19449a772787d94dee4bb31f9b5081e934e79d90";"STATEMENT_UPDATE";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"clojure.lang.RT.loadResourceScript(String)"
"19449a772787d94dee4bb31f9b5081e934e79d90";"STATEMENT_INSERT";NA;"FINALLY";"true";"clojure.lang.RT.loadResourceScript(String)"
"19449a772787d94dee4bb31f9b5081e934e79d90";"STATEMENT_DELETE";NA;"ASSIGNMENT";"true";"clojure.lang.RT.init()"
"19449a772787d94dee4bb31f9b5081e934e79d90";"STATEMENT_DELETE";NA;"METHOD_INVOCATION";"true";"clojure.lang.RT.init()"
"19449a772787d94dee4bb31f9b5081e934e79d90";"STATEMENT_DELETE";NA;"METHOD_INVOCATION";"true";"clojure.lang.RT.init()"
"19449a772787d94dee4bb31f9b5081e934e79d90";"STATEMENT_DELETE";NA;"ASSIGNMENT";"true";"clojure.lang.RT.init()"
"19449a772787d94dee4bb31f9b5081e934e79d90";"STATEMENT_DELETE";NA;"METHOD_INVOCATION";"true";"clojure.lang.RT.init()"
"19449a772787d94dee4bb31f9b5081e934e79d90";"STATEMENT_DELETE";NA;"METHOD_INVOCATION";"true";"clojure.lang.RT.init()"
"19449a772787d94dee4bb31f9b5081e934e79d90";"STATEMENT_DELETE";NA;"ASSIGNMENT";"true";"clojure.lang.RT.init()"
