"Commit";"ChangeType";"ChangedEntity";"EntityType";"InsideRefactoring";"rootEntity"
"174d21fd4e26872c260e671db78f243a42443e24";"STATEMENT_DELETE";NA;"METHOD_INVOCATION";"false";"com.commafeed.frontend.rest.resources.AbstractREST.intercept(InvocationContext)"
"174d21fd4e26872c260e671db78f243a42443e24";"STATEMENT_INSERT";NA;"ASSIGNMENT";"false";"com.commafeed.backend.services.UserService.login(String,String)"
"174d21fd4e26872c260e671db78f243a42443e24";"STATEMENT_INSERT";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"com.commafeed.backend.services.UserService.login(String,String)"
"174d21fd4e26872c260e671db78f243a42443e24";"STATEMENT_INSERT";NA;"IF_STATEMENT";"false";"com.commafeed.backend.services.UserService.login(String,String)"
"174d21fd4e26872c260e671db78f243a42443e24";"STATEMENT_INSERT";NA;"IF_STATEMENT";"false";"com.commafeed.backend.services.UserService.login(String,String)"
"174d21fd4e26872c260e671db78f243a42443e24";"STATEMENT_PARENT_CHANGE";NA;"METHOD_INVOCATION";"false";"com.commafeed.backend.services.UserService.login(String,String)"
"174d21fd4e26872c260e671db78f243a42443e24";"STATEMENT_INSERT";NA;"ASSIGNMENT";"false";"com.commafeed.backend.services.UserService.login(String,String)"
"174d21fd4e26872c260e671db78f243a42443e24";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"com.commafeed.backend.services.UserService.login(String,String)"
"174d21fd4e26872c260e671db78f243a42443e24";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"com.commafeed.backend.services.UserService.login(String,String)"
"174d21fd4e26872c260e671db78f243a42443e24";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"com.commafeed.frontend.rest.resources.AbstractREST"
"c2ed6d47f1584faf876e416a9bf24400f205d5d7";"STATEMENT_UPDATE";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"com.commafeed.backend.services.FeedSubscriptionService.refreshAll(User)"
"c2ed6d47f1584faf876e416a9bf24400f205d5d7";"ADDITIONAL_OBJECT_STATE";NA;"FIELD";"false";"com.commafeed.backend.model.User"
"c2ed6d47f1584faf876e416a9bf24400f205d5d7";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"com.commafeed.frontend.rest.resources.AbstractREST.intercept(InvocationContext)"
"c2ed6d47f1584faf876e416a9bf24400f205d5d7";"ADDITIONAL_OBJECT_STATE";NA;"FIELD";"false";"com.commafeed.frontend.rest.resources.AbstractREST"
"c2ed6d47f1584faf876e416a9bf24400f205d5d7";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"com.commafeed.frontend.rest.resources.AbstractREST"
"97586cd2c8d0626bff0912a91bcdc70e1bc518c6";"STATEMENT_DELETE";NA;"RETURN_STATEMENT";"false";"com.commafeed.backend.dao.FeedDAO.findWithoutSubscriptions(int)"
"97586cd2c8d0626bff0912a91bcdc70e1bc518c6";"STATEMENT_DELETE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"com.commafeed.backend.dao.FeedDAO.findWithoutSubscriptions(int)"
"97586cd2c8d0626bff0912a91bcdc70e1bc518c6";"STATEMENT_DELETE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"com.commafeed.backend.dao.FeedDAO.findWithoutSubscriptions(int)"
"97586cd2c8d0626bff0912a91bcdc70e1bc518c6";"STATEMENT_DELETE";NA;"METHOD_INVOCATION";"false";"com.commafeed.backend.dao.FeedDAO.findWithoutSubscriptions(int)"
"97586cd2c8d0626bff0912a91bcdc70e1bc518c6";"RETURN_TYPE_INSERT";NA;"SINGLE_TYPE";"false";"com.commafeed.backend.dao.GenericDAO.delete(Collection<? extends AbstractModel>)"
"97586cd2c8d0626bff0912a91bcdc70e1bc518c6";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"com.commafeed.backend.services.DatabaseCleaningService"
"97586cd2c8d0626bff0912a91bcdc70e1bc518c6";"STATEMENT_UPDATE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"com.commafeed.backend.services.DatabaseCleaningService.cleanFeedsWithoutSubscriptions()"
"97586cd2c8d0626bff0912a91bcdc70e1bc518c6";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"com.commafeed.backend.ScheduledTasks.cleanFeedsAndContents()"
"97586cd2c8d0626bff0912a91bcdc70e1bc518c6";"STATEMENT_UPDATE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"com.commafeed.backend.services.DatabaseCleaningService.cleanContentsWithoutEntries()"
"97586cd2c8d0626bff0912a91bcdc70e1bc518c6";"STATEMENT_UPDATE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"com.commafeed.backend.services.DatabaseCleaningService.cleanEntriesOlderThan(long,TimeUnit)"
"97586cd2c8d0626bff0912a91bcdc70e1bc518c6";"STATEMENT_INSERT";NA;"RETURN_STATEMENT";"false";"com.commafeed.backend.dao.FeedDAO.findWithoutSubscriptions(int)"
"97586cd2c8d0626bff0912a91bcdc70e1bc518c6";"STATEMENT_INSERT";NA;"RETURN_STATEMENT";"false";"com.commafeed.backend.dao.GenericDAO.delete(Collection<? extends AbstractModel>)"
"97586cd2c8d0626bff0912a91bcdc70e1bc518c6";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"com.commafeed.backend.dao.FeedEntryDAO"
"2ba1614f1d8a22eff0ecc9aa719ea58132163dd1";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"com.commafeed.backend.feeds.FeedRefreshUpdater.Task.run()"
"2ba1614f1d8a22eff0ecc9aa719ea58132163dd1";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"com.commafeed.backend.feeds.FeedRefreshUpdater.Task"
"2ba1614f1d8a22eff0ecc9aa719ea58132163dd1";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"com.commafeed.backend.feeds.FeedRefreshUpdater.Task"
"63349d6e14f9bc1d52c3b434dbb99c3360ce012c";"STATEMENT_UPDATE";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"com.commafeed.backend.feeds.FeedRefreshTaskGiver.refill()"
"47b9f49831d2c6088c71e47d52673c384a89f969";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"com.commafeed.backend.feeds.FeedUtils"
"47b9f49831d2c6088c71e47d52673c384a89f969";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"com.commafeed.backend.feeds.FeedRefreshUpdater.Task"
"47b9f49831d2c6088c71e47d52673c384a89f969";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"com.commafeed.backend.feeds.FeedUtils"
"47b9f49831d2c6088c71e47d52673c384a89f969";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"com.commafeed.backend.services.FeedUpdateService"
"47b9f49831d2c6088c71e47d52673c384a89f969";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"com.commafeed.backend.services.FeedUpdateService"
"47b9f49831d2c6088c71e47d52673c384a89f969";"CONDITION_EXPRESSION_CHANGE";NA;"IF_STATEMENT";"false";"com.commafeed.backend.feeds.FeedRefreshUpdater.Task.run()"
"47b9f49831d2c6088c71e47d52673c384a89f969";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"com.commafeed.backend.dao.FeedEntryDAO"
"47b9f49831d2c6088c71e47d52673c384a89f969";"ADDITIONAL_OBJECT_STATE";NA;"FIELD";"false";"com.commafeed.backend.feeds.FeedRefreshUpdater"
"f04b24796c7650083b726b0fadef37f1af424eff";"CONDITION_EXPRESSION_CHANGE";NA;"IF_STATEMENT";"true";"com.commafeed.backend.feeds.FeedUtils.removeTrailingSlash(String)"
"f04b24796c7650083b726b0fadef37f1af424eff";"STATEMENT_UPDATE";NA;"ASSIGNMENT";"true";"com.commafeed.backend.feeds.FeedUtils.removeTrailingSlash(String)"
"f04b24796c7650083b726b0fadef37f1af424eff";"STATEMENT_UPDATE";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"com.commafeed.frontend.pages.PasswordRecoveryPage.buildEmailContent(User)"
"f04b24796c7650083b726b0fadef37f1af424eff";"CONDITION_EXPRESSION_CHANGE";NA;"IF_STATEMENT";"true";"com.commafeed.backend.feeds.FeedUtils.removeTrailingSlash(String)"
"f04b24796c7650083b726b0fadef37f1af424eff";"STATEMENT_UPDATE";NA;"ASSIGNMENT";"true";"com.commafeed.backend.feeds.FeedUtils.removeTrailingSlash(String)"
"f04b24796c7650083b726b0fadef37f1af424eff";"STATEMENT_UPDATE";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"com.commafeed.backend.pubsubhubbub.SubscriptionHandler.subscribe(Feed)"
"f04b24796c7650083b726b0fadef37f1af424eff";"CONDITION_EXPRESSION_CHANGE";NA;"IF_STATEMENT";"true";"com.commafeed.backend.feeds.FeedUtils.removeTrailingSlash(String)"
"f04b24796c7650083b726b0fadef37f1af424eff";"STATEMENT_UPDATE";NA;"ASSIGNMENT";"true";"com.commafeed.backend.feeds.FeedUtils.removeTrailingSlash(String)"
"f04b24796c7650083b726b0fadef37f1af424eff";"STATEMENT_UPDATE";NA;"RETURN_STATEMENT";"true";"com.commafeed.frontend.pages.GoogleImportCallbackPage.getCallbackUrl(String)"
"f04b24796c7650083b726b0fadef37f1af424eff";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"com.commafeed.backend.feeds.FeedUtils"
"f04b24796c7650083b726b0fadef37f1af424eff";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"false";"com.commafeed.backend.feeds.FeedParser.parse(String,byte[])"
"5b847d1ba9fc94f6bc759162e7b2892dd24fd86a";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"true";"com.commafeed.backend.dao.FeedDAO.getUpdatablePredicates(Root<Feed>)"
"5b847d1ba9fc94f6bc759162e7b2892dd24fd86a";"STATEMENT_INSERT";NA;"RETURN_STATEMENT";"true";"com.commafeed.backend.dao.FeedDAO.getUpdatablePredicates(Root<Feed>)"
"5b847d1ba9fc94f6bc759162e7b2892dd24fd86a";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"com.commafeed.backend.dao.FeedDAO"
"5b847d1ba9fc94f6bc759162e7b2892dd24fd86a";"STATEMENT_UPDATE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"com.commafeed.frontend.rest.resources.AdminREST.getMetrics()"
"c2b39928186307a87ab8d720f5dbec675dd1a866";"RETURN_TYPE_DELETE";NA;"SINGLE_TYPE";"true";"com.commafeed.backend.feeds.FeedRefreshWorker.handleEntry(Feed,FeedEntry)"
"c2b39928186307a87ab8d720f5dbec675dd1a866";"STATEMENT_DELETE";NA;"METHOD_INVOCATION";"false";"com.commafeed.backend.services.FeedUpdateService.updateEntry(Feed,FeedEntry,List<FeedSubscription>)"
"c2b39928186307a87ab8d720f5dbec675dd1a866";"STATEMENT_INSERT";NA;"FOREACH_STATEMENT";"false";"com.commafeed.backend.feeds.FeedRefreshWorker.update(Feed)"
"c2b39928186307a87ab8d720f5dbec675dd1a866";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"com.commafeed.backend.feeds.FeedRefreshWorker.update(Feed)"
"f9cfea4f799a28ffdbecc66ecc908e82578157ba";"STATEMENT_INSERT";NA;"IF_STATEMENT";"true";"com.commafeed.backend.feeds.FeedUtils.truncate(String,int)"
"f9cfea4f799a28ffdbecc66ecc908e82578157ba";"STATEMENT_INSERT";NA;"ASSIGNMENT";"true";"com.commafeed.backend.feeds.FeedUtils.truncate(String,int)"
"f9cfea4f799a28ffdbecc66ecc908e82578157ba";"STATEMENT_DELETE";NA;"METHOD_INVOCATION";"true";"com.commafeed.backend.services.FeedSubscriptionService.subscribe(User,String,String,FeedCategory)"
"f9cfea4f799a28ffdbecc66ecc908e82578157ba";"STATEMENT_DELETE";NA;"METHOD_INVOCATION";"true";"com.commafeed.backend.services.FeedUpdateService.handleEntry(Feed,FeedEntry)"
"f9cfea4f799a28ffdbecc66ecc908e82578157ba";"STATEMENT_DELETE";NA;"IF_STATEMENT";"true";"com.commafeed.backend.services.FeedUpdateService.handleEntry(Feed,FeedEntry)"
"f9cfea4f799a28ffdbecc66ecc908e82578157ba";"STATEMENT_DELETE";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"com.commafeed.backend.services.FeedUpdateService.handleEntry(Feed,FeedEntry)"
"f9cfea4f799a28ffdbecc66ecc908e82578157ba";"STATEMENT_DELETE";NA;"METHOD_INVOCATION";"true";"com.commafeed.backend.services.FeedUpdateService.handleEntry(Feed,FeedEntry)"
"f9cfea4f799a28ffdbecc66ecc908e82578157ba";"STATEMENT_DELETE";NA;"IF_STATEMENT";"true";"com.commafeed.backend.services.FeedUpdateService.handleEntry(Feed,FeedEntry)"
"f9cfea4f799a28ffdbecc66ecc908e82578157ba";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"true";"com.commafeed.backend.feeds.FeedFetcher.fetch(String,boolean,String,String)"
"5569fcca40eed56503f30c07a538392f0cfbbff0";"STATEMENT_INSERT";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"com.commafeed.frontend.rest.resources.FeedREST.fetchFeedInternal(String)"
"5569fcca40eed56503f30c07a538392f0cfbbff0";"STATEMENT_INSERT";NA;"TRY_STATEMENT";"true";"com.commafeed.frontend.rest.resources.FeedREST.fetchFeedInternal(String)"
"5569fcca40eed56503f30c07a538392f0cfbbff0";"STATEMENT_INSERT";NA;"RETURN_STATEMENT";"true";"com.commafeed.frontend.rest.resources.FeedREST.fetchFeed(String)"
"5569fcca40eed56503f30c07a538392f0cfbbff0";"STATEMENT_DELETE";NA;"CATCH_CLAUSE";"true";"com.commafeed.frontend.rest.resources.FeedREST.fetchFeed(String)"
"5569fcca40eed56503f30c07a538392f0cfbbff0";"STATEMENT_UPDATE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"com.commafeed.frontend.rest.resources.FeedREST.subscribe(SubscribeRequest)"
"5569fcca40eed56503f30c07a538392f0cfbbff0";"STATEMENT_UPDATE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"com.commafeed.frontend.rest.resources.FeedREST.subscribe(String)"
"5569fcca40eed56503f30c07a538392f0cfbbff0";"STATEMENT_UPDATE";NA;"ASSIGNMENT";"false";"com.commafeed.frontend.rest.resources.FeedREST.subscribe(String)"
"5569fcca40eed56503f30c07a538392f0cfbbff0";"STATEMENT_UPDATE";NA;"ASSIGNMENT";"false";"com.commafeed.frontend.rest.resources.FeedREST.subscribe(SubscribeRequest)"
"5569fcca40eed56503f30c07a538392f0cfbbff0";"STATEMENT_PARENT_CHANGE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"com.commafeed.frontend.rest.resources.FeedREST.subscribe(SubscribeRequest)"
"5569fcca40eed56503f30c07a538392f0cfbbff0";"STATEMENT_PARENT_CHANGE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"com.commafeed.frontend.rest.resources.FeedREST.subscribe(SubscribeRequest)"
"5569fcca40eed56503f30c07a538392f0cfbbff0";"STATEMENT_PARENT_CHANGE";NA;"ASSIGNMENT";"false";"com.commafeed.frontend.rest.resources.FeedREST.subscribe(SubscribeRequest)"
"badc8305355c9b8119691106ccd20a0b42f398a9";"STATEMENT_DELETE";NA;"BREAK_STATEMENT";"false";"com.commafeed.backend.feeds.FeedUtils.averageTimeBetweenEntries(List<FeedEntry>)"
"badc8305355c9b8119691106ccd20a0b42f398a9";"COMMENT_MOVE";NA;"LINE_COMMENT";"false";"com.commafeed.backend.feeds.FeedUtils.buildDisabledUntil(FetchedFeed)"
