"Commit";"ChangeType";"ChangedEntity";"EntityType";"InsideRefactoring";"rootEntity"
"c344f7cc7a962b451aa5d0dcea265ec2454a9318";"STATEMENT_UPDATE";NA;"RETURN_STATEMENT";"false";"com.alibaba.druid.sql.SQLUtils.toPGString(SQLObject)"
"c344f7cc7a962b451aa5d0dcea265ec2454a9318";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"false";"com.alibaba.druid.sql.SQLUtils.toSQLString(SQLObject,String,FormatOption)"
"c344f7cc7a962b451aa5d0dcea265ec2454a9318";"STATEMENT_UPDATE";NA;"RETURN_STATEMENT";"false";"com.alibaba.druid.sql.SQLUtils.format(String,String,FormatOption)"
"c344f7cc7a962b451aa5d0dcea265ec2454a9318";"STATEMENT_UPDATE";NA;"RETURN_STATEMENT";"false";"com.alibaba.druid.sql.SQLUtils.toOdpsString(SQLObject,FormatOption)"
"c344f7cc7a962b451aa5d0dcea265ec2454a9318";"STATEMENT_UPDATE";NA;"RETURN_STATEMENT";"false";"com.alibaba.druid.sql.SQLUtils.toOracleString(SQLObject)"
"c344f7cc7a962b451aa5d0dcea265ec2454a9318";"PARAMETER_DELETE";NA;"PARAMETER";"false";"com.alibaba.druid.sql.SQLUtils.toMySqlString(SQLObject,FormatOption)"
"c344f7cc7a962b451aa5d0dcea265ec2454a9318";"PARAMETER_DELETE";NA;"PARAMETER";"false";"com.alibaba.druid.sql.SQLUtils.toOracleString(SQLObject,FormatOption)"
"c344f7cc7a962b451aa5d0dcea265ec2454a9318";"PARAMETER_DELETE";NA;"PARAMETER";"false";"com.alibaba.druid.sql.SQLUtils.toSQLServerString(SQLObject,FormatOption)"
"c344f7cc7a962b451aa5d0dcea265ec2454a9318";"STATEMENT_UPDATE";NA;"RETURN_STATEMENT";"false";"com.alibaba.druid.sql.SQLUtils.toSQLString(List<SQLStatement>,String,List<Object>)"
"c344f7cc7a962b451aa5d0dcea265ec2454a9318";"STATEMENT_UPDATE";NA;"RETURN_STATEMENT";"false";"com.alibaba.druid.sql.SQLUtils.toSQLServerString(SQLObject,FormatOption)"
"c344f7cc7a962b451aa5d0dcea265ec2454a9318";"PARAMETER_DELETE";NA;"PARAMETER";"false";"com.alibaba.druid.sql.SQLUtils.format(String,String,List<Object>,FormatOption)"
"c344f7cc7a962b451aa5d0dcea265ec2454a9318";"STATEMENT_UPDATE";NA;"RETURN_STATEMENT";"false";"com.alibaba.druid.sql.SQLUtils.toSQLServerString(SQLObject)"
"c344f7cc7a962b451aa5d0dcea265ec2454a9318";"STATEMENT_UPDATE";NA;"RETURN_STATEMENT";"false";"com.alibaba.druid.sql.SQLUtils.format(String,String,List<Object>,FormatOption)"
"c344f7cc7a962b451aa5d0dcea265ec2454a9318";"STATEMENT_UPDATE";NA;"RETURN_STATEMENT";"false";"com.alibaba.druid.sql.SQLUtils.format(String,String,List<Object>)"
"c344f7cc7a962b451aa5d0dcea265ec2454a9318";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"com.alibaba.druid.sql.SQLUtils.FormatOption"
"c344f7cc7a962b451aa5d0dcea265ec2454a9318";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"com.alibaba.druid.sql.SQLUtils.FormatOption"
"c344f7cc7a962b451aa5d0dcea265ec2454a9318";"STATEMENT_UPDATE";NA;"RETURN_STATEMENT";"false";"com.alibaba.druid.sql.SQLUtils.refactor(String,String,Map<String, String>)"
"c344f7cc7a962b451aa5d0dcea265ec2454a9318";"PARAMETER_DELETE";NA;"PARAMETER";"false";"com.alibaba.druid.sql.SQLUtils.toDB2String(SQLObject,FormatOption)"
"c344f7cc7a962b451aa5d0dcea265ec2454a9318";"STATEMENT_UPDATE";NA;"RETURN_STATEMENT";"false";"com.alibaba.druid.sql.SQLUtils.toOracleString(SQLObject,FormatOption)"
"c344f7cc7a962b451aa5d0dcea265ec2454a9318";"STATEMENT_UPDATE";NA;"RETURN_STATEMENT";"false";"com.alibaba.druid.sql.SQLUtils.toMySqlString(SQLObject,FormatOption)"
"c344f7cc7a962b451aa5d0dcea265ec2454a9318";"STATEMENT_UPDATE";NA;"RETURN_STATEMENT";"false";"com.alibaba.druid.sql.SQLUtils.toSQLString(List<SQLStatement>,String,List<Object>,FormatOption)"
"c344f7cc7a962b451aa5d0dcea265ec2454a9318";"STATEMENT_UPDATE";NA;"RETURN_STATEMENT";"false";"com.alibaba.druid.sql.SQLUtils.toMySqlString(SQLObject)"
"c344f7cc7a962b451aa5d0dcea265ec2454a9318";"STATEMENT_UPDATE";NA;"RETURN_STATEMENT";"false";"com.alibaba.druid.sql.SQLUtils.format(String,String)"
"c344f7cc7a962b451aa5d0dcea265ec2454a9318";"STATEMENT_UPDATE";NA;"RETURN_STATEMENT";"false";"com.alibaba.druid.sql.SQLUtils.toDB2String(SQLObject)"
"c344f7cc7a962b451aa5d0dcea265ec2454a9318";"STATEMENT_UPDATE";NA;"RETURN_STATEMENT";"false";"com.alibaba.druid.sql.SQLUtils.toDB2String(SQLObject,FormatOption)"
"c344f7cc7a962b451aa5d0dcea265ec2454a9318";"STATEMENT_UPDATE";NA;"RETURN_STATEMENT";"false";"com.alibaba.druid.sql.SQLUtils.toPGString(SQLObject,FormatOption)"
"c344f7cc7a962b451aa5d0dcea265ec2454a9318";"STATEMENT_UPDATE";NA;"RETURN_STATEMENT";"false";"com.alibaba.druid.sql.SQLUtils.toOdpsString(SQLObject)"
"c344f7cc7a962b451aa5d0dcea265ec2454a9318";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"false";"com.alibaba.druid.sql.SQLUtils.toSQLString(List<SQLStatement>,String,List<Object>,FormatOption,Map<String, String>)"
