"Commit";"ChangeType";"ChangedEntity";"EntityType";"InsideRefactoring";"rootEntity"
"60543bfd1c0aa836463a7e9d4cb079a6ec4f984a";"DECREASING_ACCESSIBILITY_CHANGE";NA;"MODIFIER";"false";"org.graylog2.plugin.ResolvableInetSocketAddress.ResolvableInetSocketAddress(InetSocketAddress)"
"60543bfd1c0aa836463a7e9d4cb079a6ec4f984a";"DOC_DELETE";NA;"JAVADOC";"false";"org.graylog2.inputs.codecs.gelf.GELFMessage"
"60543bfd1c0aa836463a7e9d4cb079a6ec4f984a";"STATEMENT_DELETE";NA;"CONSTRUCTOR_INVOCATION";"false";"org.graylog2.inputs.codecs.gelf.GELFMessage.GELFMessage(byte[])"
"60543bfd1c0aa836463a7e9d4cb079a6ec4f984a";"REMOVED_OBJECT_STATE";NA;"FIELD";"false";"org.graylog2.inputs.codecs.gelf.GELFMessage"
"60543bfd1c0aa836463a7e9d4cb079a6ec4f984a";"STATEMENT_INSERT";NA;"CONSTRUCTOR_INVOCATION";"false";"org.graylog2.inputs.codecs.gelf.GELFMessage.GELFMessage(byte[])"
"60543bfd1c0aa836463a7e9d4cb079a6ec4f984a";"STATEMENT_UPDATE";NA;"ASSIGNMENT";"false";"org.graylog2.plugin.ResolvableInetSocketAddress.ResolvableInetSocketAddress(InetSocketAddress)"
"60543bfd1c0aa836463a7e9d4cb079a6ec4f984a";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"org.graylog2.plugin.ResolvableInetSocketAddress"
"60543bfd1c0aa836463a7e9d4cb079a6ec4f984a";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"org.graylog2.inputs.codecs.gelf.GELFMessage"
"60543bfd1c0aa836463a7e9d4cb079a6ec4f984a";"ADDITIONAL_OBJECT_STATE";NA;"FIELD";"false";"org.graylog2.inputs.codecs.gelf.GELFMessage"
"60543bfd1c0aa836463a7e9d4cb079a6ec4f984a";"STATEMENT_DELETE";NA;"ASSIGNMENT";"false";"org.graylog2.inputs.codecs.gelf.GELFMessage.GELFMessage(byte[])"
"60543bfd1c0aa836463a7e9d4cb079a6ec4f984a";"REMOVED_OBJECT_STATE";NA;"FIELD";"false";"org.graylog2.inputs.codecs.gelf.GELFMessage"
"60543bfd1c0aa836463a7e9d4cb079a6ec4f984a";"STATEMENT_UPDATE";NA;"RETURN_STATEMENT";"false";"org.graylog2.inputs.codecs.gelf.GELFMessage.getJSON()"
"60543bfd1c0aa836463a7e9d4cb079a6ec4f984a";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"org.graylog2.inputs.codecs.gelf.GELFMessage"
