"Commit";"ChangeType";"ChangedEntity";"EntityType";"InsideRefactoring";"rootEntity"
"697724cf002fa46ffcbad92b0aebc5f134404355";"STATEMENT_UPDATE";NA;"ASSIGNMENT";"false";"com.alibaba.dubbo.remoting.exchange.support.header.HeaderExchangeServer.stopHeartbeatTimer()"
"697724cf002fa46ffcbad92b0aebc5f134404355";"STATEMENT_UPDATE";NA;"ASSIGNMENT";"false";"com.alibaba.dubbo.remoting.exchange.support.header.HeaderExchangeServer.startHeartbeatTimer()"
"697724cf002fa46ffcbad92b0aebc5f134404355";"ATTRIBUTE_RENAMING";NA;"FIELD";"false";"com.alibaba.dubbo.remoting.exchange.support.header.HeaderExchangeServer.heartbeatTimer : ScheduledFuture<?>"
"697724cf002fa46ffcbad92b0aebc5f134404355";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"false";"com.alibaba.dubbo.remoting.exchange.support.header.HeaderExchangeServer.sendChannelReadOnlyEvent()"
"697724cf002fa46ffcbad92b0aebc5f134404355";"STATEMENT_UPDATE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"com.alibaba.dubbo.remoting.exchange.support.header.HeaderExchangeServer.stopHeartbeatTimer()"
"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"ADDITIONAL_CLASS";NA;"CLASS";"false";NA
"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"REMOVED_CLASS";NA;"CLASS";"false";NA
"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"REMOVED_CLASS";NA;"CLASS";"false";NA
"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"REMOVED_CLASS";NA;"CLASS";"false";NA
"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"REMOVED_CLASS";NA;"CLASS";"false";NA
"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"REMOVED_CLASS";NA;"CLASS";"false";NA
"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"REMOVED_CLASS";NA;"CLASS";"false";NA
"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"REMOVED_CLASS";NA;"CLASS";"false";NA
"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"REMOVED_CLASS";NA;"CLASS";"false";NA
"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"REMOVED_CLASS";NA;"CLASS";"false";NA
"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"REMOVED_CLASS";NA;"CLASS";"false";NA
"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"REMOVED_CLASS";NA;"CLASS";"false";NA
"4a5c5e200d2d41ab01f22b1c5ff7796a7241325f";"REMOVED_CLASS";NA;"CLASS";"false";NA
"d770d9245c3c3abb3cebf4eda3778ca4595f1542";"PARAMETER_INSERT";NA;"PARAMETER";"false";"com.alibaba.dubbo.cache.support.AbstractCacheFactory.getCache(URL,Invocation)"
"d770d9245c3c3abb3cebf4eda3778ca4595f1542";"PARAMETER_INSERT";NA;"PARAMETER";"false";"com.alibaba.dubbo.cache.CacheFactory.getCache(URL,Invocation)"
"d770d9245c3c3abb3cebf4eda3778ca4595f1542";"STATEMENT_UPDATE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"com.alibaba.dubbo.cache.filter.CacheFilter.invoke(Invoker<?>,Invocation)"
"d770d9245c3c3abb3cebf4eda3778ca4595f1542";"STATEMENT_INSERT";NA;"ASSIGNMENT";"false";"com.alibaba.dubbo.cache.support.AbstractCacheFactory.getCache(URL,Invocation)"
"c7197b0943a5d670a2e5e2d3e313eb63095ff5c7";"STATEMENT_UPDATE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"com.alibaba.dubbo.rpc.cluster.support.AbstractClusterInvoker.invoke(Invocation)"
"c7197b0943a5d670a2e5e2d3e313eb63095ff5c7";"STATEMENT_DELETE";NA;"ASSIGNMENT";"false";"com.alibaba.dubbo.rpc.cluster.support.AbstractClusterInvoker.invoke(Invocation)"
"c7197b0943a5d670a2e5e2d3e313eb63095ff5c7";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"false";"com.alibaba.dubbo.rpc.cluster.support.AbstractClusterInvoker.doSelect(LoadBalance,Invocation,List<Invoker<T>>,List<Invoker<T>>)"
"c7197b0943a5d670a2e5e2d3e313eb63095ff5c7";"DOC_UPDATE";NA;"JAVADOC";"false";"com.alibaba.dubbo.rpc.cluster.support.AbstractClusterInvoker.select(LoadBalance,Invocation,List<Invoker<T>>,List<Invoker<T>>)"
"c7197b0943a5d670a2e5e2d3e313eb63095ff5c7";"STATEMENT_INSERT";NA;"IF_STATEMENT";"false";"com.alibaba.dubbo.rpc.cluster.support.AbstractClusterInvoker.doSelect(LoadBalance,Invocation,List<Invoker<T>>,List<Invoker<T>>)"
"c7197b0943a5d670a2e5e2d3e313eb63095ff5c7";"ALTERNATIVE_PART_DELETE";NA;"ELSE_STATEMENT";"false";"com.alibaba.dubbo.rpc.cluster.support.AbstractClusterInvoker.invoke(Invocation)"
"c7197b0943a5d670a2e5e2d3e313eb63095ff5c7";"STATEMENT_INSERT";NA;"ASSIGNMENT";"false";"com.alibaba.dubbo.rpc.cluster.support.AbstractClusterInvoker.doSelect(LoadBalance,Invocation,List<Invoker<T>>,List<Invoker<T>>)"
