"Commit";"ChangeType";"ChangedEntity";"EntityType";"InsideRefactoring";"rootEntity"
"e95fdaaf50d0b8156241fac57aad4d5827008103";"STATEMENT_UPDATE";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"org.la4j.iterator.VectorIterator.dotProduct(VectorIterator)"
"e95fdaaf50d0b8156241fac57aad4d5827008103";"STATEMENT_PARENT_CHANGE";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"org.la4j.iterator.VectorIterator.dotProduct(VectorIterator)"
"e95fdaaf50d0b8156241fac57aad4d5827008103";"STATEMENT_PARENT_CHANGE";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"org.la4j.iterator.VectorIterator.dotProduct(VectorIterator)"
"e95fdaaf50d0b8156241fac57aad4d5827008103";"STATEMENT_DELETE";NA;"METHOD_INVOCATION";"true";"org.la4j.matrix.operation.ooplace.OoPlaceMatrixByVectorMultiplication.apply(RowMajorSparseMatrix,SparseVector)"
"e95fdaaf50d0b8156241fac57aad4d5827008103";"STATEMENT_DELETE";NA;"WHILE_STATEMENT";"true";"org.la4j.matrix.operation.ooplace.OoPlaceMatrixByVectorMultiplication.apply(RowMajorSparseMatrix,SparseVector)"
"e95fdaaf50d0b8156241fac57aad4d5827008103";"STATEMENT_PARENT_CHANGE";NA;"WHILE_STATEMENT";"true";"org.la4j.matrix.operation.ooplace.OoPlaceMatrixByVectorMultiplication.apply(RowMajorSparseMatrix,SparseVector)"
"e95fdaaf50d0b8156241fac57aad4d5827008103";"STATEMENT_PARENT_CHANGE";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"org.la4j.matrix.operation.ooplace.OoPlaceMatrixByVectorMultiplication.apply(RowMajorSparseMatrix,SparseVector)"
"e95fdaaf50d0b8156241fac57aad4d5827008103";"STATEMENT_PARENT_CHANGE";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"org.la4j.matrix.operation.ooplace.OoPlaceMatrixByVectorMultiplication.apply(RowMajorSparseMatrix,SparseVector)"
"e95fdaaf50d0b8156241fac57aad4d5827008103";"STATEMENT_PARENT_CHANGE";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"org.la4j.matrix.operation.ooplace.OoPlaceMatrixByVectorMultiplication.apply(RowMajorSparseMatrix,SparseVector)"
"e95fdaaf50d0b8156241fac57aad4d5827008103";"STATEMENT_UPDATE";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"org.la4j.iterator.VectorIterator.dotProduct(VectorIterator)"
"e95fdaaf50d0b8156241fac57aad4d5827008103";"STATEMENT_PARENT_CHANGE";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"org.la4j.iterator.VectorIterator.dotProduct(VectorIterator)"
"e95fdaaf50d0b8156241fac57aad4d5827008103";"STATEMENT_PARENT_CHANGE";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"org.la4j.iterator.VectorIterator.dotProduct(VectorIterator)"
