"Commit";"ChangeType";"ChangedEntity";"EntityType";"InsideRefactoring";"rootEntity"
"744c029ea08c536b3c2fd7f86bcf4ad04b5d311b";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"net.engio.mbassy.bus.IMessagePublication"
"744c029ea08c536b3c2fd7f86bcf4ad04b5d311b";"STATEMENT_DELETE";NA;"RETURN_STATEMENT";"false";"net.engio.mbassy.bus.error.PublicationError.getPublishedMessage()"
"744c029ea08c536b3c2fd7f86bcf4ad04b5d311b";"PARAMETER_INSERT";NA;"PARAMETER";"false";"net.engio.mbassy.bus.error.PublicationError.PublicationError(Throwable,String,Method,Object,IMessagePublication)"
"744c029ea08c536b3c2fd7f86bcf4ad04b5d311b";"PARAMETER_DELETE";NA;"PARAMETER";"false";"net.engio.mbassy.bus.error.PublicationError.PublicationError(Throwable,String)"
"744c029ea08c536b3c2fd7f86bcf4ad04b5d311b";"STATEMENT_DELETE";NA;"ASSIGNMENT";"false";"net.engio.mbassy.bus.error.PublicationError.PublicationError(Throwable,String,SubscriptionContext)"
"744c029ea08c536b3c2fd7f86bcf4ad04b5d311b";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"net.engio.mbassy.dispatch.AsynchronousHandlerInvocation"
"744c029ea08c536b3c2fd7f86bcf4ad04b5d311b";"DOC_UPDATE";NA;"JAVADOC";"false";"net.engio.mbassy.bus.error.PublicationError.PublicationError(Throwable,String,Method,Object,IMessagePublication)"
"744c029ea08c536b3c2fd7f86bcf4ad04b5d311b";"STATEMENT_UPDATE";NA;"RETURN_STATEMENT";"false";"net.engio.mbassy.bus.error.PublicationError.toString()"
"744c029ea08c536b3c2fd7f86bcf4ad04b5d311b";"STATEMENT_INSERT";NA;"RETURN_STATEMENT";"false";"net.engio.mbassy.bus.SyncMessageBus.publish(T)"
"744c029ea08c536b3c2fd7f86bcf4ad04b5d311b";"PARAMETER_DELETE";NA;"PARAMETER";"false";"net.engio.mbassy.bus.error.PublicationError.PublicationError(Throwable,String,IMessagePublication)"
"744c029ea08c536b3c2fd7f86bcf4ad04b5d311b";"PARAMETER_INSERT";NA;"PARAMETER";"false";"net.engio.mbassy.bus.error.PublicationError.PublicationError(Throwable,String,SubscriptionContext)"
"744c029ea08c536b3c2fd7f86bcf4ad04b5d311b";"STATEMENT_DELETE";NA;"ASSIGNMENT";"false";"net.engio.mbassy.bus.error.PublicationError.PublicationError(Throwable,String,IMessagePublication)"
"744c029ea08c536b3c2fd7f86bcf4ad04b5d311b";"STATEMENT_DELETE";NA;"ASSIGNMENT";"false";"net.engio.mbassy.bus.error.PublicationError.PublicationError(Throwable,String,Method,Object,IMessagePublication)"
"744c029ea08c536b3c2fd7f86bcf4ad04b5d311b";"PARAMETER_INSERT";NA;"PARAMETER";"false";"net.engio.mbassy.bus.error.PublicationError.PublicationError(Throwable,String,IMessagePublication)"
"744c029ea08c536b3c2fd7f86bcf4ad04b5d311b";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"net.engio.mbassy.dispatch.ReflectiveHandlerInvocation"
"744c029ea08c536b3c2fd7f86bcf4ad04b5d311b";"PARAMETER_TYPE_CHANGE";NA;"SINGLE_TYPE";"false";"net.engio.mbassy.bus.AbstractSyncAsyncMessageBus.addAsynchronousPublication(MessagePublication,long,TimeUnit)"
"744c029ea08c536b3c2fd7f86bcf4ad04b5d311b";"RETURN_TYPE_CHANGE";NA;"SINGLE_TYPE";"false";"net.engio.mbassy.bus.AbstractPubSubSupport.createMessagePublication(T)"
"744c029ea08c536b3c2fd7f86bcf4ad04b5d311b";"STATEMENT_INSERT";NA;"ASSIGNMENT";"false";"net.engio.mbassy.bus.error.PublicationError.PublicationError(Throwable,String,SubscriptionContext)"
"744c029ea08c536b3c2fd7f86bcf4ad04b5d311b";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"net.engio.mbassy.dispatch.HandlerInvocation.handlePublicationError(MessagePublication,PublicationError)"
"744c029ea08c536b3c2fd7f86bcf4ad04b5d311b";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"net.engio.mbassy.dispatch.SynchronizedHandlerInvocation"
"744c029ea08c536b3c2fd7f86bcf4ad04b5d311b";"PARAMETER_TYPE_CHANGE";NA;"SINGLE_TYPE";"false";"net.engio.mbassy.bus.AbstractSyncAsyncMessageBus.addAsynchronousPublication(MessagePublication)"
"744c029ea08c536b3c2fd7f86bcf4ad04b5d311b";"STATEMENT_INSERT";NA;"ASSIGNMENT";"false";"net.engio.mbassy.bus.error.PublicationError.PublicationError(Throwable,String,IMessagePublication)"
"744c029ea08c536b3c2fd7f86bcf4ad04b5d311b";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"net.engio.mbassy.dispatch.ReflectiveHandlerInvocation"
"744c029ea08c536b3c2fd7f86bcf4ad04b5d311b";"ATTRIBUTE_TYPE_CHANGE";NA;"SINGLE_TYPE";"false";"net.engio.mbassy.bus.error.PublicationError.message : Object"
"744c029ea08c536b3c2fd7f86bcf4ad04b5d311b";"STATEMENT_UPDATE";NA;"ASSIGNMENT";"false";"net.engio.mbassy.bus.error.PublicationError.setPublishedMessage(Object)"
"744c029ea08c536b3c2fd7f86bcf4ad04b5d311b";"PARAMETER_INSERT";NA;"PARAMETER";"false";"net.engio.mbassy.dispatch.HandlerInvocation.handlePublicationError(MessagePublication,PublicationError)"
"744c029ea08c536b3c2fd7f86bcf4ad04b5d311b";"STATEMENT_PARENT_CHANGE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"net.engio.mbassy.bus.MBassador.publish(T)"
"744c029ea08c536b3c2fd7f86bcf4ad04b5d311b";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"net.engio.mbassy.bus.IMessagePublication"
"744c029ea08c536b3c2fd7f86bcf4ad04b5d311b";"PARAMETER_DELETE";NA;"PARAMETER";"false";"net.engio.mbassy.bus.error.PublicationError.PublicationError(Throwable,String,Method,Object,IMessagePublication)"
"744c029ea08c536b3c2fd7f86bcf4ad04b5d311b";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"net.engio.mbassy.bus.IMessagePublication"
"744c029ea08c536b3c2fd7f86bcf4ad04b5d311b";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"net.engio.mbassy.dispatch.SynchronizedHandlerInvocation"
"744c029ea08c536b3c2fd7f86bcf4ad04b5d311b";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"net.engio.mbassy.bus.MessagePublication"
"744c029ea08c536b3c2fd7f86bcf4ad04b5d311b";"STATEMENT_INSERT";NA;"RETURN_STATEMENT";"false";"net.engio.mbassy.bus.error.PublicationError.getMessage()"
"744c029ea08c536b3c2fd7f86bcf4ad04b5d311b";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"net.engio.mbassy.bus.error.MessageBusException"
"744c029ea08c536b3c2fd7f86bcf4ad04b5d311b";"STATEMENT_DELETE";NA;"METHOD_INVOCATION";"false";"net.engio.mbassy.bus.publication.SyncAsyncPostCommand.now()"
"744c029ea08c536b3c2fd7f86bcf4ad04b5d311b";"RETURN_TYPE_CHANGE";NA;"SINGLE_TYPE";"false";"net.engio.mbassy.bus.MessagePublication.Factory.createPublication(BusRuntime,Collection<Subscription>,Object)"
"744c029ea08c536b3c2fd7f86bcf4ad04b5d311b";"CONDITION_EXPRESSION_CHANGE";NA;"IF_STATEMENT";"false";"net.engio.mbassy.bus.MessagePublication.execute()"
"744c029ea08c536b3c2fd7f86bcf4ad04b5d311b";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"net.engio.mbassy.dispatch.ReflectiveHandlerInvocation"
"744c029ea08c536b3c2fd7f86bcf4ad04b5d311b";"REMOVED_OBJECT_STATE";NA;"FIELD";"false";"net.engio.mbassy.bus.error.PublicationError"
