"Commit";"ChangeType";"ChangedEntity";"EntityType";"InsideRefactoring";"rootEntity"
"eed57bb6a22d02c8330cbf79b2db36b7ce694b3c";"STATEMENT_INSERT";NA;"ASSIGNMENT";"false";"com.codahale.metrics.logback.InstrumentedAppender.InstrumentedAppender(MetricRegistry)"
"eed57bb6a22d02c8330cbf79b2db36b7ce694b3c";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"com.codahale.metrics.logback.InstrumentedAppender.InstrumentedAppender(MetricRegistry)"
"eed57bb6a22d02c8330cbf79b2db36b7ce694b3c";"DOC_INSERT";NA;"JAVADOC";"false";"com.codahale.metrics.logback.InstrumentedAppender.InstrumentedAppender(MetricRegistry)"
"eed57bb6a22d02c8330cbf79b2db36b7ce694b3c";"ADDING_ATTRIBUTE_MODIFIABILITY";NA;"MODIFIER";"false";"com.codahale.metrics.logback.InstrumentedAppender.warn : Meter"
"eed57bb6a22d02c8330cbf79b2db36b7ce694b3c";"ADDING_ATTRIBUTE_MODIFIABILITY";NA;"MODIFIER";"false";"com.codahale.metrics.logback.InstrumentedAppender.all : Meter"
"eed57bb6a22d02c8330cbf79b2db36b7ce694b3c";"ADDING_ATTRIBUTE_MODIFIABILITY";NA;"MODIFIER";"false";"com.codahale.metrics.logback.InstrumentedAppender.info : Meter"
"eed57bb6a22d02c8330cbf79b2db36b7ce694b3c";"ADDING_ATTRIBUTE_MODIFIABILITY";NA;"MODIFIER";"false";"com.codahale.metrics.logback.InstrumentedAppender.error : Meter"
"eed57bb6a22d02c8330cbf79b2db36b7ce694b3c";"STATEMENT_DELETE";NA;"ASSIGNMENT";"false";"com.codahale.metrics.logback.InstrumentedAppender.InstrumentedAppender(String)"
"eed57bb6a22d02c8330cbf79b2db36b7ce694b3c";"ADDITIONAL_OBJECT_STATE";NA;"FIELD";"false";"com.codahale.metrics.logback.InstrumentedAppender"
"eed57bb6a22d02c8330cbf79b2db36b7ce694b3c";"STATEMENT_DELETE";NA;"ASSIGNMENT";"false";"com.codahale.metrics.logback.InstrumentedAppender.InstrumentedAppender(String)"
"eed57bb6a22d02c8330cbf79b2db36b7ce694b3c";"PARAMETER_DELETE";NA;"PARAMETER";"false";"com.codahale.metrics.logback.InstrumentedAppender.InstrumentedAppender(String)"
"eed57bb6a22d02c8330cbf79b2db36b7ce694b3c";"STATEMENT_INSERT";NA;"CONSTRUCTOR_INVOCATION";"false";"com.codahale.metrics.logback.InstrumentedAppender.InstrumentedAppender(String)"
"eed57bb6a22d02c8330cbf79b2db36b7ce694b3c";"ADDING_ATTRIBUTE_MODIFIABILITY";NA;"MODIFIER";"false";"com.codahale.metrics.logback.InstrumentedAppender.debug : Meter"
"eed57bb6a22d02c8330cbf79b2db36b7ce694b3c";"STATEMENT_DELETE";NA;"CONSTRUCTOR_INVOCATION";"false";"com.codahale.metrics.logback.InstrumentedAppender.InstrumentedAppender(String)"
"eed57bb6a22d02c8330cbf79b2db36b7ce694b3c";"STATEMENT_DELETE";NA;"ASSIGNMENT";"false";"com.codahale.metrics.logback.InstrumentedAppender.InstrumentedAppender(String)"
"eed57bb6a22d02c8330cbf79b2db36b7ce694b3c";"ADDING_ATTRIBUTE_MODIFIABILITY";NA;"MODIFIER";"false";"com.codahale.metrics.logback.InstrumentedAppender.trace : Meter"
"eed57bb6a22d02c8330cbf79b2db36b7ce694b3c";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"com.codahale.metrics.logback.InstrumentedAppender"
"eed57bb6a22d02c8330cbf79b2db36b7ce694b3c";"DOC_INSERT";NA;"JAVADOC";"false";"com.codahale.metrics.logback.InstrumentedAppender.InstrumentedAppender(String)"
"eed57bb6a22d02c8330cbf79b2db36b7ce694b3c";"PARAMETER_RENAMING";NA;"PARAMETER";"false";"com.codahale.metrics.logback.InstrumentedAppender.InstrumentedAppender(String)"
"eed57bb6a22d02c8330cbf79b2db36b7ce694b3c";"STATEMENT_DELETE";NA;"ASSIGNMENT";"false";"com.codahale.metrics.logback.InstrumentedAppender.InstrumentedAppender(String)"
"eed57bb6a22d02c8330cbf79b2db36b7ce694b3c";"STATEMENT_DELETE";NA;"ASSIGNMENT";"false";"com.codahale.metrics.logback.InstrumentedAppender.InstrumentedAppender(String)"
"eed57bb6a22d02c8330cbf79b2db36b7ce694b3c";"STATEMENT_DELETE";NA;"ASSIGNMENT";"false";"com.codahale.metrics.logback.InstrumentedAppender.InstrumentedAppender(String)"
