"Commit";"ChangeType";"ChangedEntity";"EntityType";"InsideRefactoring";"rootEntity"
"03ae01fb53204ed9f4171bb536561226fc2b158d";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"org.nutz.dao.impl.FileSqlManager"
"03ae01fb53204ed9f4171bb536561226fc2b158d";"STATEMENT_DELETE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"org.nutz.dao.impl.FileSqlManager.refresh()"
"03ae01fb53204ed9f4171bb536561226fc2b158d";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"org.nutz.dao.SqlManager"
"03ae01fb53204ed9f4171bb536561226fc2b158d";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"org.nutz.dao.impl.FileSqlManager"
"03ae01fb53204ed9f4171bb536561226fc2b158d";"STATEMENT_INSERT";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"org.nutz.dao.impl.FileSqlManager.refresh()"
"d801f7d661dc885402edeadd7d8f95ba891f8e1d";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"org.nutz.lang.Mirror"
"d801f7d661dc885402edeadd7d8f95ba891f8e1d";"ADDITIONAL_OBJECT_STATE";NA;"FIELD";"false";"org.nutz.mvc.impl.Loadings"
"d801f7d661dc885402edeadd7d8f95ba891f8e1d";"COMMENT_MOVE";NA;"LINE_COMMENT";"false";"org.nutz.mvc.impl.NutLoading.evalUrlMapping(NutConfig,Class<?>,Ioc)"
"d801f7d661dc885402edeadd7d8f95ba891f8e1d";"STATEMENT_DELETE";NA;"IF_STATEMENT";"false";"org.nutz.mvc.impl.NutEntryDeterminer.isEntry(Class<?>,Method)"
"d801f7d661dc885402edeadd7d8f95ba891f8e1d";"STATEMENT_ORDERING_CHANGE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"org.nutz.mvc.impl.NutLoading.evalUrlMapping(NutConfig,Class<?>,Ioc)"
"d801f7d661dc885402edeadd7d8f95ba891f8e1d";"STATEMENT_DELETE";NA;"FOREACH_STATEMENT";"false";"org.nutz.mvc.impl.NutEntryDeterminer.isEntry(Class<?>,Method)"
"d801f7d661dc885402edeadd7d8f95ba891f8e1d";"CONDITION_EXPRESSION_CHANGE";NA;"IF_STATEMENT";"false";"org.nutz.mvc.impl.Loadings.isModule(Class<?>)"
"d801f7d661dc885402edeadd7d8f95ba891f8e1d";"STATEMENT_DELETE";NA;"RETURN_STATEMENT";"false";"org.nutz.mvc.impl.NutEntryDeterminer.isEntry(Class<?>,Method)"
"d801f7d661dc885402edeadd7d8f95ba891f8e1d";"PARAMETER_INSERT";NA;"PARAMETER";"false";"org.nutz.mvc.impl.Loadings.scanModules(Ioc,Class<?>,EntryDeterminer)"
"d801f7d661dc885402edeadd7d8f95ba891f8e1d";"STATEMENT_UPDATE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"org.nutz.mvc.impl.NutLoading.evalUrlMapping(NutConfig,Class<?>,Ioc)"
"d801f7d661dc885402edeadd7d8f95ba891f8e1d";"STATEMENT_INSERT";NA;"RETURN_STATEMENT";"false";"org.nutz.mvc.impl.NutEntryDeterminer.isEntry(Class<?>,Method)"
"d801f7d661dc885402edeadd7d8f95ba891f8e1d";"STATEMENT_INSERT";NA;"ASSIGNMENT";"false";"org.nutz.mvc.impl.Loadings.scanModules(Ioc,Class<?>,EntryDeterminer)"
"d801f7d661dc885402edeadd7d8f95ba891f8e1d";"STATEMENT_DELETE";NA;"RETURN_STATEMENT";"false";"org.nutz.mvc.impl.NutEntryDeterminer.isEntry(Class<?>,Method)"
"d801f7d661dc885402edeadd7d8f95ba891f8e1d";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"org.nutz.lang.Mirror"
"d801f7d661dc885402edeadd7d8f95ba891f8e1d";"STATEMENT_ORDERING_CHANGE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"org.nutz.mvc.impl.NutLoading.evalUrlMapping(NutConfig,Class<?>,Ioc)"
"8714fbe070ed429a75d2753b109a8c2a2204fbb6";"STATEMENT_DELETE";NA;"RETURN_STATEMENT";"true";"org.nutz.dao.impl.sql.NutStatement.param2obj(Object)"
