"Commit";"ChangeType";"ChangedEntity";"EntityType";"InsideRefactoring";"rootEntity"
"10f8839f2983357a9b8378201bc0bad8708f8d6f";"STATEMENT_UPDATE";NA;"ASSIGNMENT";"false";"org.redisson.RedissonExecutorService.RedissonExecutorService(Codec,CommandExecutor,Redisson,String,QueueTransferService,ConcurrentMap<String, ResponseEntry>,ExecutorOptions)"
"10f8839f2983357a9b8378201bc0bad8708f8d6f";"STATEMENT_UPDATE";NA;"RETURN_STATEMENT";"true";"org.redisson.Redisson.getExecutorService(String,Codec,ExecutorOptions)"
"10f8839f2983357a9b8378201bc0bad8708f8d6f";"STATEMENT_INSERT";NA;"RETURN_STATEMENT";"true";"org.redisson.Redisson.getExecutorService(String,Codec,ExecutorOptions)"
"10f8839f2983357a9b8378201bc0bad8708f8d6f";"STATEMENT_DELETE";NA;"METHOD_INVOCATION";"false";"org.redisson.remote.RequestId.toString()"
"10f8839f2983357a9b8378201bc0bad8708f8d6f";"STATEMENT_UPDATE";NA;"RETURN_STATEMENT";"false";"org.redisson.executor.TasksService.removeAsync(String,RequestId)"
"10f8839f2983357a9b8378201bc0bad8708f8d6f";"ADDITIONAL_OBJECT_STATE";NA;"FIELD";"false";"org.redisson.executor.TasksRunnerService"
"10f8839f2983357a9b8378201bc0bad8708f8d6f";"ADDITIONAL_OBJECT_STATE";NA;"FIELD";"false";"org.redisson.RedissonExecutorService"
"10f8839f2983357a9b8378201bc0bad8708f8d6f";"STATEMENT_UPDATE";NA;"RETURN_STATEMENT";"false";"org.redisson.executor.TasksService.addAsync(String,RemoteServiceRequest)"
"10f8839f2983357a9b8378201bc0bad8708f8d6f";"STATEMENT_INSERT";NA;"IF_STATEMENT";"false";"org.redisson.executor.TasksRunnerService.executeRunnable(String,byte[],byte[],String)"
"10f8839f2983357a9b8378201bc0bad8708f8d6f";"STATEMENT_INSERT";NA;"ASSIGNMENT";"false";"org.redisson.BaseRemoteService.generateRequestId()"
"10f8839f2983357a9b8378201bc0bad8708f8d6f";"STATEMENT_INSERT";NA;"IF_STATEMENT";"false";"org.redisson.executor.TasksService.addAsync(String,RemoteServiceRequest)"
"10f8839f2983357a9b8378201bc0bad8708f8d6f";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"org.redisson.RedissonExecutorService.RedissonExecutorService(Codec,CommandExecutor,Redisson,String,QueueTransferService,ConcurrentMap<String, ResponseEntry>,ExecutorOptions)"
"10f8839f2983357a9b8378201bc0bad8708f8d6f";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"false";"org.redisson.BaseRemoteService.scheduleCheck(String,RequestId,RPromise<T>)"
"10f8839f2983357a9b8378201bc0bad8708f8d6f";"STATEMENT_DELETE";NA;"IF_STATEMENT";"false";"org.redisson.executor.TasksRunnerService.finish(String)"
"10f8839f2983357a9b8378201bc0bad8708f8d6f";"RETURN_TYPE_DELETE";NA;"SINGLE_TYPE";"true";"org.redisson.executor.TasksService.setSchedulerQueueName(String)"
"10f8839f2983357a9b8378201bc0bad8708f8d6f";"STATEMENT_INSERT";NA;"ASSIGNMENT";"false";"org.redisson.RedissonExecutorService.RedissonExecutorService(Codec,CommandExecutor,Redisson,String,QueueTransferService,ConcurrentMap<String, ResponseEntry>,ExecutorOptions)"
"10f8839f2983357a9b8378201bc0bad8708f8d6f";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"org.redisson.executor.TasksRunnerService"
"10f8839f2983357a9b8378201bc0bad8708f8d6f";"INCREASING_ACCESSIBILITY_CHANGE";NA;"MODIFIER";"true";"org.redisson.executor.TasksService.schedulerQueueName : String"
