"Commit";"ChangeType";"ChangedEntity";"EntityType";"InsideRefactoring";"rootEntity"
"be818bf6cd467394e161bd409a9c42cfbd011f25";"PARENT_INTERFACE_INSERT";NA;"SINGLE_TYPE";"false";"org.thymeleaf.engine.ThrottledTemplateWriter"
"be818bf6cd467394e161bd409a9c42cfbd011f25";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"org.thymeleaf.TemplateSpec.toString()"
"be818bf6cd467394e161bd409a9c42cfbd011f25";"DOC_UPDATE";NA;"JAVADOC";"false";"org.thymeleaf.TemplateSpec.TemplateSpec(String,Set<String>,TemplateMode,Map<String, Object>)"
"be818bf6cd467394e161bd409a9c42cfbd011f25";"DECREASING_ACCESSIBILITY_CHANGE";NA;"MODIFIER";"false";"org.thymeleaf.engine.ThrottledTemplateProcessor.ThrottledTemplateProcessor(TemplateSpec,IEngineContext,TemplateModel,ITemplateHandler,ProcessorTemplateHandler,TemplateFlowController,ThrottledTemplateWriter)"
"be818bf6cd467394e161bd409a9c42cfbd011f25";"STATEMENT_INSERT";NA;"CONSTRUCTOR_INVOCATION";"false";"org.thymeleaf.TemplateSpec.TemplateSpec(String,Set<String>,TemplateMode,Map<String, Object>)"
"be818bf6cd467394e161bd409a9c42cfbd011f25";"STATEMENT_UPDATE";NA;"CONSTRUCTOR_INVOCATION";"false";"org.thymeleaf.TemplateSpec.TemplateSpec(String,TemplateMode)"
"be818bf6cd467394e161bd409a9c42cfbd011f25";"STATEMENT_DELETE";NA;"ASSIGNMENT";"false";"org.thymeleaf.TemplateSpec.TemplateSpec(String,Set<String>,TemplateMode,Map<String, Object>)"
"be818bf6cd467394e161bd409a9c42cfbd011f25";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"org.thymeleaf.TemplateSpec.toString()"
"be818bf6cd467394e161bd409a9c42cfbd011f25";"STATEMENT_INSERT";NA;"IF_STATEMENT";"false";"org.thymeleaf.TemplateSpec.equals(Object)"
"be818bf6cd467394e161bd409a9c42cfbd011f25";"STATEMENT_DELETE";NA;"IF_STATEMENT";"false";"org.thymeleaf.TemplateSpec.TemplateSpec(String,Set<String>,TemplateMode,Map<String, Object>)"
"be818bf6cd467394e161bd409a9c42cfbd011f25";"STATEMENT_INSERT";NA;"IF_STATEMENT";"false";"org.thymeleaf.engine.TemplateManager.parseAndProcessThrottled(TemplateSpec,IContext)"
"be818bf6cd467394e161bd409a9c42cfbd011f25";"STATEMENT_INSERT";NA;"RETURN_STATEMENT";"false";"org.thymeleaf.TemplateSpec.equals(Object)"
"be818bf6cd467394e161bd409a9c42cfbd011f25";"STATEMENT_DELETE";NA;"ASSIGNMENT";"false";"org.thymeleaf.TemplateSpec.TemplateSpec(String,Set<String>,TemplateMode,Map<String, Object>)"
"be818bf6cd467394e161bd409a9c42cfbd011f25";"STATEMENT_INSERT";NA;"ASSIGNMENT";"false";"org.thymeleaf.engine.TemplateManager.parseAndProcessThrottled(TemplateSpec,IContext)"
"be818bf6cd467394e161bd409a9c42cfbd011f25";"INCREASING_ACCESSIBILITY_CHANGE";NA;"MODIFIER";"false";"org.thymeleaf.engine.ThrottledTemplateWriter.isStopped()"
"be818bf6cd467394e161bd409a9c42cfbd011f25";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"org.thymeleaf.TemplateSpec"
"be818bf6cd467394e161bd409a9c42cfbd011f25";"STATEMENT_DELETE";NA;"CONSTRUCTOR_INVOCATION";"false";"org.thymeleaf.TemplateSpec.TemplateSpec(String,Set<String>,TemplateMode,Map<String, Object>)"
"be818bf6cd467394e161bd409a9c42cfbd011f25";"STATEMENT_INSERT";NA;"ASSIGNMENT";"false";"org.thymeleaf.engine.TemplateManager.parseAndProcessThrottled(TemplateSpec,IContext)"
"be818bf6cd467394e161bd409a9c42cfbd011f25";"STATEMENT_INSERT";NA;"IF_STATEMENT";"false";"org.thymeleaf.TemplateSpec.toString()"
"be818bf6cd467394e161bd409a9c42cfbd011f25";"STATEMENT_DELETE";NA;"ASSIGNMENT";"false";"org.thymeleaf.TemplateSpec.TemplateSpec(String,Set<String>,TemplateMode,Map<String, Object>)"
"be818bf6cd467394e161bd409a9c42cfbd011f25";"INCREASING_ACCESSIBILITY_CHANGE";NA;"MODIFIER";"false";"org.thymeleaf.engine.ThrottledTemplateWriter.getWrittenCount()"
"be818bf6cd467394e161bd409a9c42cfbd011f25";"STATEMENT_INSERT";NA;"ASSIGNMENT";"false";"org.thymeleaf.TemplateSpec.hashCode()"
"be818bf6cd467394e161bd409a9c42cfbd011f25";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"org.thymeleaf.TemplateSpec"
"be818bf6cd467394e161bd409a9c42cfbd011f25";"ADDITIONAL_OBJECT_STATE";NA;"FIELD";"false";"org.thymeleaf.TemplateSpec"
"be818bf6cd467394e161bd409a9c42cfbd011f25";"DOC_UPDATE";NA;"JAVADOC";"false";"org.thymeleaf.engine.ThrottledTemplateProcessor"
"be818bf6cd467394e161bd409a9c42cfbd011f25";"INCREASING_ACCESSIBILITY_CHANGE";NA;"MODIFIER";"false";"org.thymeleaf.engine.ThrottledTemplateWriter.getOverflowGrowCount()"
